ENTIDAD,CL_VEHI,TIPO_VEH,ESTRUCTU,TT_VEHI,EST_TTVE
"13",2,2,2450,390,
"13",2,3,2450,226,
"13",2,4,2450,120,
"13",2,5,2450,419,
"14",1,1,2450,,2
"14",1,2,2450,,2
"14",1,3,2450,,2
"14",1,4,2450,,2
"14",1,5,2450,,2
"14",2,1,2450,,2
"14",2,2,2450,,2
"14",2,3,2450,,2
"14",2,4,2450,,2
"14",2,5,2450,,2
"15",1,1,2450,10176,
"15",1,2,2450,3712,
"15",1,3,2450,480,
"15",1,4,2450,1050,
"27",2,1,2450,196,
"27",2,2,2450,77,
"27",2,3,2450,1,
"27",2,4,2450,35,
"27",2,5,2450,37,
"28",1,1,2450,3986,
"28",1,2,2450,3246,
"28",1,3,2450,163,
"28",1,4,2450,184,
"28",1,5,2450,840,
"28",2,1,2450,2345,
"28",2,2,2450,1527,
"28",2,3,2450,98,
"28",2,4,2450,36,
"28",2,5,2450,229,
"29",1,1,2450,329,
"29",1,2,2450,306,
"29",1,3,2450,50,
"29",1,4,2450,106,
"29",1,5,2450,48,
"29",2,1,2450,158,
"29",2,2,2450,127,
"29",2,3,2450,21,
"29",2,4,2450,5,
"29",2,5,2450,36,
"30",1,1,2450,2662,
"30",1,2,2450,1512,
"30",1,3,2450,405,
"30",1,4,2450,1468,
"30",1,5,2450,944,
"30",2,1,2450,1865,
"30",2,2,2450,1027,
"30",2,3,2450,704,
"30",2,4,2450,398,
"30",2,5,2450,1305,
"31",1,1,2450,197,
"31",1,2,2450,10,
"31",1,3,2450,4,
"31",1,4,2450,218,
"31",1,5,2450,0,
"31",2,1,2450,108,
"31",2,2,2450,29,
"31",2,3,2450,3,
"31",2,4,2450,124,
"31",2,5,2450,0,
"32",1,1,2450,1750,
"32",1,2,2450,1420,
"32",1,3,2450,17,
"32",1,4,2450,329,
"32",1,5,2450,148,
"32",2,1,2450,561,
"32",2,2,2450,324,
"32",2,3,2450,1,
"01",1,1,2450,1208,
"01",1,2,2450,494,
"01",1,3,2450,23,
"01",1,4,2450,263,
"01",1,5,2450,265,
"01",2,1,2450,0,
"01",2,2,2450,0,
"01",2,3,2450,0,
"01",2,4,2450,0,
"01",2,5,2450,1762,
"02",1,1,2450,10272,
"02",1,2,2450,4039,
"02",1,3,2450,0,
"02",1,4,2450,381,
"02",1,5,2450,0,
"02",2,1,2450,3919,
"02",2,2,2450,1956,
"02",2,3,2450,0,
"02",2,4,2450,65,
"02",2,5,2450,0,
"03",1,1,2450,603,
"03",1,2,2450,141,
"03",1,3,2450,8,
"03",1,4,2450,44,
"03",1,5,2450,1,
"03",2,1,2450,485,
"03",2,2,2450,97,
"03",2,3,2450,6,
"03",2,4,2450,10,
"03",2,5,2450,0,
"04",1,1,2450,27,
"04",1,2,2450,12,
"04",1,3,2450,0,
"04",1,4,2450,17,
"04",1,5,2450,4,
"04",2,1,2450,23,
"04",2,2,2450,5,
"04",2,3,2450,0,
"04",2,4,2450,35,
"04",2,5,2450,0,
"05",1,1,2450,2664,
"05",1,2,2450,2025,
"05",1,3,2450,156,
"05",1,4,2450,25,
"05",1,5,2450,56,
"05",2,1,2450,1040,
"05",2,2,2450,922,
"05",2,3,2450,72,
"05",2,4,2450,16,
"05",2,5,2450,64,
"06",1,1,2450,,2
"06",1,2,2450,,2
"06",1,3,2450,,2
"20",1,5,2450,625,
"20",2,1,2450,438,
"20",2,2,2450,312,
"20",2,3,2450,14,
"20",2,4,2450,,2
"20",2,5,2450,282,
"21",1,1,2450,1989,
"21",1,2,2450,920,
"21",1,3,2450,378,
"21",1,4,2450,251,
"21",1,5,2450,5,
"21",2,1,2450,1171,
"21",2,2,2450,279,
"21",2,3,2450,238,
"21",2,4,2450,61,
"21",2,5,2450,79,
"22",1,1,2450,1115,
"22",1,2,2450,663,
