entidad,nacional,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"06",16,"0","0","0","","0","0",""
"06",17,"0","0","0","","0","0",""
"06",18,"0","0","0","","0","0",""
"06",19,"0","0","0","","0","0",""
"06",20,"0","0","0","","0","0",""
"07",1,"333","250","18","","62","3",""
"07",2,"NSS","0","NSS","","NSS","NSS",""
"07",3,"NSS","0","NSS","","NSS","NSS",""
"07",4,"NSS","0","NSS","","NSS","NSS",""
"07",5,"NSS","0","NSS","","NSS","NSS",""
"07",6,"NSS","0","NSS","","NSS","NSS",""
"07",7,"NSS","0","NSS","","NSS","NSS",""
"07",8,"NSS","0","NSS","","NSS","NSS",""
"07",9,"NSS","0","NSS","","NSS","NSS",""
"07",10,"NSS","0","NSS","","NSS","NSS",""
"07",11,"NSS","0","NSS","","NSS","NSS",""
"07",12,"NSS","0","NSS","","NSS","NSS",""
"07",13,"NSS","0","NSS","","NSS","NSS",""
"07",14,"NSS","0","NSS","","NSS","NSS",""
"07",15,"NSS","0","NSS","","NSS","NSS",""
"07",16,"1","1","NSS","","NSS","NSS",""
"07",17,"NSS","0","NSS","","NSS","NSS",""
"07",18,"NSS","0","NSS","","NSS","NSS",""
"07",19,"NSS","0","NSS","","NSS","NSS",""
"07",20,"43","19","2","17","3","1","1"
"08",1,"NSS","NSS","NSS","","NSS","NSS",""
"08",2,"NSS","NSS","NSS","","NSS","NSS",""
"08",3,"NSS","NSS","NSS","","NSS","NSS",""
"08",4,"NSS","NSS","NSS","","NSS","NSS",""
"08",5,"NSS","NSS","NSS","","NSS","NSS",""
"08",6,"NSS","NSS","NSS","","NSS","NSS",""
"08",7,"NSS","NSS","NSS","","NSS","NSS",""
"08",8,"NSS","NSS","NSS","","NSS","NSS",""
"08",9,"NSS","NSS","NSS","","NSS","NSS",""
"08",10,"NSS","NSS","NSS","","NSS","NSS",""
"08",11,"NSS","NSS","NSS","","NSS","NSS",""
"08",12,"NSS","NSS","NSS","","NSS","NSS",""
"08",13,"NSS","NSS","NSS","","NSS","NSS",""
"08",14,"NSS","NSS","NSS","","NSS","NSS",""
"08",15,"NSS","NSS","NSS","","NSS","NSS",""
"08",16,"NSS","NSS","NSS","","NSS","NSS",""
"08",17,"NSS","NSS","NSS","","NSS","NSS",""
"08",18,"NSS","NSS","NSS","","NSS","NSS",""
"08",19,"NSS","NSS","NSS","","NSS","NSS",""
"08",20,"2474","NSS","NSS","","2253","129","92"
"09",1,"7392","6662","661","","66","3",""
"09",2,"1","1","0","","0","0",""
"09",3,"1","0","1","","0","0",""
"09",4,"1","0","1","","0","0",""
"09",5,"1","1","0","","0","0",""
"09",6,"0","0","0","","0","0",""
"09",7,"1","1","0","","0","0",""
"09",8,"0","0","0","","0","0",""
"09",9,"0","0","0","","0","0",""
"09",10,"2","2","0","","0","0",""
"09",11,"0","0","0","","0","0",""
"09",12,"0","0","0","","0","0",""
"09",13,"28","21","7","","0","0",""
"09",14,"4","4","0","","0","0",""
"09",15,"2","2","0","","0","0",""
