entidad,rangedae,magjuett,magjue1,magjue2,magjue4,magjue5
"22",7,"5","0","0","4","1"
"22",8,"3","2","0","1","0"
"22",9,"4","2","1","1","0"
"22",99,"","","","",""
"23",1,"0","0","0","0","0"
"23",2,"0","0","0","0","0"
"23",3,"5","0","0","4","1"
"23",4,"10","0","2","3","5"
"23",5,"26","2","1","10","13"
"23",6,"13","4","1","4","4"
"23",7,"12","1","0","7","4"
"23",8,"4","1","0","0","3"
"23",9,"4","2","1","1","0"
"23",99,"","","","",""
"24",1,"0","0","0","0","0"
"24",2,"0","0","0","0","0"
"24",3,"1","0","0","0","1"
"24",4,"6","0","0","5","1"
"24",5,"14","1","1","12","0"
"24",6,"18","2","4","8","4"
"24",7,"13","0","1","9","3"
"24",8,"5","1","1","3","0"
"24",9,"17","2","2","10","3"
"24",99,"","","","",""
"25",1,"0","0","0","0","0"
"25",2,"0","0","0","0","0"
"25",3,"3","0","0","0","3"
"25",4,"11","1","0","6","4"
"25",5,"12","0","1","6","5"
"25",6,"23","0","1","10","12"
"25",7,"44","3","2","27","12"
"25",8,"31","1","1","20","9"
"25",9,"47","5","0","32","10"
"25",99,"","","","",""
"26",1,"0","0","0","0","0"
"26",2,"1","0","0","1","0"
"26",3,"8","0","0","6","2"
"26",4,"21","0","0","19","2"
"26",5,"26","1","0","15","10"
"26",6,"16","1","0","8","7"
"26",7,"15","4","1","9","1"
"26",8,"14","2","4","2","6"
"26",9,"10","4","3","3","0"
"26",99,"","","","",""
"27",1,"0","0","0","0","0"
"27",2,"0","0","0","0","0"
"27",3,"6","0","0","4","2"
"27",4,"38","1","0","7","30"
"27",5,"31","2","0","15","14"
"27",6,"15","2","3","4","6"
"27",7,"11","4","0","2","5"
"27",8,"5","0","3","2","0"
"27",9,"7","5","0","2","0"
"27",99,"","","","",""
"28",1,"0","0","0","0","0"
"28",2,"0","0","0","0","0"
"28",3,"6","0","0","0","6"
"28",4,"12","0","0","6","6"
"28",5,"22","1","2","14","5"
"28",6,"34","1","0","26","7"
"28",7,"21","1","0","12","8"
"28",8,"11","2","0","8","1"
"28",9,"12","5","1","6","0"
"28",99,"","","","",""
"29",1,"0","0","0","0","0"
"29",2,"0","0","0","0","0"
"29",3,"0","0","0","0","0"
"29",4,"7","1","1","2","3"
"29",5,"6","1","1","3","1"
"29",6,"9","1","2","1","5"
"29",7,"10","0","0","6","4"
"29",8,"4","1","0","1","2"
"29",9,"2","0","0","1","1"
"29",99,"","","","",""
"30",1,"0","0","0","0","0"
"30",2,"7","0","0","2","5"
"30",3,"23","0","0","11","12"
"30",4,"22","0","0","9","13"
"30",5,"47","1","0","23","23"
"30",6,"49","0","0","26","23"
"30",7,"53","0","0","30","23"
"30",8,"51","2","2","34","13"
"30",9,"95","20","3","52","20"
"30",99,"","","","",""
"31",1,"0","0","0","0","0"
"31",2,"0","0","0","0","0"
"31",3,"0","0","0","0","0"
"31",4,"3","0","0","2","1"
"31",5,"12","2","0","3","7"
"31",6,"20","3","0","3","14"
"31",7,"12","0","3","4","5"
"31",8,"6","0","0","1","5"
"31",9,"8","1","2","3","2"
"31",99,"","","","",""
"32",1,"0","0","0","0","0"
"32",2,"1","0","0","1","0"
"32",3,"9","0","0","6","3"
"32",4,"21","0","0","10","11"
"32",5,"34","0","0","18","16"
"32",6,"18","0","0","5","13"
"32",7,"12","0","0","6","6"
"32",8,"9","3","5","1","0"
"32",9,"5","3","2","0","0"
"32",99,"","","","",""
