entidad,mat_alte,mesolutt,mesolu1,mesolu2,mesolu3,mesolu4,mesolu5,mesolu6,mesolu7,mesolu8,mesolu9,mesolu10,mesolu11,mesolune
"01",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"13",2,"51","28","23","0","0","0","0","0","0","0","0","",""
"13",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"13",9,"","","","","","","","","","","","",""
"14",1,"2783","2544","239","0","0","0","0","0","0","0","0","",""
"14",2,"21","21","0","0","0","0","0","0","0","0","0","",""
"14",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"14",9,"","","","","","","","","","","","",""
"15",1,"1488","1265","0","223","0","0","0","0","0","0","0","",""
"15",2,"0","0","0","0","0","0","0","0","0","0","0","",""
"15",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"15",9,"","","","","","","","","","","","",""
"16",1,"3630","2500","311","514","300","5","0","0","0","0","0","",""
"16",2,"0","0","0","0","0","0","0","0","0","0","0","",""
"16",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"16",9,"","","","","","","","","","","","",""
"17",1,"1481","923","0","553","0","5","0","0","0","0","0","",""
"17",2,"0","0","0","0","0","0","0","0","0","0","0","",""
"17",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"17",9,"","","","","","","","","","","","",""
"18",1,"5858","2439","1051","1644","724","0","0","0","0","0","0","",""
"18",2,"10","5","0","5","0","0","0","0","0","0","0","",""
"18",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"18",9,"","","","","","","","","","","","",""
"19",1,"4962","4962","0","0","0","0","0","0","0","0","0","",""
"19",2,"120","120","0","0","0","0","0","0","0","0","0","",""
"19",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"19",9,"","","","","","","","","","","","",""
"20",1,"752","198","1","382","1","16","0","0","0","154","0","",""
"20",2,"54","0","0","0","0","40","0","0","0","14","0","",""
"20",3,"4301","1113","0","2882","0","75","0","0","0","231","0","",""
"20",9,"","","","","","","","","","","","",""
"21",1,"4288","3866","363","3","0","50","6","0","0","0","0","",""
"21",2,"0","0","0","0","0","0","0","0","0","0","0","",""
"21",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"21",9,"","","","","","","","","","","","",""
"22",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"22",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"22",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"22",9,"","","","","","","","","","","","",""
"23",1,"398","129","167","90","0","0","0","12","0","0","0","",""
"23",2,"33","15","4","12","0","0","0","2","0","0","0","",""
"23",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"23",9,"","","","","","","","","","","","",""
"24",1,"2205","806","92","870","274","32","0","NSS","0","NSS","0","131","131"
"24",2,"77","33","0","36","5","3","0","0","0","0","0","",""
"24",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"24",9,"","","","","","","","","","","","",""
"25",1,"3586","2529","1003","24","29","0","1","0","0","0","0","",""
"25",2,"55","40","13","2","0","0","0","0","0","0","0","",""
"25",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"25",9,"","","","","","","","","","","","",""
"26",1,"1678","1678","0","0","0","0","0","0","0","0","0","",""
"26",2,"75","75","0","0","0","0","0","0","0","0","0","",""
"26",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"26",9,"","","","","","","","","","","","",""
"27",1,"2624","1425","0","1199","0","0","0","0","0","0","0","",""
"27",2,"0","0","0","0","0","0","0","0","0","0","0","",""
"27",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"27",9,"","","","","","","","","","","","",""
"28",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"28",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"28",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"28",9,"","","","","","","","","","","","",""
"29",1,"606","606","0","0","0","0","0","0","0","0","0","",""
"29",2,"0","0","0","0","0","0","0","0","0","0","0","",""
"29",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"29",9,"","","","","","","","","","","","",""
"30",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"30",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"30",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"30",9,"","","","","","","","","","","","",""
"31",1,"1666","800","190","40","8","0","0","117","0","511","0","",""
"31",2,"20","18","2","0","0","0","0","0","0","0","0","",""
"31",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"31",9,"","","","","","","","","","","","",""
"32",1,"0","0","0","0","0","0","0","0","0","0","0","",""
"32",2,"0","0","0","0","0","0","0","0","0","0","0","",""
"32",3,"0","0","0","0","0","0","0","0","0","0","0","",""
"32",9,"","","","","","","","","","","","",""
