entidad,particip,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"12",1,"0","0","0","0","0",""
"12",2,"3","0","0","3","0",""
"12",3,"2","0","0","1","1",""
"12",4,"0","0","0","0","0",""
"12",5,"0","0","0","0","0",""
"12",6,"0","0","0","0","0",""
"12",7,"0","0","0","0","0",""
"12",8,"0","0","0","0","0",""
"12",9,"0","0","0","0","0",""
"12",10,"0","0","0","0","0",""
"13",1,"0","0","0","0","0",""
"13",2,"2","2","0","0","0",""
"13",3,"2","0","2","0","0",""
"13",4,"0","0","0","0","0",""
"13",5,"0","0","0","0","0",""
"13",6,"0","0","0","0","0",""
"13",7,"0","0","0","0","0",""
"13",8,"0","0","0","0","0",""
"13",9,"0","0","0","0","0",""
"13",10,"0","0","0","0","0",""
"14",1,"28","26","2","0","0",""
"14",2,"86","81","5","0","0",""
"14",3,"53","47","6","0","0",""
"14",4,"7","7","0","0","0",""
"14",5,"0","0","0","0","0",""
"14",6,"0","0","0","0","0",""
"14",7,"0","0","0","0","0",""
"14",8,"0","0","0","0","0",""
"14",9,"1","1","0","0","0",""
"14",10,"1","1","0","0","0",""
"15",1,"0","0","0","0","0",""
"15",2,"0","0","0","0","0",""
"15",3,"0","0","0","0","0",""
"15",4,"0","0","0","0","0",""
"15",5,"0","0","0","0","0",""
"15",6,"0","0","0","0","0",""
"15",7,"0","0","0","0","0",""
"15",8,"0","0","0","0","0",""
"15",9,"0","0","0","0","0",""
"15",10,"0","0","0","0","0",""
"16",1,"0","0","0","0","0",""
"16",2,"0","0","0","0","0",""
"16",3,"0","0","0","0","0",""
"16",4,"0","0","0","0","0",""
"16",5,"0","0","0","0","0",""
"16",6,"0","0","0","0","0",""
"16",7,"0","0","0","0","0",""
"16",8,"0","0","0","0","0",""
"16",9,"2","2","0","0","0",""
"16",10,"0","0","0","0","0",""
"17",1,"1","0","0","1","0",""
"17",2,"5","0","0","5","0",""
"17",3,"1","0","0","1","0",""
"17",4,"0","0","0","0","0",""
"17",5,"0","0","0","0","0",""
"17",6,"0","0","0","0","0",""
"17",7,"0","0","0","0","0",""
"17",8,"0","0","0","0","0",""
"17",9,"0","0","0","0","0",""
"17",10,"0","0","0","0","0",""
"18",1,"0","0","0","0","0",""
"18",2,"8","8","0","0","0",""
"18",3,"2","2","0","0","0",""
"18",4,"0","0","0","0","0",""
"18",5,"0","0","0","0","0",""
"18",6,"0","0","0","0","0",""
"18",7,"0","0","0","0","0",""
"18",8,"0","0","0","0","0",""
"18",9,"0","0","0","0","0",""
"18",10,"19","18","1","0","0",""
"19",1,"1","0","0","1","NSS",""
"19",2,"20","0","0","20","NSS",""
"19",3,"NSS","0","0","0","NSS",""
"19",4,"NSS","0","0","0","NSS",""
"19",5,"NSS","0","0","0","NSS",""
