entidad,procedel,sexoidtt,sexoid1,sexoid2,sexoid3,sexoid4
"23",2,"0","0","0","0","0"
"23",3,"0","0","0","0","0"
"23",4,"0","0","0","0","0"
"23",5,"0","0","0","0","0"
"23",6,"0","0","0","0","0"
"23",9,"","","","",""
"24",1,"0","0","0","0","0"
"24",2,"0","0","0","0","0"
"24",3,"0","0","0","0","0"
"24",4,"0","0","0","0","0"
"24",5,"0","0","0","0","0"
"24",6,"0","0","0","0","0"
"24",9,"","","","",""
"25",1,"27","24","3","0","0"
"25",2,"9","9","0","0","0"
"25",3,"3","2","1","0","0"
"25",4,"2","2","0","0","0"
"25",5,"0","0","0","0","0"
"25",6,"0","0","0","0","0"
"25",9,"61","61","","",""
"26",1,"5","5","0","0","0"
"26",2,"0","0","0","0","0"
"26",3,"0","0","0","0","0"
"26",4,"0","0","0","0","0"
"26",5,"0","0","0","0","0"
"26",6,"0","0","0","0","0"
"26",9,"","","","",""
"27",1,"22","14","8","0","0"
"27",2,"3","1","2","0","0"
"27",3,"0","0","0","0","0"
"27",4,"0","0","0","0","0"
"27",5,"0","0","0","0","0"
"27",6,"0","0","0","0","0"
"27",9,"","","","",""
"28",1,"118","99","19","0","0"
"28",2,"27","22","5","0","0"
"28",3,"2","2","0","0","0"
"28",4,"0","0","0","0","0"
"28",5,"0","0","0","0","0"
"28",6,"0","0","0","0","0"
"28",9,"","","","",""
"29",1,"0","0","0","0","0"
"29",2,"0","0","0","0","0"
"29",3,"0","0","0","0","0"
"29",4,"0","0","0","0","0"
"29",5,"0","0","0","0","0"
"29",6,"0","0","0","0","0"
"29",9,"","","","",""
"30",1,"30","27","3","0","0"
"30",2,"0","0","0","0","0"
"30",3,"0","0","0","0","0"
"30",4,"0","0","0","0","0"
"30",5,"0","0","0","0","0"
"30",6,"0","0","0","0","0"
"30",9,"","","","",""
"31",1,"28","25","3","0","0"
"31",2,"10","10","0","0","0"
"31",3,"1","1","0","0","0"
"31",4,"0","0","0","0","0"
"31",5,"0","0","0","0","0"
"31",6,"0","0","0","0","0"
"31",9,"","","","",""
"32",1,"9","8","1","0","0"
"32",2,"1","1","0","0","0"
"32",3,"1","1","0","0","0"
"32",4,"0","0","0","0","0"
"32",5,"0","0","0","0","0"
"32",6,"0","0","0","0","0"
"32",9,"","","","",""
