entidad,ran_ingr,sexostt,sexos1,sexos2
"21",3,"92","51","41"
"21",4,"97","50","47"
"21",5,"83","51","32"
"21",6,"19","12","7"
"21",7,"7","3","4"
"21",8,"1","0","1"
"21",9,"6","5","1"
"21",10,"2","2","0"
"21",11,"0","0","0"
"21",12,"1","1","0"
"21",13,"0","0","0"
"21",14,"1","0","1"
"21",15,"0","0","0"
"21",16,"4","3","1"
"21",99,"","",""
"22",1,"0","0","0"
"22",2,"0","0","0"
"22",3,"74","30","44"
"22",4,"122","52","70"
"22",5,"26","7","19"
"22",6,"23","7","16"
"22",7,"26","15","11"
"22",8,"8","4","4"
"22",9,"5","2","3"
"22",10,"5","0","5"
"22",11,"7","3","4"
"22",12,"4","2","2"
"22",13,"2","0","2"
"22",14,"0","0","0"
"22",15,"0","0","0"
"22",16,"6","3","3"
"22",99,"","",""
"23",1,"0","0","0"
"23",2,"1","0","1"
"23",3,"130","69","61"
"23",4,"99","43","56"
"23",5,"69","23","46"
"23",6,"25","10","15"
"23",7,"11","6","5"
"23",8,"9","6","3"
"23",9,"6","4","2"
"23",10,"6","3","3"
"23",11,"0","0","0"
"23",12,"0","0","0"
"23",13,"0","0","0"
"23",14,"0","0","0"
"23",15,"1","1","0"
"23",16,"4","1","3"
"23",99,"","",""
"24",1,"0","0","0"
"24",2,"0","0","0"
"24",3,"0","0","0"
"24",4,"0","0","0"
"24",5,"36","26","10"
"24",6,"79","24","55"
"24",7,"43","13","30"
"24",8,"41","25","16"
"24",9,"33","18","15"
"24",10,"10","3","7"
"24",11,"10","4","6"
"24",12,"3","1","2"
"24",13,"1","1","0"
"24",14,"3","1","2"
"24",15,"0","0","0"
"24",16,"4","4","0"
"24",99,"","",""
"25",1,"0","0","0"
"25",2,"0","0","0"
"25",3,"46","23","23"
"25",4,"41","23","18"
"25",5,"47","36","11"
"25",6,"11","8","3"
"25",7,"15","12","3"
"25",8,"2","2","0"
"25",9,"0","0","0"
"25",10,"4","3","1"
"25",11,"1","0","1"
"25",12,"0","0","0"
"25",13,"0","0","0"
"25",14,"0","0","0"
"25",15,"0","0","0"
"25",16,"1","1","0"
"25",99,"","",""
"26",1,"0","0","0"
"26",2,"0","0","0"
"26",3,"55","27","28"
"26",4,"79","35","44"
"26",5,"69","28","41"
"26",6,"57","14","43"
"26",7,"8","1","7"
"26",8,"18","13","5"
"26",9,"9","6","3"
"26",10,"6","3","3"
"26",11,"4","1","3"
"26",12,"2","2","0"
"26",13,"0","0","0"
"26",14,"2","2","0"
"26",15,"1","1","0"
"26",16,"1","1","0"
"26",99,"","",""
"27",1,"0","0","0"
"27",2,"14","4","10"
"27",3,"210","125","85"
"27",4,"65","32","33"
"27",5,"19","9","10"
"27",6,"13","7","6"
"27",7,"4","0","4"
"27",8,"11","6","5"
"27",9,"1","1","0"
"27",10,"3","2","1"
"27",11,"3","3","0"
"27",12,"2","2","0"
"27",13,"1","0","1"
"27",14,"0","0","0"
"27",15,"1","1","0"
"27",16,"2","1","1"
"27",99,"","",""
"28",1,"0","0","0"
"28",2,"0","0","0"
"28",3,"123","65","58"
"28",4,"180","81","99"
"28",5,"189","84","105"
"28",6,"29","20","9"
"28",7,"11","8","3"
"28",8,"7","2","5"
"28",9,"2","1","1"
"28",10,"3","2","1"
"28",11,"3","1","2"
"28",12,"2","1","1"
"28",13,"1","1","0"
"28",14,"3","2","1"
"28",15,"0","0","0"
"28",16,"9","7","2"
"28",99,"","",""
"29",1,"0","0","0"
