entidad,delitos,cauptrtt,cauptr1,cauptr2,cauptr3,cauptr4,cauptr5,cauptr6
"14",60299,"2","1","","1","","",""
"14",60300,"51","43","NSS","6","NSS","NSS","2"
"14",60400,"3","3","0","","0","0",""
"14",60900,"13","1","NSS","12","0","0",""
"14",70100,"1044","778","3","216","41","1","5"
"14",70101,"53","38","NSS","2","10","NSS","3"
"14",70102,"26","17","NSS","5","3","NSS","1"
"14",70103,"2","2","0","","NSS","NSS",""
"14",70104,"NSS","NSS","NSS","","NSS","NSS",""
"14",70109,"2","2","0","","NSS","NSS",""
"14",70199,"961","719","3","209","28","1","1"
"14",70200,"0","0","0","","0","0",""
"14",70201,"0","0","0","","0","0",""
"14",70202,"0","0","0","","0","0",""
"14",70203,"0","0","0","","0","0",""
"14",70204,"0","0","0","","0","0",""
"14",70205,"0","0","0","","0","0",""
"14",70206,"0","0","0","","0","0",""
"14",70209,"0","0","0","","0","0",""
"14",70299,"","","","","","",""
"14",70300,"0","0","0","","0","0",""
"14",70400,"19","6","NSS","1","11","NSS","1"
"14",70500,"0","0","0","","0","0",""
"14",70600,"0","0","0","","0","0",""
"14",70900,"27","25","NSS","2","0","0",""
"14",80100,"61","45","1","11","3","NSS","1"
"14",80101,"43","32","NSS","8","2","NSS","1"
"14",80102,"0","0","0","","0","0",""
"14",80103,"0","0","0","","0","0",""
"14",80104,"0","0","0","","0","0",""
"14",80105,"0","0","0","","0","0",""
"14",80106,"0","0","0","","0","0",""
"14",80107,"0","0","0","","0","0",""
"14",80109,"18","13","1","3","1","0",""
"14",80199,"","","","","","",""
"14",80200,"0","0","0","","0","0",""
"14",80201,"0","0","0","","0","0",""
"14",80209,"0","0","0","","0","0",""
"14",80299,"","","","","","",""
"14",80300,"0","0","0","","0","0",""
"14",80400,"1","0","0","","1","0",""
"14",80900,"65","45","NSS","19","NSS","NSS","1"
"14",90100,"98","70","NSS","26","NSS","1","1"
"14",90200,"25","16","NSS","7","2","0",""
"14",90300,"57","35","NSS","22","0","0",""
"14",90400,"109","87","1","19","2","0",""
"14",90500,"6","4","0","","2","0",""
"14",90501,"NSS","NSS","0","","NSS","0",""
"14",90502,"NSS","NSS","0","","NSS","0",""
"14",90503,"NSS","NSS","0","","NSS","0",""
"14",90509,"NSS","NSS","0","","NSS","0",""
"14",90599,"6","4","","","2","",""
"14",90600,"0","0","0","","0","0",""
"14",90700,"0","0","0","","0","0",""
"14",90701,"0","0","0","","0","0",""
"14",90709,"0","0","0","","0","0",""
"14",90799,"","","","","","",""
"14",90800,"0","0","0","","0","0",""
"14",90900,"0","0","0","","0","0",""
"14",91000,"0","0","0","","0","0",""
"14",91100,"0","0","0","","0","0",""
"14",91200,"11","11","0","","0","0",""
"14",91300,"0","0","0","","0","0",""
"14",91400,"0","0","0","","0","0",""
"14",91500,"0","0","0","","0","0",""
"14",91600,"0","0","0","","0","0",""
"14",91900,"159","119","1","29","10","0",""
"14",999999,"","","","","","",""
"15",10100,"375","NSS","NSS","","310","28","37"
"15",10200,"21","NSS","NSS","","18","3",""
"15",10300,"NSS","NSS","NSS","","0","0",""
"15",10400,"487","NSS","NSS","","458","NSS","29"
"15",10900,"3","NSS","NSS","","2","1",""
"15",20100,"NSS","NSS","NSS","","0","0",""
"15",20200,"NSS","NSS","NSS","","0","0",""
"15",20300,"NSS","NSS","NSS","","0","0",""
"15",20400,"NSS","NSS","NSS","","0","0",""
"15",20500,"NSS","NSS","NSS","","0","0",""
"15",20600,"117","NSS","NSS","","109","NSS","8"
"15",20601,"NSS","NSS","NSS","","NSS","NSS",""
"15",20602,"NSS","NSS","NSS","","NSS","NSS",""
"15",20603,"NSS","NSS","NSS","","NSS","NSS",""
"15",20604,"NSS","NSS","NSS","","NSS","NSS",""
"15",20609,"NSS","NSS","NSS","","NSS","NSS",""
"15",20699,"117","","","","109","","8"
"15",20900,"NSS","NSS","NSS","","0","0",""
"15",30100,"66","NSS","NSS","","65","NSS","1"
"15",30200,"1","NSS","NSS","","1","0",""
"15",30300,"1","NSS","NSS","","1","0",""
"15",30400,"NSS","NSS","NSS","","0","0",""
"15",30500,"NSS","NSS","NSS","","0","0",""
"15",30600,"1","NSS","NSS","","1","0",""
"15",30700,"NSS","NSS","NSS","","0","0",""
"15",30900,"4","NSS","NSS","","4","0",""
"15",40100,"1517","NSS","NSS","","1439","25","53"
"15",40101,"NSS","NSS","NSS","","NSS","NSS",""
"15",40102,"NSS","NSS","NSS","","NSS","NSS",""
"15",40103,"27","NSS","NSS","","24","2","1"
"15",40104,"NSS","NSS","NSS","","NSS","NSS",""
"15",40105,"NSS","NSS","NSS","","NSS","NSS",""
"15",40106,"NSS","NSS","NSS","","NSS","NSS",""
"15",40107,"NSS","NSS","NSS","","NSS","NSS",""
"15",40108,"NSS","NSS","NSS","","NSS","NSS",""
"15",40109,"NSS","NSS","NSS","","NSS","NSS",""
"15",40110,"NSS","NSS","NSS","","NSS","NSS",""
"15",40111,"NSS","NSS","NSS","","NSS","NSS",""
"15",40112,"NSS","NSS","NSS","","NSS","NSS",""
"15",40113,"NSS","NSS","NSS","","NSS","NSS",""
"15",40114,"8","NSS","NSS","","8","0",""
"15",40115,"NSS","NSS","NSS","","NSS","NSS",""
"15",40116,"NSS","NSS","NSS","","NSS","NSS",""
"15",40119,"NSS","NSS","NSS","","NSS","NSS",""
"15",40199,"1482","","","","1407","23","52"
"15",40200,"NSS","NSS","NSS","","0","0",""
"15",40300,"102","NSS","NSS","","97","NSS","5"
"15",40400,"29","NSS","NSS","","27","NSS","2"
"15",40500,"135","NSS","NSS","","133","1","1"
"15",40501,"NSS","NSS","NSS","","NSS","NSS",""
"15",40509,"NSS","NSS","NSS","","NSS","NSS",""
"15",40599,"135","","","","133","1","1"
"15",40600,"95","NSS","NSS","","94","NSS","1"
"15",40700,"104","NSS","NSS","","96","NSS","8"
"15",40900,"NSS","NSS","NSS","","0","0",""
"15",50100,"NSS","NSS","NSS","","0","0",""
"15",50200,"85","NSS","NSS","","80","NSS","5"
"15",50900,"1","NSS","NSS","","1","0",""
"15",60100,"NSS","NSS","NSS","","0","0",""
"15",60101,"NSS","NSS","NSS","","0","0",""
"15",60102,"NSS","NSS","NSS","","0","0",""
"15",60103,"NSS","NSS","NSS","","0","0",""
"15",60104,"NSS","NSS","NSS","","0","0",""
"15",60105,"NSS","NSS","NSS","","0","0",""
"15",60106,"NSS","NSS","NSS","","0","0",""
"15",60109,"NSS","NSS","NSS","","0","0",""
"15",60199,"","","","","","",""
"15",60200,"21","NSS","NSS","","20","NSS","1"
"15",60201,"13","NSS","NSS","","13","0",""
"15",60202,"NSS","NSS","NSS","","NSS","NSS",""
"15",60203,"NSS","NSS","NSS","","NSS","NSS",""
"15",60209,"NSS","NSS","NSS","","NSS","NSS",""
"15",60299,"8","","","","7","","1"
"15",60300,"NSS","NSS","NSS","","0","0",""
"15",60400,"NSS","NSS","NSS","","0","0",""
"15",60900,"NSS","NSS","NSS","","0","0",""
"15",70100,"NSS","NSS","NSS","","0","0",""
"15",70101,"NSS","NSS","NSS","","0","0",""
"15",70102,"NSS","NSS","NSS","","0","0",""
"15",70103,"NSS","NSS","NSS","","0","0",""
"15",70104,"NSS","NSS","NSS","","0","0",""
"15",70109,"NSS","NSS","NSS","","0","0",""
"15",70199,"","","","","","",""
"15",70200,"NSS","NSS","NSS","","0","0",""
"15",70201,"NSS","NSS","NSS","","0","0",""
"15",70202,"NSS","NSS","NSS","","0","0",""
"15",70203,"NSS","NSS","NSS","","0","0",""
"15",70204,"NSS","NSS","NSS","","0","0",""
"15",70205,"NSS","NSS","NSS","","0","0",""
"15",70206,"NSS","NSS","NSS","","0","0",""
"15",70209,"NSS","NSS","NSS","","0","0",""
"15",70299,"","","","","","",""
"15",70300,"NSS","NSS","NSS","","0","0",""
"15",70400,"NSS","NSS","NSS","","0","0",""
"15",70500,"NSS","NSS","NSS","","0","0",""
"15",70600,"NSS","NSS","NSS","","0","0",""
"15",70900,"NSS","NSS","NSS","","0","0",""
"15",80100,"57","NSS","NSS","","57","0",""
"15",80101,"57","NSS","NSS","","57","0",""
"15",80102,"NSS","NSS","NSS","","0","0",""
"15",80103,"NSS","NSS","NSS","","0","0",""
"15",80104,"NSS","NSS","NSS","","0","0",""
"15",80105,"NSS","NSS","NSS","","0","0",""
"15",80106,"NSS","NSS","NSS","","0","0",""
"15",80107,"NSS","NSS","NSS","","0","0",""
"15",80109,"NSS","NSS","NSS","","0","0",""
"15",80199,"","","","","","",""
"15",80200,"NSS","NSS","NSS","","0","0",""
"15",80201,"NSS","NSS","NSS","","0","0",""
"15",80209,"NSS","NSS","NSS","","0","0",""
"15",80299,"","","","","","",""
"15",80300,"NSS","NSS","NSS","","0","0",""
"15",80400,"NSS","NSS","NSS","","0","0",""
"15",80900,"7","NSS","NSS","","7","0",""
"15",90100,"NSS","NSS","NSS","","0","0",""
"15",90200,"15","NSS","NSS","","14","1",""
"15",90300,"24","NSS","NSS","","24","0",""
"15",90400,"3","NSS","NSS","","3","0",""
"15",90500,"17","NSS","NSS","","17","0",""
"15",90501,"NSS","NSS","NSS","","NSS","0",""
"15",90502,"NSS","NSS","NSS","","NSS","0",""
"15",90503,"NSS","NSS","NSS","","NSS","0",""
"15",90509,"NSS","NSS","NSS","","NSS","0",""
"15",90599,"17","","","","17","",""
"15",90600,"NSS","NSS","NSS","","0","0",""
"15",90700,"NSS","NSS","NSS","","0","0",""
"15",90701,"NSS","NSS","NSS","","0","0",""
"15",90709,"NSS","NSS","NSS","","0","0",""
"15",90799,"","","","","","",""
"15",90800,"NSS","NSS","NSS","","0","0",""
"15",90900,"NSS","NSS","NSS","","0","0",""
"15",91000,"NSS","NSS","NSS","","0","0",""
"15",91100,"NSS","NSS","NSS","","0","0",""
"15",91200,"124","NSS","NSS","","114","NSS","10"
"15",91300,"NSS","NSS","NSS","","0","0",""
"15",91400,"NSS","NSS","NSS","","0","0",""
"15",91500,"NSS","NSS","NSS","","0","0",""
"15",91600,"NSS","NSS","NSS","","0","0",""
"15",91900,"949","NSS","NSS","","894","6","49"
"15",999999,"4972","","","","","","4972"
"16",10100,"21","12","NSS","9","0","0",""
"16",10200,"0","0","0","","0","0",""
"16",10300,"0","0","0","","0","0",""
"16",10400,"554","39","4","101","317","92","1"
"16",10900,"1","1","0","","0","0",""
"16",20100,"0","0","0","","0","0",""
"16",20200,"0","0","0","","0","0",""
"16",20300,"0","0","0","","0","0",""
"16",20400,"0","0","0","","0","0",""
"16",20500,"0","0","0","","0","0",""
"16",20600,"3","1","NSS","2","0","0",""
"16",20601,"0","0","0","","0","0",""
"16",20602,"0","0","0","","0","0",""
"16",20603,"0","0","0","","0","0",""
"16",20604,"0","0","0","","0","0",""
"16",20609,"3","1","NSS","2","0","0",""
"16",20699,"","","","","","",""
"16",20900,"0","0","0","","0","0",""
"16",30100,"58","31","NSS","27","0","0",""
"16",30200,"1","NSS","NSS","1","0","0",""
"16",30300,"0","0","0","","0","0",""
"16",30400,"0","0","0","","0","0",""
"16",30500,"0","0","0","","0","0",""
"16",30600,"0","0","0","","0","0",""
"16",30700,"0","0","0","","0","0",""
"16",30900,"4","2","NSS","2","0","0",""
"16",40100,"241","40","NSS","93","108","0",""
"16",40101,"NSS","0","0","","NSS","0",""
"16",40102,"NSS","0","0","","NSS","0",""
"16",40103,"NSS","0","0","","NSS","0",""
"16",40104,"NSS","0","0","","NSS","0",""
"16",40105,"NSS","0","0","","NSS","0",""
"16",40106,"NSS","0","0","","NSS","0",""
"16",40107,"NSS","0","0","","NSS","0",""
"16",40108,"NSS","0","0","","NSS","0",""
"16",40109,"128","35","NSS","74","19","0",""
"16",40110,"NSS","0","0","","NSS","0",""
"16",40111,"NSS","0","0","","NSS","0",""
"16",40112,"NSS","0","0","","NSS","0",""
"16",40113,"NSS","0","0","","NSS","0",""
"16",40114,"14","5","NSS","9","NSS","0",""
"16",40115,"NSS","0","0","","NSS","0",""
"16",40116,"NSS","0","0","","NSS","0",""
"16",40119,"10","NSS","NSS","10","NSS","0",""
"16",40199,"89","","","","89","",""
"16",40200,"0","0","0","","0","0",""
"16",40300,"0","0","0","","0","0",""
"16",40400,"64","29","NSS","35","0","0",""
"16",40500,"0","0","0","","0","0",""
"16",40501,"0","0","0","","0","0",""
"16",40509,"0","0","0","","0","0",""
"16",40599,"","","","","","",""
"16",40600,"512","143","NSS","222","133","NSS","14"
"16",40700,"0","0","0","","0","0",""
"16",40900,"3","1","NSS","2","0","0",""
"16",50100,"0","0","0","","0","0",""
"16",50200,"0","0","0","","0","0",""
"16",50900,"1","NSS","NSS","1","0","0",""
"16",60100,"663","210","NSS","201","237","9","6"
"16",60101,"0","0","0","","0","0",""
"16",60102,"0","0","0","","0","0",""
"16",60103,"0","0","0","","0","0",""
"16",60104,"564","186","NSS","164","207","1","6"
"16",60105,"0","0","0","","0","0",""
"16",60106,"0","0","0","","0","0",""
"16",60109,"99","24","NSS","37","30","8",""
"16",60199,"","","","","","",""
"16",60200,"1","1","0","","0","0",""
"16",60201,"1","1","0","","0","0",""
"16",60202,"0","0","0","","0","0",""
"16",60203,"0","0","0","","0","0",""
"16",60209,"0","0","0","","0","0",""
"16",60299,"","","","","","",""
"16",60300,"0","0","0","","0","0",""
"16",60400,"13","7","NSS","6","0","0",""
"16",60900,"0","0","0","","0","0",""
"16",70100,"0","0","0","","0","0",""
"16",70101,"0","0","0","","0","0",""
"16",70102,"0","0","0","","0","0",""
"16",70103,"0","0","0","","0","0",""
"16",70104,"0","0","0","","0","0",""
"16",70109,"0","0","0","","0","0",""
"16",70199,"","","","","","",""
"16",70200,"0","0","0","","0","0",""
"16",70201,"0","0","0","","0","0",""
"16",70202,"0","0","0","","0","0",""
"16",70203,"0","0","0","","0","0",""
"16",70204,"0","0","0","","0","0",""
"16",70205,"0","0","0","","0","0",""
"16",70206,"0","0","0","","0","0",""
"16",70209,"0","0","0","","0","0",""
"16",70299,"","","","","","",""
"16",70300,"0","0","0","","0","0",""
"16",70400,"0","0","0","","0","0",""
"16",70500,"0","0","0","","0","0",""
"16",70600,"0","0","0","","0","0",""
"16",70900,"374","95","NSS","87","189","NSS","3"
"16",80100,"13","NSS","NSS","1","12","0",""
"16",80101,"13","NSS","NSS","1","12","0",""
"16",80102,"0","0","0","","0","0",""
"16",80103,"0","0","0","","0","0",""
"16",80104,"0","0","0","","0","0",""
"16",80105,"0","0","0","","0","0",""
"16",80106,"0","0","0","","0","0",""
"16",80107,"0","0","0","","0","0",""
"16",80109,"0","0","0","","0","0",""
"16",80199,"","","","","","",""
"16",80200,"0","0","0","","0","0",""
"16",80201,"0","0","0","","0","0",""
"16",80209,"0","0","0","","0","0",""
"16",80299,"","","","","","",""
"16",80300,"0","0","0","","0","0",""
"16",80400,"0","0","0","","0","0",""
"16",80900,"40","1","NSS","3","35","NSS","1"
"16",90100,"31","6","NSS","25","0","0",""
"16",90200,"0","0","0","","0","0",""
"16",90300,"194","10","NSS","26","158","0",""
"16",90400,"36","17","NSS","19","0","0",""
"16",90500,"0","0","0","","0","0",""
"16",90501,"0","0","0","","0","0",""
"16",90502,"0","0","0","","0","0",""
"16",90503,"0","0","0","","0","0",""
"16",90509,"0","0","0","","0","0",""
"16",90599,"","","","","","",""
"16",90600,"0","0","0","","0","0",""
"16",90700,"0","0","0","","0","0",""
"16",90701,"0","0","0","","0","0",""
"16",90709,"0","0","0","","0","0",""
"16",90799,"","","","","","",""
"16",90800,"0","0","0","","0","0",""
"16",90900,"0","0","0","","0","0",""
"16",91000,"0","0","0","","0","0",""
"16",91100,"0","0","0","","0","0",""
"16",91200,"26","10","1","7","8","0",""
"16",91300,"0","0","0","","0","0",""
"16",91400,"0","0","0","","0","0",""
"16",91500,"0","0","0","","0","0",""
"16",91600,"0","0","0","","0","0",""
"16",91900,"2792","539","8","502","1692","31","20"
"16",999999,"3075","","","3075","","",""
"17",10100,"7","0","0","","5","2",""
"17",10200,"0","0","0","","0","0",""
"17",10300,"0","0","0","","0","0",""
"17",10400,"5","0","0","","5","0",""
"17",10900,"0","0","0","","0","0",""
"17",20100,"0","0","0","","0","0",""
"17",20200,"0","0","0","","0","0",""
"17",20300,"0","0","0","","0","0",""
"17",20400,"0","0","0","","0","0",""
"17",20500,"0","0","0","","0","0",""
"17",20600,"1","0","0","","1","0",""
"17",20601,"NSS","0","0","","NSS","0",""
"17",20602,"NSS","0","0","","NSS","0",""
"17",20603,"NSS","0","0","","NSS","0",""
"17",20604,"NSS","0","0","","NSS","0",""
"17",20609,"NSS","0","0","","NSS","0",""
"17",20699,"1","","","","1","",""
"17",20900,"0","0","0","","0","0",""
"17",30100,"1","0","0","","1","0",""
"17",30200,"0","0","0","","0","0",""
"17",30300,"0","0","0","","0","0",""
"17",30400,"2","0","0","","2","0",""
"17",30500,"0","0","0","","0","0",""
"17",30600,"0","0","0","","0","0",""
"17",30700,"0","0","0","","0","0",""
"17",30900,"0","0","0","","0","0",""
"17",40100,"30","0","0","","30","0",""
"17",40101,"NSS","0","0","","NSS","0",""
"17",40102,"NSS","0","0","","NSS","0",""
"17",40103,"12","0","0","","12","0",""
"17",40104,"NSS","0","0","","NSS","0",""
"17",40105,"NSS","0","0","","NSS","0",""
"17",40106,"NSS","0","0","","NSS","0",""
"17",40107,"NSS","0","0","","NSS","0",""
"17",40108,"NSS","0","0","","NSS","0",""
"17",40109,"NSS","0","0","","NSS","0",""
"17",40110,"NSS","0","0","","NSS","0",""
"17",40111,"NSS","0","0","","NSS","0",""
"17",40112,"NSS","0","0","","NSS","0",""
"17",40113,"2","0","0","","2","0",""
"17",40114,"NSS","0","0","","NSS","0",""
"17",40115,"NSS","0","0","","NSS","0",""
"17",40116,"NSS","0","0","","NSS","0",""
"17",40119,"NSS","0","0","","NSS","0",""
"17",40199,"16","","","","16","",""
"17",40200,"0","0","0","","0","0",""
"17",40300,"4","0","0","","4","0",""
"17",40400,"1","0","0","","1","0",""
"17",40500,"1","0","0","","1","0",""
"17",40501,"NSS","0","0","","NSS","0",""
"17",40509,"NSS","0","0","","NSS","0",""
"17",40599,"1","","","","1","",""
"17",40600,"2","0","0","","2","0",""
"17",40700,"4","0","0","","4","0",""
"17",40900,"0","0","0","","0","0",""
"17",50100,"2","0","0","","2","0",""
"17",50200,"4","0","0","","4","0",""
"17",50900,"0","0","0","","0","0",""
"17",60100,"1","0","0","","1","0",""
"17",60101,"0","0","0","","0","0",""
"17",60102,"0","0","0","","0","0",""
"17",60103,"0","0","0","","0","0",""
"17",60104,"0","0","0","","0","0",""
"17",60105,"0","0","0","","0","0",""
"17",60106,"0","0","0","","0","0",""
"17",60109,"1","0","0","","1","0",""
"17",60199,"","","","","","",""
"17",60200,"0","0","0","","0","0",""
"17",60201,"0","0","0","","0","0",""
"17",60202,"0","0","0","","0","0",""
"17",60203,"0","0","0","","0","0",""
"17",60209,"0","0","0","","0","0",""
"17",60299,"","","","","","",""
"17",60300,"0","0","0","","0","0",""
"17",60400,"0","0","0","","0","0",""
"17",60900,"0","0","0","","0","0",""
"17",70100,"5","0","0","","5","0",""
"17",70101,"NSS","0","0","","NSS","0",""
"17",70102,"NSS","0","0","","NSS","0",""
"17",70103,"NSS","0","0","","NSS","0",""
"17",70104,"NSS","0","0","","NSS","0",""
"17",70109,"NSS","0","0","","NSS","0",""
"17",70199,"5","","","","5","",""
"17",70200,"0","0","0","","0","0",""
"17",70201,"0","0","0","","0","0",""
"17",70202,"0","0","0","","0","0",""
"17",70203,"0","0","0","","0","0",""
"17",70204,"0","0","0","","0","0",""
"17",70205,"0","0","0","","0","0",""
"17",70206,"0","0","0","","0","0",""
"17",70209,"0","0","0","","0","0",""
"17",70299,"","","","","","",""
"17",70300,"0","0","0","","0","0",""
"17",70400,"0","0","0","","0","0",""
"17",70500,"0","0","0","","0","0",""
"17",70600,"0","0","0","","0","0",""
"17",70900,"0","0","0","","0","0",""
"17",80100,"0","0","0","","0","0",""
"17",80101,"0","0","0","","0","0",""
"17",80102,"0","0","0","","0","0",""
"17",80103,"0","0","0","","0","0",""
"17",80104,"0","0","0","","0","0",""
"17",80105,"0","0","0","","0","0",""
"17",80106,"0","0","0","","0","0",""
"17",80107,"0","0","0","","0","0",""
"17",80109,"0","0","0","","0","0",""
"17",80199,"","","","","","",""
"17",80200,"0","0","0","","0","0",""
"17",80201,"0","0","0","","0","0",""
"17",80209,"0","0","0","","0","0",""
"17",80299,"","","","","","",""
"17",80300,"0","0","0","","0","0",""
"17",80400,"1","0","0","","NSS","NSS","1"
"17",80900,"0","0","0","","0","0",""
"17",90100,"0","0","0","","0","0",""
"17",90200,"0","0","0","","0","0",""
"17",90300,"0","0","0","","0","0",""
"17",90400,"0","0","0","","0","0",""
"17",90500,"0","0","0","","0","0",""
"17",90501,"0","0","0","","0","0",""
"17",90502,"0","0","0","","0","0",""
"17",90503,"0","0","0","","0","0",""
"17",90509,"0","0","0","","0","0",""
"17",90599,"","","","","","",""
"17",90600,"0","0","0","","0","0",""
"17",90700,"0","0","0","","0","0",""
"17",90701,"0","0","0","","0","0",""
"17",90709,"0","0","0","","0","0",""
"17",90799,"","","","","","",""
"17",90800,"0","0","0","","0","0",""
"17",90900,"0","0","0","","0","0",""
"17",91000,"0","0","0","","0","0",""
"17",91100,"0","0","0","","0","0",""
"17",91200,"0","0","0","","0","0",""
"17",91300,"0","0","0","","0","0",""
"17",91400,"0","0","0","","0","0",""
"17",91500,"0","0","0","","0","0",""
"17",91600,"0","0","0","","0","0",""
"17",91900,"2","0","0","","2","0",""
"17",999999,"","","","","","",""
"18",10100,"56","43","2","2","8","NSS","1"
"18",10200,"0","0","0","","0","0",""
"18",10300,"0","0","0","","0","0",""
"18",10400,"253","218","NSS","9","25","NSS","1"
"18",10900,"3","3","0","","0","0",""
"18",20100,"12","12","0","","0","0",""
"18",20200,"2","0","0","","1","NSS","1"
"18",20300,"9","3","0","","6","0",""
"18",20400,"0","0","0","","0","0",""
"18",20500,"0","0","0","","0","0",""
"18",20600,"25","21","NSS","1","3","0",""
"18",20601,"NSS","NSS","NSS","","NSS","0",""
"18",20602,"NSS","NSS","NSS","","NSS","0",""
"18",20603,"NSS","NSS","NSS","","NSS","0",""
"18",20604,"NSS","NSS","NSS","","NSS","0",""
"18",20609,"NSS","NSS","NSS","","NSS","0",""
"18",20699,"25","21","","1","3","",""
"18",20900,"0","0","0","","0","0",""
"18",30100,"1","1","0","","0","0",""
"18",30200,"1","1","0","","0","0",""
"18",30300,"2","2","0","","0","0",""
"18",30400,"74","65","4","2","3","0",""
"18",30500,"12","11","0","","1","0",""
"18",30600,"14","14","0","","0","0",""
"18",30700,"0","0","0","","0","0",""
"18",30900,"39","33","NSS","2","4","0",""
"18",40100,"489","450","7","9","20","3",""
"18",40101,"NSS","NSS","NSS","","NSS","NSS",""
"18",40102,"109","101","NSS","3","5","NSS",""
"18",40103,"9","9","NSS","","NSS","NSS",""
"18",40104,"3","3","NSS","","NSS","NSS",""
"18",40105,"3","2","NSS","","1","NSS",""
"18",40106,"NSS","NSS","NSS","","NSS","NSS",""
"18",40107,"4","4","NSS","","NSS","NSS",""
"18",40108,"NSS","NSS","NSS","","NSS","NSS",""
"18",40109,"NSS","NSS","NSS","","NSS","NSS",""
"18",40110,"2","2","NSS","","NSS","NSS",""
"18",40111,"9","9","NSS","","NSS","NSS",""
"18",40112,"NSS","NSS","NSS","","NSS","NSS",""
"18",40113,"51","48","2","","NSS","1",""
"18",40114,"33","30","NSS","2","1","NSS",""
"18",40115,"5","4","NSS","","1","NSS",""
"18",40116,"NSS","NSS","NSS","","NSS","NSS",""
"18",40119,"NSS","NSS","NSS","","NSS","NSS",""
"18",40199,"261","238","5","4","12","2",""
"18",40200,"0","0","0","","0","0",""
"18",40300,"396","387","NSS","8","1","0",""
"18",40400,"80","79","0","","1","0",""
"18",40500,"1","1","0","","0","0",""
"18",40501,"NSS","NSS","0","","0","0",""
"18",40509,"NSS","NSS","0","","0","0",""
"18",40599,"1","1","","","","",""
"18",40600,"124","112","NSS","4","6","NSS","2"
"18",40700,"81","78","0","","2","NSS","1"
"18",40900,"9","9","0","","0","0",""
"18",50100,"264","39","NSS","7","206","NSS","12"
"18",50200,"309","142","NSS","15","132","NSS","20"
"18",50900,"4","4","0","","0","0",""
"18",60100,"42","39","0","","3","0",""
"18",60101,"40","37","0","","3","0",""
"18",60102,"0","0","0","","0","0",""
"18",60103,"0","0","0","","0","0",""
"18",60104,"1","1","0","","0","0",""
"18",60105,"0","0","0","","0","0",""
"18",60106,"0","0","0","","0","0",""
"18",60109,"1","1","0","","0","0",""
"18",60199,"","","","","","",""
"18",60200,"1","1","0","","0","0",""
"18",60201,"NSS","NSS","0","","0","0",""
"18",60202,"NSS","NSS","0","","0","0",""
"18",60203,"NSS","NSS","0","","0","0",""
"18",60209,"NSS","NSS","0","","0","0",""
"18",60299,"1","1","","","","",""
"18",60300,"7","6","1","","0","0",""
"18",60400,"0","0","0","","0","0",""
"18",60900,"2","NSS","NSS","2","0","0",""
"18",70100,"84","65","0","","19","0",""
"18",70101,"2","NSS","0","","2","0",""
"18",70102,"8","NSS","0","","8","0",""
"18",70103,"1","NSS","0","","1","0",""
"18",70104,"NSS","NSS","0","","NSS","0",""
"18",70109,"NSS","NSS","0","","NSS","0",""
"18",70199,"73","65","","","8","",""
"18",70200,"0","0","0","","0","0",""
"18",70201,"0","0","0","","0","0",""
"18",70202,"0","0","0","","0","0",""
"18",70203,"0","0","0","","0","0",""
"18",70204,"0","0","0","","0","0",""
"18",70205,"0","0","0","","0","0",""
