entidad,fun_oadm,totalca1,no_aplic
"29",9,"1",""
"29",99,"",""
"30",1,"1",""
"30",10,"1",""
"30",11,"1",""
"30",12,"1",""
"30",13,"1",""
"30",14,"1",""
"30",15,"2",""
"30",16,"1",""
"30",17,"1",""
"30",18,"1",""
"30",19,"NA","1"
"30",2,"2",""
"30",20,"1",""
"30",21,"7",""
"30",3,"1",""
"30",4,"1",""
"30",5,"1",""
"30",6,"NA","1"
"30",7,"1",""
"30",8,"1",""
"30",9,"1",""
"30",99,"",""
"31",1,"1",""
"31",10,"2",""
"31",11,"2",""
"31",12,"2",""
"31",13,"NA","1"
"31",14,"2",""
"31",15,"2",""
"31",16,"1",""
"31",17,"2",""
"31",18,"1",""
"31",19,"1",""
"31",2,"2",""
"31",20,"2",""
"31",21,"9",""
"31",3,"4",""
"31",4,"2",""
"31",5,"NA","1"
"31",6,"NA","1"
"31",7,"1",""
"31",8,"1",""
"31",9,"2",""
"31",99,"",""
"32",1,"1",""
"32",10,"8",""
"32",11,"NA","1"
"32",12,"NA","1"
"32",13,"NA","1"
"32",14,"NA","1"
"32",15,"NA","1"
"32",16,"NA","1"
"32",17,"NA","1"
"32",18,"NA","1"
"32",19,"NA","1"
"32",2,"6",""
"32",20,"NA","1"
"32",21,"NA","1"
"32",3,"NA","1"
"32",4,"3",""
"32",5,"NA","1"
"32",6,"NA","1"
"32",7,"NA","1"
"32",8,"NA","1"
"32",9,"1",""
"32",99,"",""
