entidad,mater_ja,mesolutt,mesolu1,mesolu2,mesolu3,mesolu4,mesolu5,mesolu6,mesolu7,mesolu8,mesolu9,mesolu10,mesolu11,mesolunt
"21",2,"43","43","0","0","0","0","0","0","0","0","0","",""
"21",3,"1649","1649","0","0","0","0","0","0","0","0","0","",""
"21",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"21",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"21",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"21",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"21",8,"11","11","0","0","0","0","0","0","0","0","0","",""
"21",9,"","","","","","","","","","","","",""
"22",1,"240","239","0","1","0","0","0","0","0","0","0","",""
"22",2,"0","0","0","0","0","0","0","0","0","0","0","",""
"22",3,"657","657","0","0","0","0","0","0","0","0","0","",""
"22",4,"305","0","0","0","0","0","0","0","0","305","0","",""
"22",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"22",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"22",7,"0","0","0","0","0","0","0","0","0","0","0","",""
"22",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"22",9,"","","","","","","","","","","","",""
"23",1,"908","39","0","869","0","0","0","0","0","0","0","",""
"23",2,"4","4","0","0","0","0","0","0","0","0","0","",""
"23",3,"1713","565","3","1145","0","0","0","0","0","0","0","3",""
"23",4,"108","25","0","81","0","2","0","0","0","0","0","",""
"23",5,"12","3","0","9","0","0","0","0","0","0","0","",""
"23",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"23",7,"NSS","NSS","0","NSS","0","0","0","0","0","0","0","",""
"23",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"23",9,"","","","","","","","","","","","",""
"24",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"24",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"24",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"24",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"24",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
