entidad,delitos,acdecttt,acdect1,acdect2,acdect3,acdect4,acdect5,acdect6
"07",40111,"3","0","0","","3","0",""
"07",40112,"2","0","0","","2","0",""
"07",40113,"129","10","0","","111","8",""
"07",40114,"44","15","0","","29","0",""
"07",40115,"0","0","0","","0","0",""
"07",40116,"0","0","0","","0","0",""
"07",40119,"90","27","0","","58","5",""
"07",40199,"","","","","","",""
"07",40200,"0","0","0","","0","0",""
"07",40300,"60","39","0","","21","0",""
"07",40400,"25","21","0","","4","0",""
"07",40500,"19","5","0","","14","0",""
"07",40501,"9","1","0","","8","0",""
"07",40509,"10","4","0","","6","0",""
"07",40599,"","","","","","",""
"07",40600,"313","19","0","","294","0",""
"07",40700,"56","45","0","","11","0",""
"07",40900,"24","0","1","","23","0",""
"07",50100,"151","39","0","","112","0",""
"07",50200,"268","242","0","","26","0",""
"07",50900,"1","0","0","","1","0",""
"07",60100,"17","2","0","","15","0",""
"07",60101,"13","0","0","","13","0",""
"07",60102,"0","0","0","","0","0",""
"07",60103,"0","0","0","","0","0",""
"07",60104,"2","2","0","","0","0",""
"07",60105,"0","0","0","","0","0",""
"07",60106,"2","0","0","","2","0",""
"07",60109,"0","0","0","","0","0",""
"07",60199,"","","","","","",""
"07",60200,"40","6","1","","33","0",""
"07",60201,"27","3","1","","23","0",""
"07",60202,"12","2","0","","10","0",""
"07",60203,"1","1","0","","0","0",""
"07",60209,"0","0","0","","0","0",""
"07",60299,"","","","","","",""
"07",60300,"0","0","0","","0","0",""
"07",60400,"1","0","0","","1","0",""
"07",60900,"0","0","0","","0","0",""
"07",70100,"205","47","0","","158","0",""
"07",70101,"50","11","0","","39","0",""
"07",70102,"0","0","0","","0","0",""
"07",70103,"147","32","0","","115","0",""
"07",70104,"8","4","0","","4","0",""
"07",70109,"0","0","0","","0","0",""
"07",70199,"","","","","","",""
"07",70200,"0","0","0","","0","0",""
"07",70201,"0","0","0","","0","0",""
"07",70202,"0","0","0","","0","0",""
"07",70203,"0","0","0","","0","0",""
"07",70204,"0","0","0","","0","0",""
"07",70205,"0","0","0","","0","0",""
"07",70206,"0","0","0","","0","0",""
"07",70209,"0","0","0","","0","0",""
"07",70299,"","","","","","",""
"07",70300,"1","1","0","","0","0",""
"07",70400,"39","8","0","","31","0",""
"07",70500,"0","0","0","","0","0",""
"07",70600,"0","0","0","","0","0",""
"07",70900,"35","5","0","","30","0",""
"07",80100,"37","11","0","","26","0",""
"07",80101,"16","6","0","","10","0",""
"07",80102,"13","2","0","","11","0",""
"07",80103,"1","0","0","","1","0",""
"07",80104,"4","2","0","","2","0",""
"07",80105,"0","0","0","","0","0",""
"07",80106,"1","1","0","","0","0",""
"07",80107,"1","0","0","","1","0",""
"07",80109,"1","0","0","","1","0",""
"07",80199,"","","","","","",""
"07",80200,"4","0","0","","4","0",""
"07",80201,"0","0","0","","0","0",""
"07",80209,"4","0","0","","4","0",""
"07",80299,"","","","","","",""
"07",80300,"0","0","0","","0","0",""
"07",80400,"3","0","0","","3","0",""
"07",80900,"7","2","0","","5","0",""
"07",90100,"26","8","0","","18","0",""
"07",90200,"31","7","0","","24","0",""
"07",90300,"3","1","0","","2","0",""
"07",90400,"7","2","0","","5","0",""
"07",90500,"9","1","0","","8","0",""
"07",90501,"4","1","0","","3","0",""
"07",90502,"0","0","0","","0","0",""
"07",90503,"4","0","0","","4","0",""
"07",90509,"1","0","0","","1","0",""
"07",90599,"","","","","","",""
"07",90600,"248","28","0","","220","0",""
"07",90700,"1","0","0","","1","0",""
"07",90701,"1","0","0","","1","0",""
"07",90709,"0","0","0","","0","0",""
"07",90799,"","","","","","",""
"07",90800,"0","0","0","","0","0",""
"07",90900,"0","0","0","","0","0",""
"07",91000,"0","0","0","","0","0",""
"07",91100,"21","2","0","","19","0",""
"07",91200,"9","1","0","","8","0",""
"07",91300,"0","0","0","","0","0",""
"07",91400,"1","0","0","","1","0",""
"07",91500,"0","0","0","","0","0",""
"07",91600,"0","0","0","","0","0",""
