entidad,ran_edad,stpsextt,stpsex1,stpsex2,stpsex4,stpsex5
"01",1,"NSS","NSS","NSS","NSS","NSS"
"01",2,"NSS","NSS","NSS","NSS","NSS"
"01",3,"NSS","NSS","NSS","NSS","NSS"
"01",4,"NSS","NSS","NSS","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS","NSS"
"01",6,"NSS","NSS","NSS","NSS","NSS"
"01",7,"NSS","NSS","NSS","NSS","NSS"
"29",2,"84","43","40","0","1"
"29",3,"74","34","40","0","0"
"29",4,"50","22","26","0","2"
"29",5,"37","20","11","2","4"
"29",6,"71","36","28","4","3"
"29",7,"87","47","23","8","9"
"29",8,"92","52","25","9","6"
"29",9,"68","40","16","6","6"
"29",10,"62","31","23","5","3"
"29",11,"38","18","9","7","4"
"29",12,"42","26","9","5","2"
"29",13,"73","43","16","11","3"
"29",14,"240","110","74","29","27"
"30",1,"59","26","25","3","5"
"30",2,"107","46","37","7","17"
"30",3,"131","35","59","8","29"
"30",4,"97","22","51","5","19"
"30",5,"147","47","88","4","8"
"30",6,"171","63","97","4","7"
"30",7,"148","49","81","8","10"
"30",8,"187","78","91","6","12"
"30",9,"169","67","79","9","14"
"30",10,"157","67","71","12","7"
"30",11,"142","73","57","5","7"
"30",12,"90","55","27","4","4"
"30",13,"221","113","89","13","6"
"30",14,"1309","197","235","428","449"
"31",1,"6","4","2","0","0"
"31",2,"5","2","2","0","1"
"31",3,"17","6","7","0","4"
"31",4,"19","5","7","3","4"
"31",5,"41","6","17","9","9"
"31",6,"60","8","39","8","5"
"31",7,"63","13","28","10","12"
"31",8,"70","10","31","16","13"
"31",9,"64","13","18","19","14"
"31",10,"34","5","11","11","7"
"31",11,"23","11","6","4","2"
"31",12,"15","5","2","3","5"
"31",13,"51","17","11","14","9"
"31",14,"383","25","40","179","139"
"32",1,"15","0","0","8","7"
"32",2,"69","22","10","19","18"
"32",3,"93","16","12","22","43"
"32",4,"122","17","7","57","41"
"32",5,"160","22","14","69","55"
"32",6,"208","46","21","85","56"
"32",7,"185","44","14","70","57"
"32",8,"195","37","18","70","70"
"32",9,"200","36","20","84","60"
"32",10,"141","26","3","70","42"
"32",11,"90","16","6","38","30"
"32",12,"110","34","18","29","29"
"32",13,"193","45","32","77","39"
"32",14,"976","564","262","79","71"
