entidad,gdoestad,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"18",2,"1","1","NSS","0","0",""
"18",3,"4","4","NSS","0","0",""
"18",4,"4","4","NSS","0","0",""
"18",5,"NSS","0","NSS","0","0",""
"18",6,"23","22","1","0","0",""
"19",1,"0","0","0","0","0",""
"19",2,"0","0","0","0","0",""
"19",3,"7","0","0","7","0",""
"19",4,"17","0","0","16","1",""
"19",5,"0","0","0","0","0",""
"19",6,"18","0","0","7","0","11"
"20",1,"0","0","0","0","0",""
"20",2,"4","0","0","4","0",""
"20",3,"4","0","0","4","0",""
"20",4,"3","0","0","3","0",""
"20",5,"0","0","0","0","0",""
"20",6,"2","0","0","2","0",""
"21",1,"2","2","0","0","0",""
"21",2,"14","14","0","0","0",""
"21",3,"13","13","0","0","0",""
"21",4,"12","12","0","0","0",""
"21",5,"0","0","0","0","0",""
"21",6,"1","1","0","0","0",""
"22",1,"0","0","0","0","0",""
"22",2,"3","0","0","3","0",""
"22",3,"5","0","0","5","0",""
"22",4,"0","0","0","0","0",""
"22",5,"0","0","0","0","0",""
"22",6,"0","0","0","0","0",""
"23",1,"0","0","0","0","0",""
"23",2,"1","0","0","0","1",""
"23",3,"6","0","0","5","1",""
"23",4,"0","0","0","0","0",""
"23",5,"0","0","0","0","0",""
"23",6,"1","0","0","1","0",""
"24",1,"0","0","0","0","0",""
"24",2,"0","0","0","0","0",""
"24",3,"0","0","0","0","0",""
"24",4,"0","0","0","0","0",""
"24",5,"0","0","0","0","0",""
"24",6,"0","0","0","0","0",""
"25",1,"NSS","0","0","NSS","NSS",""
"25",2,"NSS","0","0","NSS","NSS",""
"25",3,"NSS","0","0","NSS","NSS",""
"25",4,"NSS","0","0","NSS","NSS",""
"25",5,"NSS","0","0","NSS","NSS",""
"25",6,"39","0","0","NSS","NSS","39"
"26",1,"0","0","0","0","0",""
"26",2,"0","0","0","0","0",""
"26",3,"94","92","2","0","0",""
"26",4,"238","222","16","0","0",""
"26",5,"0","0","0","0","0",""
"26",6,"104","96","8","0","0",""
"27",1,"1","0","0","1","0",""
"27",2,"10","0","0","10","0",""
"27",3,"12","0","0","11","1",""
"27",4,"6","0","0","6","0",""
"27",5,"0","0","0","0","0",""
"27",6,"13","0","0","13","0",""
"28",1,"NSS","NSS","NSS","0","0",""
"28",2,"NSS","NSS","NSS","0","0",""
"28",3,"NSS","NSS","NSS","0","0",""
"28",4,"NSS","NSS","NSS","0","0",""
"28",5,"NSS","NSS","NSS","0","0",""
"28",6,"NSS","NSS","NSS","0","0",""
"29",1,"0","0","0","0","0",""
"29",2,"2","2","0","0","0",""
"29",3,"10","10","0","0","0",""
"29",4,"11","11","0","0","0",""
"29",5,"0","0","0","0","0",""
"29",6,"0","0","0","0","0",""
"30",1,"1","0","0","1","0",""
