entidad,tipoasun,tisist1,tisist2
"16",7,"3","0"
"16",8,"0","0"
"16",9,"0","0"
"16",10,"0","0"
"16",11,"0","0"
"16",12,"0","0"
"16",13,"0","0"
"16",14,"0","0"
"16",15,"9650","54"
"17",1,"0","760"
"17",2,"0","0"
"17",3,"0","0"
"17",4,"0","6"
"17",5,"0","0"
"17",6,"0","0"
"17",7,"0","3"
"17",8,"0","0"
"17",9,"0","0"
"17",10,"0","0"
"17",11,"0","0"
"17",12,"0","0"
"17",13,"0","0"
"17",14,"0","0"
"17",15,"0","0"
"18",1,"2093","1226"
"18",2,"856","8"
"18",3,"0","0"
"18",4,"27","0"
"18",5,"0","1"
"18",6,"0","0"
"18",7,"32","1"
"18",8,"0","0"
"18",9,"0","0"
"18",10,"0","0"
"18",11,"0","0"
"18",12,"0","4"
"18",13,"0","0"
"18",14,"0","0"
"18",15,"0","1"
"19",1,"1288","8936"
"19",2,"0","0"
"19",3,"0","0"
"19",4,"0","0"
"19",5,"0","0"
"19",6,"0","0"
"19",7,"0","12"
"19",8,"0","0"
"19",9,"0","0"
"19",10,"0","0"
"19",11,"0","0"
"19",12,"0","0"
"19",13,"0","0"
"19",14,"0","0"
"19",15,"0","0"
"20",1,"873","1347"
"20",2,"13526","1764"
"20",3,"0","0"
"20",4,"0","0"
"20",5,"0","0"
"20",6,"0","0"
"20",7,"873","0"
"20",8,"0","0"
"20",9,"0","0"
"20",10,"0","0"
"20",11,"0","0"
"20",12,"0","0"
"20",13,"0","0"
"20",14,"0","0"
"20",15,"0","997"
"21",1,"2101","2747"
"21",2,"200","158"
"21",3,"0","0"
"21",4,"104","98"
"21",5,"0","1"
"21",6,"1","0"
"21",7,"8","7"
"21",8,"5","4"
"21",9,"0","0"
"21",10,"0","0"
"21",11,"0","0"
"21",12,"0","8"
"21",13,"0","0"
"21",14,"0","0"
"21",15,"1554","42"
"22",1,"658","547"
"22",2,"337","0"
"22",3,"0","0"
"22",4,"10","0"
"22",5,"2","0"
"22",6,"0","0"
"22",7,"14","7"
"22",8,"8","0"
"22",9,"0","0"
"22",10,"0","0"
"22",11,"0","0"
"22",12,"6","0"
"22",13,"0","0"
"22",14,"0","0"
"22",15,"0","0"
"23",1,"677","559"
"23",2,"0","124"
"23",3,"0","0"
"23",4,"1","1"
"23",5,"0","0"
"23",6,"0","0"
"23",7,"0","3"
"23",8,"0","11"
"23",9,"0","0"
"23",10,"0","0"
"23",11,"0","0"
"23",12,"0","50"
"23",13,"0","0"
"23",14,"0","0"
"23",15,"22","34"
"24",1,"1394","370"
"24",2,"3510","0"
"24",3,"0","0"
"24",4,"22","0"
"24",5,"12","0"
"24",6,"0","0"
"24",7,"0","0"
"24",8,"0","0"
"24",9,"0","0"
"24",10,"0","0"
"24",11,"0","0"
"24",12,"0","0"
"24",13,"0","0"
"24",14,"0","0"
"24",15,"0","0"
"25",1,"NSS","973"
"25",2,"2738","0"
"25",3,"0","0"
"25",4,"0","0"
"25",5,"0","0"
"25",6,"0","0"
"25",7,"0","0"
"25",8,"0","0"
"25",9,"0","0"
"25",10,"0","0"
"25",11,"0","0"
"25",12,"0","0"
"25",13,"0","0"
"25",14,"0","0"
"25",15,"0","0"
"26",1,"4673","856"
"26",2,"0","0"
"26",3,"0","0"
"26",4,"0","0"
"26",5,"0","0"
"26",6,"0","0"
"26",7,"0","6"
"26",8,"0","0"
"26",9,"0","0"
"26",10,"0","0"
"26",11,"0","0"
"26",12,"0","0"
"26",13,"0","0"
"26",14,"0","0"
"26",15,"0","0"
"27",1,"1095","1447"
"27",2,"0","43"
"27",3,"0","0"
"27",4,"10","0"
"27",5,"0","0"
"27",6,"0","0"
"27",7,"1","0"
"27",8,"0","0"
"27",9,"0","0"
"27",10,"0","0"
"27",11,"0","0"
"27",12,"0","0"
"27",13,"0","0"
"27",14,"0","0"
"27",15,"0","39"
"28",1,"1481","678"
"28",2,"2776","0"
"28",3,"0","0"
"28",4,"0","0"
"28",5,"0","0"
"28",6,"0","0"
"28",7,"0","0"
"28",8,"25","0"
"28",9,"0","0"
"28",10,"0","0"
"28",11,"0","0"
"28",12,"0","0"
"28",13,"0","0"
"28",14,"0","0"
"28",15,"0","0"
"29",1,"832","155"
"29",2,"395","239"
"29",3,"0","0"
"29",4,"24","3"
"29",5,"1","0"
"29",6,"0","0"
"29",7,"0","0"
"29",8,"0","9"
"29",9,"0","0"
"29",10,"0","0"
"29",11,"0","0"
"29",12,"0","235"
"29",13,"0","0"
"29",14,"0","0"
"29",15,"303","36"
"30",1,"1892","1167"
"30",2,"5404","302"
"30",3,"0","0"
"30",4,"12","1"
"30",5,"6","5"
"30",6,"0","0"
"30",7,"8","0"
"30",8,"583","129"
"30",9,"0","1"
"30",10,"0","0"
"30",11,"0","0"
"30",12,"2","8"
"30",13,"0","0"
"30",14,"0","0"
"30",15,"5","4"
"31",1,"337","543"
"31",2,"310","26"
"31",3,"0","0"
"31",4,"1","0"
"31",5,"0","0"
"31",6,"0","3"
"31",7,"0","2"
"31",8,"0","2"
"31",9,"0","1"
"31",10,"0","0"
"31",11,"0","1723"
"31",12,"0","0"
"31",13,"0","0"
"31",14,"0","0"
"31",15,"0","4"
"32",1,"834","1204"
"32",2,"861","838"
"32",3,"0","0"
"32",4,"0","2"
"32",5,"0","0"
"32",6,"0","0"
"32",7,"0","4"
"32",8,"0","48"
"32",9,"0","1"
"32",10,"0","0"
"32",11,"0","0"
"32",12,"0","18"
"32",13,"0","0"
"32",14,"0","0"
"32",15,"0","211"
