entidad,mater_ja,conclstt,concls1,concls2,concls3,concls4,concls5,concls6,concls7,concls8,concls9,no_aplic
"05",5,"0","0","0","0","0","0","0","0","0","0",""
"05",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"05",7,"0","0","0","0","0","0","0","0","0","0",""
"05",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"06",1,"714","0","328","0","0","0","0","343","0","43",""
"06",2,"366","0","246","0","0","0","0","108","0","12",""
"06",3,"728","0","312","0","0","0","0","355","0","61",""
"06",4,"22","0","22","0","0","0","0","0","0","0",""
"06",5,"10","0","6","0","0","0","0","3","0","1",""
"06",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"06",7,"0","0","0","0","0","0","0","0","0","0",""
"06",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"07",1,"184","NSS","NSS","NSS","NSS","NSS","NSS","184","0","0",""
"07",2,"216","NSS","NSS","NSS","NSS","NSS","NSS","216","0","0",""
"07",3,"755","NSS","NSS","NSS","NSS","NSS","NSS","755","0","0",""
"07",4,"24","NSS","NSS","NSS","NSS","NSS","NSS","24","0","0",""
"07",5,"0","0","0","0","0","0","0","0","0","0",""
"07",6,"0","0","0","0","0","0","0","0","0","0",""
"07",7,"4621","681","2530","100","6","811","493","0","0","0",""
"07",8,"0","0","0","0","0","0","0","0","0","0",""
"08",1,"1879","402","739","30","4","NSS","NSS","532","1","171",""
"08",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"08",3,"2445","588","469","34","39","NSS","NSS","1148","1","166",""
"08",4,"437","114","113","16","0","NSS","NSS","138","0","56",""
"08",5,"0","0","0","0","0","0","0","0","0","0",""
"08",6,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"08",7,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"08",8,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"09",1,"6217","0","0","89","0","0","4787","1341","0","0",""
"09",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"09",3,"1789","0","15","6","0","0","958","810","0","0",""
"09",4,"665","60","0","52","0","0","454","99","0","0",""
"09",5,"51","1","2","5","0","15","0","28","0","0",""
"09",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"09",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"09",8,"6486","0","0","0","0","0","0","6486","0","0",""
"10",1,"827","0","0","0","0","0","0","827","0","0",""
"10",2,"304","0","0","0","0","0","0","304","0","0",""
"10",3,"587","0","0","0","0","0","0","587","0","0",""
"10",4,"21","0","0","0","0","0","0","21","0","0",""
"10",5,"6","0","0","0","0","0","0","6","0","0",""
"10",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"10",7,"3487","917","2384","61","0","125","0","0","0","0",""
"10",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11",1,"4571","237","2340","221","0","0","231","1542","0","0",""
"11",2,"5099","65","2946","50","0","0","578","1460","0","0",""
"11",3,"8794","276","1230","643","0","0","109","6428","108","0",""
"11",4,"3015","315","814","248","0","0","120","1253","0","265",""
"11",5,"129","7","75","5","0","0","0","30","0","12",""
"11",6,"0","0","0","0","0","0","0","0","0","0",""
"11",7,"0","0","0","0","0","0","0","0","0","0",""
"11",8,"454","46","201","27","0","0","20","160","0","0",""
"12",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"12",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"12",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"12",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"12",5,"11","1","0","0","0","0","0","10","0","0",""
"12",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"12",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"12",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"13",1,"1482","0","0","0","0","0","670","812","0","0",""
"13",2,"364","0","0","0","0","0","133","231","0","0",""
"13",3,"1631","0","0","0","0","0","442","1189","0","0",""
"13",4,"64","11","4","3","0","0","5","41","0","0",""
"13",5,"1","0","1","0","0","0","0","0","0","0",""
"13",6,"605","0","0","0","0","0","197","408","0","0",""
"13",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"13",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"14",1,"361","56","0","21","0","9","71","204","0","0",""
"14",2,"92","11","0","3","0","3","15","60","0","0",""
"14",3,"1227","111","0","13","0","10","40","1053","0","0",""
"14",4,"1544","312","0","40","3","34","192","963","0","0",""
"14",5,"0","0","0","0","0","0","0","0","0","0",""
"14",6,"0","0","0","0","0","0","0","0","0","0",""
"14",7,"0","0","0","0","0","0","0","0","0","0",""
"14",8,"122","32","0","5","0","2","35","48","0","0",""
"15",1,"3965","2111","1136","0","0","0","2","716","0","0",""
"15",2,"1626","858","374","0","0","0","0","394","0","0",""
"15",3,"13784","5080","4363","0","0","0","5","4336","0","0",""
"15",4,"429","227","79","0","0","0","0","123","0","0",""
"15",5,"8","4","4","0","0","0","0","0","0","0",""
"15",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"15",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"15",8,"2311","1104","532","0","0","0","1","674","0","0",""
"16",1,"683","0","0","460","0","0","0","223","0","0",""
"16",2,"186","0","0","99","0","0","0","87","0","0",""
"16",3,"1393","0","0","730","0","0","0","663","0","0",""
"16",4,"341","0","0","134","0","0","0","207","0","0",""
"16",5,"6","0","0","3","0","0","0","3","0","0",""
"16",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
