entidad,sistn_op,eqcomptt,eqcomp1,eqcomp2,no_aplic
"19",3,"NA","NA","NA","NA"
"19",4,"NA","NA","NA","NA"
"19",5,"NA","NA","NA","NA"
"19",6,"NA","NA","NA","NA"
"19",7,"NA","NA","NA","NA"
"19",8,"NA","NA","NA","NA"
"19",9,"NA","NA","NA","NA"
"19",10,"NA","NA","NA","NA"
"19",11,"NA","NA","NA","NA"
"19",12,"NA","NA","NA","NA"
"19",13,"NA","NA","NA","NA"
"19",14,"NA","NA","NA","NA"
"19",15,"NA","NA","NA","NA"
"19",99,"NA","NA","NA","NA"
"20",1,"NA","NA","NA","NA"
"20",2,"NA","NA","NA","NA"
"20",3,"NA","NA","NA","NA"
"20",4,"NA","NA","NA","NA"
"20",5,"NA","NA","NA","NA"
"20",6,"NA","NA","NA","NA"
"20",7,"NA","NA","NA","NA"
"20",8,"NA","NA","NA","NA"
"20",9,"NA","NA","NA","NA"
"20",10,"NA","NA","NA","NA"
"20",11,"NA","NA","NA","NA"
"20",12,"NA","NA","NA","NA"
"20",13,"NA","NA","NA","NA"
"20",14,"NA","NA","NA","NA"
"20",15,"NA","NA","NA","NA"
"20",99,"NA","NA","NA","NA"
"21",1,"NA","NA","NA","NA"
"21",2,"NA","NA","NA","NA"
"21",3,"NA","NA","NA","NA"
"21",4,"NA","NA","NA","NA"
"21",5,"NA","NA","NA","NA"
"21",6,"NA","NA","NA","NA"
"21",7,"NA","NA","NA","NA"
"21",8,"NA","NA","NA","NA"
"21",9,"NA","NA","NA","NA"
"21",10,"NA","NA","NA","NA"
"21",11,"NA","NA","NA","NA"
"21",12,"NA","NA","NA","NA"
"21",13,"NA","NA","NA","NA"
"21",14,"NA","NA","NA","NA"
"21",15,"NA","NA","NA","NA"
"21",99,"NA","NA","NA","NA"
"22",1,"NA","NA","NA","NA"
"22",2,"NA","NA","NA","NA"
"22",3,"NA","NA","NA","NA"
"22",4,"NA","NA","NA","NA"
"22",5,"NA","NA","NA","NA"
"22",6,"NA","NA","NA","NA"
"22",7,"NA","NA","NA","NA"
"22",8,"NA","NA","NA","NA"
"22",9,"NA","NA","NA","NA"
"22",10,"NA","NA","NA","NA"
"22",11,"NA","NA","NA","NA"
"22",12,"NA","NA","NA","NA"
"22",13,"NA","NA","NA","NA"
"22",14,"NA","NA","NA","NA"
"22",15,"NA","NA","NA","NA"
"22",99,"NA","NA","NA","NA"
"23",1,"NA","NA","NA","1"
"23",2,"NA","NA","NA","1"
"23",3,"NA","NA","NA","1"
"23",4,"23","23","0",""
"23",5,"NA","NA","NA","1"
"23",6,"NA","NA","NA","1"
"23",7,"NA","NA","NA","1"
"23",8,"NA","NA","NA","1"
"23",9,"NA","NA","NA","1"
"23",10,"NA","NA","NA","1"
"23",11,"NA","NA","NA","1"
"23",12,"NA","NA","NA","1"
"23",13,"NA","NA","NA","1"
"23",14,"NA","NA","NA","1"
"23",15,"NA","NA","NA","1"
"23",99,"NA","NA","NA","1"
"24",1,"NA","NA","NA","NA"
"24",2,"NA","NA","NA","NA"
"24",3,"NA","NA","NA","NA"
"24",4,"NA","NA","NA","NA"
"24",5,"NA","NA","NA","NA"
"24",6,"NA","NA","NA","NA"
"24",7,"NA","NA","NA","NA"
"24",8,"NA","NA","NA","NA"
"24",9,"NA","NA","NA","NA"
"24",10,"NA","NA","NA","NA"
"24",11,"NA","NA","NA","NA"
"24",12,"NA","NA","NA","NA"
"24",13,"NA","NA","NA","NA"
"24",14,"NA","NA","NA","NA"
"24",15,"NA","NA","NA","NA"
"24",99,"NA","NA","NA","NA"
"25",1,"NA","NA","NA","NA"
"25",2,"NA","NA","NA","NA"
"25",3,"NA","NA","NA","NA"
"25",4,"NA","NA","NA","NA"
"25",5,"NA","NA","NA","NA"
"25",6,"NA","NA","NA","NA"
"25",7,"NA","NA","NA","NA"
"25",8,"NA","NA","NA","NA"
"25",9,"NA","NA","NA","NA"
"25",10,"NA","NA","NA","NA"
"25",11,"NA","NA","NA","NA"
"25",12,"NA","NA","NA","NA"
"25",13,"NA","NA","NA","NA"
"25",14,"NA","NA","NA","NA"
"25",15,"NA","NA","NA","NA"
"25",99,"NA","NA","NA","NA"
"26",1,"NA","NA","NA","NA"
"26",2,"NA","NA","NA","NA"
"26",3,"NA","NA","NA","NA"
"26",4,"NA","NA","NA","NA"
"26",5,"NA","NA","NA","NA"
"26",6,"NA","NA","NA","NA"
"26",7,"NA","NA","NA","NA"
"26",8,"NA","NA","NA","NA"
"26",9,"NA","NA","NA","NA"
"26",10,"NA","NA","NA","NA"
"26",11,"NA","NA","NA","NA"
"26",12,"NA","NA","NA","NA"
"26",13,"NA","NA","NA","NA"
"26",14,"NA","NA","NA","NA"
"26",15,"NA","NA","NA","NA"
"26",99,"NA","NA","NA","NA"
"27",1,"NA","NA","NA","NA"
"27",2,"NA","NA","NA","NA"
"27",3,"NA","NA","NA","NA"
"27",4,"NA","NA","NA","NA"
"27",5,"NA","NA","NA","NA"
"27",6,"NA","NA","NA","NA"
"27",7,"NA","NA","NA","NA"
"27",8,"NA","NA","NA","NA"
"27",9,"NA","NA","NA","NA"
"27",10,"NA","NA","NA","NA"
"27",11,"NA","NA","NA","NA"
"27",12,"NA","NA","NA","NA"
"27",13,"NA","NA","NA","NA"
"27",14,"NA","NA","NA","NA"
"27",15,"NA","NA","NA","NA"
"27",99,"NA","NA","NA","NA"
"28",1,"NA","NA","NA","NA"
"28",2,"NA","NA","NA","NA"
"28",3,"NA","NA","NA","NA"
"28",4,"NA","NA","NA","NA"
"28",5,"NA","NA","NA","NA"
"28",6,"NA","NA","NA","NA"
"28",7,"NA","NA","NA","NA"
"28",8,"NA","NA","NA","NA"
"28",9,"NA","NA","NA","NA"
"28",10,"NA","NA","NA","NA"
"28",11,"NA","NA","NA","NA"
"28",12,"NA","NA","NA","NA"
"28",13,"NA","NA","NA","NA"
"28",14,"NA","NA","NA","NA"
"28",15,"NA","NA","NA","NA"
"28",99,"NA","NA","NA","NA"
"29",1,"NA","NA","NA","NA"
"29",2,"NA","NA","NA","NA"
"29",3,"NA","NA","NA","NA"
"29",4,"NA","NA","NA","NA"
"29",5,"NA","NA","NA","NA"
"29",6,"NA","NA","NA","NA"
