entidad,gdo_estu,stpjsxtt,stpjsx1,stpjsx2,stpjsx4,stpjsx5
"25",7,"NSS","NSS","NSS","0","NSS"
"25",8,"NSS","NSS","NSS","0","NSS"
"25",9,"899","NSS","NSS","834","65"
"26",1,"18","0","0","18","0"
"26",2,"1339","676","59","571","33"
"26",3,"2166","1880","122","153","11"
"26",4,"958","831","92","34","1"
"26",5,"0","0","0","0","0"
"26",6,"430","371","59","0","0"
"26",7,"1","0","0","1","0"
"26",8,"0","0","0","0","0"
"26",9,"1750","1393","223","118","16"
"27",1,"76","29","8","29","10"
"27",2,"944","167","20","480","277"
"27",3,"687","294","26","220","147"
"27",4,"308","173","19","76","40"
"27",5,"0","0","0","0","0"
"27",6,"82","66","12","3","1"
"27",7,"5","4","0","1","0"
"27",8,"7","4","3","0","0"
"27",9,"1032","408","37","432","155"
"28",1,"46","8","1","32","5"
"28",2,"144","129","10","4","1"
"28",3,"146","137","7","2","0"
"28",4,"32","29","3","0","0"
"28",5,"0","0","0","0","0"
"28",6,"10","10","0","0","0"
"28",7,"1","1","0","0","0"
"28",8,"0","0","0","0","0"
"28",9,"2378","1359","268","642","109"
"29",1,"14","12","2","0","0"
"29",2,"199","109","15","73","2"
"29",3,"235","180","15","35","5"
"29",4,"124","86","10","19","9"
"29",5,"0","0","0","0","0"
"29",6,"45","35","9","0","1"
"29",7,"0","0","0","0","0"
"29",8,"0","0","0","0","0"
"29",9,"316","229","69","16","2"
"30",1,"128","67","13","42","6"
"30",2,"856","335","72","415","34"
"30",3,"559","352","50","132","25"
"30",4,"368","249","44","59","16"
"30",5,"0","0","0","0","0"
"30",6,"195","150","42","2","1"
"30",7,"10","5","4","0","1"
"30",8,"6","5","1","0","0"
"30",9,"1748","789","155","689","115"
"31",1,"19","1","0","16","2"
"31",2,"421","37","4","345","35"
"31",3,"195","80","9","92","14"
"31",4,"76","35","7","27","7"
"31",5,"0","0","0","0","0"
"31",6,"59","47","9","2","1"
"31",7,"0","0","0","0","0"
"31",8,"0","0","0","0","0"
"31",9,"371","128","29","197","17"
"32",1,"35","13","3","17","2"
"32",2,"886","243","56","515","72"
"32",3,"213","72","20","106","15"
"32",4,"130","37","18","61","14"
"32",5,"0","0","0","0","0"
"32",6,"19","6","3","7","3"
"32",7,"6","0","0","6","0"
"32",8,"0","0","0","0","0"
"32",9,"1491","577","240","578","96"
