entidad,rangedad,sexostt,sexos1,sexos2,sexosne
"29",7,"NSS","NSS","NSS",""
"29",8,"NSS","NSS","NSS",""
"29",9,"NSS","NSS","NSS",""
"29",10,"38","34","4",""
"30",1,"NSS","NSS","NSS",""
"30",2,"NSS","NSS","NSS",""
"30",3,"NSS","NSS","NSS",""
"30",4,"NSS","NSS","NSS",""
"30",5,"NSS","NSS","NSS",""
"30",6,"NSS","NSS","NSS",""
"30",7,"NSS","NSS","NSS",""
"30",8,"NSS","NSS","NSS",""
"30",9,"NSS","NSS","NSS",""
"30",10,"NSS","NSS","NSS",""
"31",1,"NSS","NSS","NSS",""
"31",2,"NSS","NSS","NSS",""
"31",3,"NSS","NSS","NSS",""
"31",4,"NSS","NSS","NSS",""
"31",5,"NSS","NSS","NSS",""
"31",6,"NSS","NSS","NSS",""
"31",7,"NSS","NSS","NSS",""
"31",8,"NSS","NSS","NSS",""
"31",9,"NSS","NSS","NSS",""
"31",10,"NSS","NSS","NSS",""
"32",1,"NSS","NSS","NSS",""
"32",2,"NSS","NSS","NSS",""
"32",3,"NSS","NSS","NSS",""
"32",4,"NSS","NSS","NSS",""
"32",5,"NSS","NSS","NSS",""
"32",6,"NSS","NSS","NSS",""
"32",7,"NSS","NSS","NSS",""
"32",8,"NSS","NSS","NSS",""
"32",9,"NSS","NSS","NSS",""
"32",10,"NSS","NSS","NSS",""
