entidad,relvicti,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"26",5,"NSS","NSS","NSS","NSS","NSS"
"26",6,"NSS","NSS","NSS","NSS","NSS"
"26",7,"NSS","NSS","NSS","NSS","NSS"
"26",8,"NSS","NSS","NSS","NSS","NSS"
"26",9,"NSS","NSS","NSS","NSS","NSS"
"26",10,"40332","5331","6181","16695","12125"
"27",1,"NSS","NSS","NSS","NSS","NSS"
"27",2,"NSS","NSS","NSS","NSS","NSS"
"27",3,"NSS","NSS","NSS","NSS","NSS"
"27",4,"NSS","NSS","NSS","NSS","NSS"
"27",5,"NSS","NSS","NSS","NSS","NSS"
"27",6,"NSS","NSS","NSS","NSS","NSS"
"27",7,"NSS","NSS","NSS","NSS","NSS"
"27",8,"NSS","NSS","NSS","NSS","NSS"
"27",9,"NSS","NSS","NSS","NSS","NSS"
"27",10,"99789","11230","6233","52823","29503"
"28",1,"NSS","NSS","NSS","NSS","NSS"
"28",2,"NSS","NSS","NSS","NSS","NSS"
"28",3,"NSS","NSS","NSS","NSS","NSS"
"28",4,"NSS","NSS","NSS","NSS","NSS"
"28",5,"NSS","NSS","NSS","NSS","NSS"
"28",6,"NSS","NSS","NSS","NSS","NSS"
"28",7,"NSS","NSS","NSS","NSS","NSS"
"28",8,"NSS","NSS","NSS","NSS","NSS"
"28",9,"NSS","NSS","NSS","NSS","NSS"
"28",10,"45598","6932","4188","16284","18194"
"29",1,"NSS","NSS","NSS","NSS","NSS"
"29",2,"NSS","NSS","NSS","NSS","NSS"
"29",3,"NSS","NSS","NSS","NSS","NSS"
"29",4,"NSS","NSS","NSS","NSS","NSS"
"29",5,"NSS","NSS","NSS","NSS","NSS"
"29",6,"NSS","NSS","NSS","NSS","NSS"
"29",7,"NSS","NSS","NSS","NSS","NSS"
"29",8,"NSS","NSS","NSS","NSS","NSS"
"29",9,"NSS","NSS","NSS","NSS","NSS"
"29",10,"4698","1583","801","1555","759"
"30",1,"NSS","NSS","NSS","NSS","NSS"
"30",2,"NSS","NSS","NSS","NSS","NSS"
"30",3,"NSS","NSS","NSS","NSS","NSS"
"30",4,"NSS","NSS","NSS","NSS","NSS"
"30",5,"NSS","NSS","NSS","NSS","NSS"
"30",6,"NSS","NSS","NSS","NSS","NSS"
"30",7,"NSS","NSS","NSS","NSS","NSS"
"30",8,"NSS","NSS","NSS","NSS","NSS"
"30",9,"NSS","NSS","NSS","NSS","NSS"
"30",10,"49909","4584","3275","24535","17515"
"31",1,"NSS","NA","NA","NSS","NSS"
"31",2,"NSS","NA","NA","NSS","NSS"
"31",3,"NSS","NA","NA","NSS","NSS"
"31",4,"NSS","NA","NA","NSS","NSS"
"31",5,"NSS","NA","NA","NSS","NSS"
"31",6,"NSS","NA","NA","NSS","NSS"
"31",7,"NSS","NA","NA","NSS","NSS"
"31",8,"NSS","NA","NA","NSS","NSS"
"31",9,"NSS","NA","NA","NSS","NSS"
"31",10,"34344","NA","NA","21736","12608"
"32",1,"6","0","0","1","5"
"32",2,"7","0","0","7","0"
"32",3,"671","3","12","78","578"
"32",4,"83","1","0","44","38"
"32",5,"911","5","13","124","769"
"32",6,"1052","51","46","482","473"
"32",7,"0","0","0","0","0"
"32",8,"506","23","9","267","207"
"32",9,"4686","188","90","2659","1749"
"32",10,"10625","136","37","7126","3326"
