entidad,fam_ling,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"18",12,"NSS","NSS","NSS","","0","NSS",""
"18",13,"NSS","NSS","NSS","","0","NSS",""
"18",14,"4","NSS","NSS","","4","NSS",""
"18",15,"58","19","2","27","8","1","1"
"19",1,"69","66","3","","NSS","NSS",""
"19",2,"1","NSS","NSS","","1","NSS",""
"19",3,"NSS","NSS","NSS","","NSS","NSS",""
"19",4,"NSS","NSS","NSS","","NSS","NSS",""
"19",5,"NSS","NSS","NSS","","NSS","NSS",""
"19",6,"NSS","NSS","NSS","","NSS","NSS",""
"19",7,"NSS","NSS","NSS","","NSS","NSS",""
"19",8,"NSS","NSS","NSS","","NSS","NSS",""
"19",9,"NSS","NSS","NSS","","NSS","NSS",""
"19",10,"NSS","NSS","NSS","","NSS","NSS",""
"19",11,"NSS","NSS","NSS","","NSS","NSS",""
"19",12,"NSS","NSS","NSS","","NSS","NSS",""
"19",13,"NSS","NSS","NSS","","NSS","NSS",""
"19",14,"NSS","NSS","NSS","","NSS","NSS",""
"19",15,"608","NSS","NSS","605","1","NSS","2"
"20",1,"NSS","NSS","NSS","","0","0",""
"20",2,"NSS","NSS","NSS","","0","0",""
"20",3,"NSS","NSS","NSS","","0","0",""
"20",4,"NSS","NSS","NSS","","0","0",""
"20",5,"NSS","NSS","NSS","","0","0",""
"20",6,"NSS","NSS","NSS","","0","0",""
"20",7,"NSS","NSS","NSS","","0","0",""
"20",8,"NSS","NSS","NSS","","0","0",""
"20",9,"NSS","NSS","NSS","","0","0",""
"20",10,"NSS","NSS","NSS","","0","0",""
"20",11,"NSS","NSS","NSS","","0","0",""
"20",12,"NSS","NSS","NSS","","0","0",""
"20",13,"NSS","NSS","NSS","","0","0",""
"20",14,"NSS","NSS","NSS","","0","0",""
"20",15,"107","NSS","NSS","107","0","0",""
"21",1,"598","546","40","","11","1",""
"21",2,"NSS","0","NSS","","NSS","0",""
"21",3,"NSS","0","NSS","","NSS","0",""
"21",4,"NSS","0","NSS","","NSS","0",""
"21",5,"NSS","0","NSS","","NSS","0",""
"21",6,"NSS","0","NSS","","NSS","0",""
"21",7,"NSS","0","NSS","","NSS","0",""
"21",8,"1","1","NSS","","NSS","0",""
"21",9,"NSS","0","NSS","","NSS","0",""
"21",10,"NSS","0","NSS","","NSS","0",""
"21",11,"NSS","0","NSS","","NSS","0",""
"21",12,"NSS","0","NSS","","NSS","0",""
"21",13,"NSS","0","NSS","","NSS","0",""
"21",14,"1","1","NSS","","NSS","0",""
"21",15,"91","80","6","4","1","0",""
"22",1,"220","186","14","","20","NSS",""
"22",2,"NSS","NSS","NSS","","0","NSS",""
"22",3,"NSS","NSS","NSS","","0","NSS",""
"22",4,"NSS","NSS","NSS","","0","NSS",""
"22",5,"NSS","NSS","NSS","","0","NSS",""
"22",6,"NSS","NSS","NSS","","0","NSS",""
"22",7,"NSS","NSS","NSS","","0","NSS",""
"22",8,"NSS","NSS","NSS","","0","NSS",""
"22",9,"NSS","NSS","NSS","","0","NSS",""
"22",10,"NSS","NSS","NSS","","0","NSS",""
"22",11,"NSS","NSS","NSS","","0","NSS",""
"22",12,"NSS","NSS","NSS","","0","NSS",""
"22",13,"NSS","NSS","NSS","","0","NSS",""
"22",14,"NSS","NSS","NSS","","0","NSS",""
"22",15,"4","3","1","","0","NSS",""
"23",1,"107","23","3","","78","3",""
"23",2,"0","0","0","","0","0",""
"23",3,"0","0","0","","0","0",""
"23",4,"0","0","0","","0","0",""
"23",5,"0","0","0","","0","0",""
"23",6,"0","0","0","","0","0",""
"23",7,"0","0","0","","0","0",""
"23",8,"0","0","0","","0","0",""
"23",9,"0","0","0","","0","0",""
"23",10,"4","2","0","","2","0",""
"23",11,"0","0","0","","0","0",""
"23",12,"0","0","0","","0","0",""
"23",13,"0","0","0","","0","0",""
"23",14,"1","0","0","","1","0",""
"23",15,"6","1","0","","5","0",""
"24",1,"788","723","48","","16","1",""
"24",2,"NSS","0","0","","NSS","0",""
"24",3,"NSS","0","0","","NSS","0",""
"24",4,"NSS","0","0","","NSS","0",""
"24",5,"NSS","0","0","","NSS","0",""
"24",6,"NSS","0","0","","NSS","0",""
"24",7,"NSS","0","0","","NSS","0",""
"24",8,"NSS","0","0","","NSS","0",""
"24",9,"NSS","0","0","","NSS","0",""
"24",10,"NSS","0","0","","NSS","0",""
"24",11,"NSS","0","0","","NSS","0",""
"24",12,"NSS","0","0","","NSS","0",""
"24",13,"NSS","0","0","","NSS","0",""
"24",14,"93","84","8","","1","0",""
"24",15,"33","32","0","","1","0",""
"25",1,"NSS","NSS","NSS","","NSS","NSS",""
"25",2,"NSS","NSS","NSS","","NSS","NSS",""
"25",3,"NSS","NSS","NSS","","NSS","NSS",""
"25",4,"NSS","NSS","NSS","","NSS","NSS",""
"25",5,"NSS","NSS","NSS","","NSS","NSS",""
"25",6,"NSS","NSS","NSS","","NSS","NSS",""
