entidad,org_mate,totalca1,no_aplic
"13",23,"1",""
"13",24,"NA","1"
"13",25,"2",""
"13",26,"NA","1"
"13",27,"NA","1"
"13",28,"NA","1"
"13",99,"",""
"14",1,"NA","1"
"14",2,"NA","1"
"14",3,"79",""
"14",4,"31",""
"14",5,"23",""
"14",6,"NA","1"
"14",7,"11",""
"14",8,"19",""
"14",9,"6",""
"14",10,"NA","1"
"14",11,"NA","1"
"14",12,"23",""
"14",13,"13",""
"14",14,"3",""
"14",15,"NA","1"
"14",16,"NA","1"
"14",17,"NA","1"
"14",18,"6",""
"14",19,"4",""
"14",20,"NA","1"
"14",21,"NA","1"
"14",22,"NA","1"
"14",23,"1",""
"14",24,"NA","1"
"14",25,"NA","1"
"14",26,"NA","1"
"14",27,"NA","1"
"14",28,"NA","1"
"14",99,"",""
"15",1,"NA","1"
"15",2,"NA","1"
"15",3,"NA","1"
"15",4,"83",""
"15",5,"17",""
"15",6,"NA","1"
"15",7,"49",""
"15",8,"15",""
"15",9,"8",""
"15",10,"NA","1"
"15",11,"4",""
"15",12,"12",""
"15",13,"18",""
"15",14,"NA","1"
"15",15,"12",""
"15",16,"14",""
"15",17,"3",""
"15",18,"7",""
"15",19,"NA","1"
"15",20,"NA","1"
"15",21,"11",""
"15",22,"3",""
"15",23,"1",""
"15",24,"NA","1"
"15",25,"1",""
"15",26,"NA","1"
"15",27,"NA","1"
"15",28,"NA","1"
"15",99,"",""
"16",1,"4",""
"16",2,"3",""
"16",3,"4",""
"16",4,"35",""
"16",5,"24",""
"16",6,"NA","1"
"16",7,"8",""
"16",8,"NA","1"
"16",9,"3",""
"16",10,"2",""
"16",11,"NA","1"
"16",12,"8",""
"16",13,"NA","1"
"16",14,"NA","1"
"16",15,"NA","1"
"16",16,"6",""
"16",17,"20",""
"16",18,"9",""
"16",19,"9",""
"16",20,"NA","1"
"16",21,"NA","1"
"16",22,"NA","1"
"16",23,"NA","1"
"16",24,"NA","1"
"16",25,"NA","1"
"16",26,"NA","1"
"16",27,"NA","1"
"16",28,"15",""
"16",99,"",""
"17",1,"4",""
"17",2,"1",""
"17",3,"6",""
"17",4,"8",""
"17",5,"4",""
"17",6,"3",""
"17",7,"11",""
"17",8,"NA","1"
"17",9,"NA","1"
"17",10,"NA","1"
"17",11,"NA","1"
"17",12,"5",""
"17",13,"NA","1"
"17",14,"NA","1"
"17",15,"NA","1"
"17",16,"NA","1"
"17",17,"NA","1"
"17",18,"NA","1"
"17",19,"NA","1"
"17",20,"NA","1"
"17",21,"NA","1"
"17",22,"NA","1"
"17",23,"NA","1"
"17",24,"6",""
"17",25,"NA","1"
"17",26,"NA","1"
"17",27,"NA","1"
"17",28,"1",""
"17",99,"",""
"18",1,"NA","1"
"18",2,"NA","1"
"18",3,"NA","1"
"18",4,"5",""
"18",5,"5",""
"18",6,"5",""
"18",7,"4",""
"18",8,"3",""
"18",9,"1",""
"18",10,"NA","1"
"18",11,"NA","1"
"18",12,"20",""
"18",13,"NA","1"
"18",14,"NA","1"
"18",15,"1",""
"18",16,"NA","1"
"18",17,"1",""
"18",18,"1",""
"18",19,"NA","1"
"18",20,"1",""
"18",21,"NA","1"
"18",22,"NA","1"
"18",23,"NA","1"
"18",24,"1",""
"18",25,"4",""
"18",26,"NA","1"
"18",27,"NA","1"
"18",28,"3",""
"18",99,"",""
"19",1,"9",""
"19",2,"NA","1"
"19",3,"NA","1"
"19",4,"6",""
"19",5,"3",""
"19",6,"1",""
"19",7,"14",""
"19",8,"9",""
"19",9,"3",""
"19",10,"NA","1"
"19",11,"NA","1"
"19",12,"10",""
"19",13,"1",""
"19",14,"NA","1"
"19",15,"NA","1"
"19",16,"1",""
"19",17,"3",""
"19",18,"7",""
