entidad,rangedad,sexostt,sexos1,sexos2,sexosne
"24",9,"NSS","NSS","NSS",""
"24",10,"NSS","NSS","NSS",""
"25",1,"65","58","7",""
"25",2,"45","45","0",""
"25",3,"34","28","6",""
"25",4,"21","20","1",""
"25",5,"31","29","2",""
"25",6,"14","14","0",""
"25",7,"8","7","1",""
"25",8,"8","6","2",""
"25",9,"13","12","1",""
"25",10,"190","177","13",""
"26",1,"NSS","NSS","NSS",""
"26",2,"NSS","NSS","NSS",""
"26",3,"NSS","NSS","NSS",""
"26",4,"NSS","NSS","NSS",""
"26",5,"NSS","NSS","NSS",""
"26",6,"NSS","NSS","NSS",""
"26",7,"NSS","NSS","NSS",""
"26",8,"NSS","NSS","NSS",""
"26",9,"NSS","NSS","NSS",""
"26",10,"830","790","40",""
"27",1,"137","129","8",""
"27",2,"81","74","7",""
"27",3,"78","66","12",""
"27",4,"54","48","6",""
"27",5,"39","35","4",""
"27",6,"15","15","0",""
"27",7,"15","15","0",""
"27",8,"10","10","0",""
"27",9,"10","7","3",""
"27",10,"24","21","3",""
"28",1,"NSS","NSS","NSS",""
"28",2,"NSS","NSS","NSS",""
"28",3,"NSS","NSS","NSS",""
"28",4,"NSS","NSS","NSS",""
"28",5,"NSS","NSS","NSS",""
"28",6,"NSS","NSS","NSS",""
"28",7,"NSS","NSS","NSS",""
"28",8,"NSS","NSS","NSS",""
"28",9,"NSS","NSS","NSS",""
"28",10,"118","108","10",""
"29",1,"30","27","3",""
"29",2,"15","15","0",""
"29",3,"18","17","1",""
"29",4,"7","6","1",""
"29",5,"16","15","1",""
"29",6,"7","6","1",""
"29",7,"3","3","0",""
"29",8,"2","2","0",""
"29",9,"0","0","0",""
"29",10,"0","0","0",""
"30",1,"NSS","NSS","NSS",""
"30",2,"NSS","NSS","NSS",""
"30",3,"NSS","NSS","NSS",""
"30",4,"NSS","NSS","NSS",""
"30",5,"NSS","NSS","NSS",""
"30",6,"NSS","NSS","NSS",""
"30",7,"NSS","NSS","NSS",""
"30",8,"NSS","NSS","NSS",""
"30",9,"NSS","NSS","NSS",""
"30",10,"NSS","NSS","NSS",""
"31",1,"NSS","NSS","NSS",""
"31",2,"NSS","NSS","NSS",""
"31",3,"NSS","NSS","NSS",""
"31",4,"NSS","NSS","NSS",""
"31",5,"NSS","NSS","NSS",""
"31",6,"NSS","NSS","NSS",""
"31",7,"NSS","NSS","NSS",""
"31",8,"NSS","NSS","NSS",""
"31",9,"NSS","NSS","NSS",""
"31",10,"NSS","NSS","NSS",""
"32",1,"NSS","NSS","NSS",""
"32",2,"NSS","NSS","NSS",""
"32",3,"NSS","NSS","NSS",""
"32",4,"NSS","NSS","NSS",""
"32",5,"NSS","NSS","NSS",""
"32",6,"NSS","NSS","NSS",""
"32",7,"NSS","NSS","NSS",""
"32",8,"NSS","NSS","NSS",""
"32",9,"NSS","NSS","NSS",""
"32",10,"NSS","NSS","NSS",""
