entidad,residenc,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"09",5,"0","0","0","0","0",""
"09",6,"0","0","0","0","0",""
"09",7,"0","0","0","0","0",""
"09",8,"0","0","0","0","0",""
"09",9,"0","0","0","0","0",""
"09",10,"0","0","0","0","0",""
"09",11,"0","0","0","0","0",""
"09",12,"16","9","1","5","1",""
"10",1,"75","0","0","73","2",""
"10",2,"2","0","0","2","0",""
"10",3,"0","0","0","0","0",""
"10",4,"0","0","0","0","0",""
"10",5,"0","0","0","0","0",""
"10",6,"0","0","0","0","0",""
"10",7,"0","0","0","0","0",""
"10",8,"0","0","0","0","0",""
"10",9,"0","0","0","0","0",""
"10",10,"0","0","0","0","0",""
"10",11,"0","0","0","0","0",""
"10",12,"2","0","0","2","0",""
"12",1,"5","0","0","4","1",""
"12",2,"0","0","0","0","0",""
"12",3,"0","0","0","0","0",""
"12",4,"0","0","0","0","0",""
"12",5,"0","0","0","0","0",""
"12",6,"0","0","0","0","0",""
"12",7,"0","0","0","0","0",""
"12",8,"0","0","0","0","0",""
"12",9,"0","0","0","0","0",""
"12",10,"0","0","0","0","0",""
"12",11,"0","0","0","0","0",""
"12",12,"0","0","0","0","0",""
"13",1,"9","7","2","0","0",""
"13",2,"2","2","0","0","0",""
"13",3,"0","0","0","0","0",""
"13",4,"0","0","0","0","0",""
"13",5,"0","0","0","0","0",""
"13",6,"0","0","0","0","0",""
"13",7,"0","0","0","0","0",""
"13",8,"0","0","0","0","0",""
"13",9,"0","0","0","0","0",""
"13",10,"0","0","0","0","0",""
"13",11,"0","0","0","0","0",""
"13",12,"0","0","0","0","0",""
"14",1,"180","166","14","0","0",""
"14",2,"1","1","0","0","0",""
"14",3,"0","0","0","0","0",""
"14",4,"0","0","0","0","0",""
"14",5,"0","0","0","0","0",""
"14",6,"0","0","0","0","0",""
"14",7,"0","0","0","0","0",""
"14",8,"0","0","0","0","0",""
"14",9,"0","0","0","0","0",""
"14",10,"0","0","0","0","0",""
"14",11,"0","0","0","0","0",""
"14",12,"1","1","0","0","0",""
"15",1,"NSS","NSS","NSS","0","0",""
"15",2,"NSS","NSS","NSS","0","0",""
"15",3,"NSS","NSS","NSS","0","0",""
"15",4,"NSS","NSS","NSS","0","0",""
