entidad,sent_del,stcahmtt,stcahm1,stcahm2,stcahm3,stcahm4,stcahmne,spcahmtt,spcahm1,spcahm2,spcahm3,spcahm4
"16",3,"5","5","0","0","0","","0","0","0","0","0"
"16",4,"0","0","0","0","0","","0","0","0","0","0"
"16",5,"0","0","0","0","0","","0","0","0","0","0"
"16",6,"6","2","0","4","0","","0","0","0","0","0"
"16",9,"21","1","","20","","","","","","",""
"17",1,"0","0","0","0","0","","190","119","13","58","NSS"
"17",2,"0","0","0","0","0","","27","21","4","2","NSS"
"17",3,"0","0","0","0","0","","0","0","0","0","0"
"17",4,"0","0","0","0","0","","0","0","0","0","0"
"17",5,"0","0","0","0","0","","0","0","0","0","0"
"17",6,"0","0","0","0","0","","0","0","0","0","0"
"17",9,"","","","","","","","","","",""
"18",1,"118","95","4","17","2","","282","259","22","1","0"
"18",2,"24","18","3","3","0","","24","23","1","0","0"
"18",3,"4","3","0","1","0","","8","8","0","0","0"
"18",4,"4","4","0","0","0","","0","0","0","0","0"
"18",5,"0","0","0","0","0","","0","0","0","0","0"
"18",6,"0","0","0","0","0","","0","0","0","0","0"
"18",9,"27","","","","","27","","","","",""
"19",1,"16","13","0","3","0","","1","1","NSS","0","0"
"19",2,"15","11","2","2","0","","1","1","NSS","0","0"
"19",3,"7","4","0","3","0","","NSS","0","NSS","0","0"
"19",4,"2","0","0","2","0","","NSS","0","NSS","0","0"
"19",5,"0","0","0","0","0","","NSS","0","NSS","0","0"
"19",6,"29","11","0","17","1","","NSS","0","NSS","0","0"
"19",9,"605","","","","","605","","","","",""
"20",1,"NSS","NSS","NSS","NSS","NSS","","0","0","0","0","0"
"20",2,"NSS","NSS","NSS","NSS","NSS","","0","0","0","0","0"
"20",3,"NSS","NSS","NSS","NSS","NSS","","0","0","0","0","0"
"20",4,"NSS","NSS","NSS","NSS","NSS","","0","0","0","0","0"
"20",5,"NSS","NSS","NSS","NSS","NSS","","0","0","0","0","0"
"20",6,"NSS","NSS","NSS","NSS","NSS","","0","0","0","0","0"
"20",9,"107","","","","","107","","","","",""
"21",1,"637","549","43","44","1","","12","10","0","2","0"
"21",2,"33","29","2","2","0","","1","0","1","0","0"
"21",3,"4","4","0","0","0","","0","0","0","0","0"
"21",4,"0","0","0","0","0","","0","0","0","0","0"
"21",5,"0","0","0","0","0","","0","0","0","0","0"
"21",6,"0","0","0","0","0","","0","0","0","0","0"
"21",9,"4","","","","","4","","","","",""
"22",1,"175","155","12","6","2","","17","16","0","1","NSS"
"22",2,"27","18","1","8","0","","2","2","0","0","NSS"
"22",3,"1","1","0","0","0","","1","1","0","0","NSS"
"22",4,"0","0","0","0","0","","NSS","0","0","0","NSS"
"22",5,"0","0","0","0","0","","NSS","0","0","0","NSS"
"22",6,"0","0","0","0","0","","NSS","0","0","0","NSS"
"22",9,"","","","","","","","","","",""
"23",1,"28","22","3","3","0","","82","69","2","10","1"
"23",2,"1","0","0","1","0","","7","7","0","0","0"
"23",3,"0","0","0","0","0","","0","0","0","0","0"
"23",4,"0","0","0","0","0","","0","0","0","0","0"
"23",5,"0","0","0","0","0","","0","0","0","0","0"
"23",6,"0","0","0","0","0","","0","0","0","0","0"
"23",9,"","","","","","","","","","",""
"24",1,"739","556","31","139","13","","18","12","1","5","0"
"24",2,"87","69","6","8","4","","1","1","0","0","0"
"24",3,"22","18","0","4","0","","0","0","0","0","0"
"24",4,"13","13","0","0","0","","0","0","0","0","0"
"24",5,"0","0","0","0","0","","0","0","0","0","0"
"24",6,"0","0","0","0","0","","0","0","0","0","0"
"24",9,"","","","","","","","","","",""
"25",1,"596","328","24","226","18","","3","3","NSS","NSS","NSS"
"25",2,"20","16","2","2","NSS","","NSS","0","NSS","NSS","NSS"
"25",3,"2","1","0","1","NSS","","NSS","0","NSS","NSS","NSS"
"25",4,"0","0","0","0","0","","NSS","0","NSS","NSS","NSS"
"25",5,"0","0","0","0","0","","NSS","0","NSS","NSS","NSS"
"25",6,"0","0","0","0","0","","NSS","0","NSS","NSS","NSS"
"25",9,"1380","3","","1","2","1374","","","","",""
"26",1,"1566","1392","60","108","6","","212","200","12","0","0"
"26",2,"65","60","3","2","0","","12","10","2","0","0"
"26",3,"9","7","2","0","0","","4","4","0","0","0"
"26",4,"1","1","0","0","0","","0","0","0","0","0"
"26",5,"0","0","0","0","0","","0","0","0","0","0"
"26",6,"0","0","0","0","0","","0","0","0","0","0"
"26",9,"42","38","4","","","","","","","",""
"27",1,"257","215","8","32","2","","21","11","7","3","0"
"27",2,"4","2","0","2","0","","6","4","1","0","1"
"27",3,"2","2","0","0","0","","0","0","0","0","0"
"27",4,"3","3","0","0","0","","0","0","0","0","0"
"27",5,"0","0","0","0","0","","0","0","0","0","0"
"27",6,"1","1","0","0","0","","0","0","0","0","0"
"27",9,"2","","","","","2","","","","",""
"28",1,"170","143","6","19","2","","0","0","0","0","0"
"28",2,"21","11","0","10","0","","0","0","0","0","0"
"28",3,"2","1","0","1","0","","0","0","0","0","0"
"28",4,"0","0","0","0","0","","0","0","0","0","0"
"28",5,"0","0","0","0","0","","0","0","0","0","0"
"28",6,"0","0","0","0","0","","0","0","0","0","0"
"28",9,"1449","","","","","1449","","","","",""
"29",1,"515","268","41","182","24","","0","0","0","0","0"
"29",2,"36","20","1","13","2","","0","0","0","0","0"
"29",3,"13","7","1","5","0","","0","0","0","0","0"
"29",4,"2","1","0","1","0","","0","0","0","0","0"
"29",5,"0","0","0","0","0","","0","0","0","0","0"
"29",6,"0","0","0","0","0","","0","0","0","0","0"
"29",9,"28","3","1","","1","23","","","","",""
"30",1,"158","115","10","30","3","","36","31","3","2","0"
"30",2,"21","10","2","6","3","","1","1","0","0","0"
"30",3,"1","1","0","0","0","","0","0","0","0","0"
"30",4,"0","0","0","0","0","","0","0","0","0","0"
