entidad,delselec,impeda1,impeda2,impeda3,impeda4,impeda5,impeda6,impeda7,impeda8,impeda9,impeda10,impeda11,impeda12,impeda13,impeda14,impeda15,impeda16,impeda17,impeda18,impeda19,impeda20
"08",10101,"52","3","57","2","33","3","21","1","19","0","11","1","7","0","3","0","15","0","253","6"
"08",10102,"3","0","8","0","6","0","0","0","3","0","1","1","1","0","2","0","2","0","23","2"
"08",60200,"0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","7","0"
"08",60201,"0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","7","0"
"08",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",60299,"","","","","","","","","","","","","","","","","","","",""
"08",999999,"","","","","","","","","","","","","","","","","","","",""
"09",10101,"97","5","78","5","59","4","52","5","29","4","18","1","12","1","6","1","8","0","146","10"
"09",10102,"25","1","15","1","17","1","12","2","11","2","10","2","7","0","3","0","4","2","77","6"
"09",60200,"7","2","3","2","10","0","9","5","10","3","11","3","7","1","1","1","2","0","5","2"
"09",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",60209,"7","2","3","2","10","0","9","5","10","3","11","3","7","1","1","1","2","0","5","2"
"09",60299,"","","","","","","","","","","","","","","","","","","",""
"09",999999,"","","","","","","","","","","","","","","","","","","",""
"10",10101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"10",10102,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"10",60200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60299,"","","","","","","","","","","","","","","","","","","",""
"10",999999,"","","","","","","","","","","","","","","","","","","",""
"12",10101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"12",10102,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"12",60200,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","1","0"
"12",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",60203,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","1","0"
"12",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",60299,"","","","","","","","","","","","","","","","","","","",""
"12",999999,"","","","","","","","","","","","","","","","","","","",""
"13",10101,"22","2","19","0","12","0","11","4","2","3","8","0","6","0","2","0","2","0","36","2"
"13",10102,"10","1","5","0","6","1","3","0","4","0","9","0","3","0","2","1","5","0","17","0"
"13",60200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"13",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NSS","0"
"13",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NSS","0"
"13",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NSS","0"
"13",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NSS","0"
"13",60299,"","","","","","","","","","","","","","","","","","","1",""
"13",999999,"","","","","","","","","","","","","","","","","","","",""
"14",10101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"14",10102,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"14",60200,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","0","0"
"14",60201,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","0","0"
"14",60202,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","0","0"
"14",60203,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","0","0"
"14",60209,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","0","0"
"14",60299,"","","","","","","","","","","","","","","","","","","",""
"14",999999,"","","","","","","","","","","","","","","","","","","",""
"15",10101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",10102,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",60200,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",60201,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",60202,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",60203,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",60209,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",60299,"","","","","","","","","","","","","","","","","","","",""
"15",999999,"","","","","","","","","","","","","","","","","","","",""
"16",10101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"16",10102,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"16",60200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16",60299,"","","","","","","","","","","","","","","","","","","",""
"16",999999,"","","","","","","","","","","","","","","","","","","",""
"17",10101,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"17",10102,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17",60200,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"17",60201,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"17",60202,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"17",60203,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"17",60209,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"17",60299,"","","","","","","","","","","","","","","","","","","",""
"17",999999,"","","","","","","","","","","","","","","","","","","",""
