entidad,gdoestue,sexostt,sexos1,sexos2
"21",8,"1","1","0"
"21",9,"","",""
"22",1,"5","1","4"
"22",2,"19","7","12"
"22",3,"57","26","31"
"22",4,"37","23","14"
"22",5,"17","7","10"
"22",6,"152","54","98"
"22",7,"20","6","14"
"22",8,"1","1","0"
"22",9,"","",""
"23",1,"0","0","0"
"23",2,"11","9","2"
"23",3,"82","36","46"
"23",4,"105","56","49"
"23",5,"1","0","1"
"23",6,"151","58","93"
"23",7,"10","6","4"
"23",8,"1","1","0"
"23",9,"","",""
"24",1,"0","0","0"
"24",2,"3","1","2"
"24",3,"25","19","6"
"24",4,"27","17","10"
"24",5,"58","18","40"
"24",6,"141","59","82"
"24",7,"9","6","3"
"24",8,"0","0","0"
"24",9,"","",""
"25",1,"14","9","5"
"25",2,"0","0","0"
"25",3,"10","6","4"
"25",4,"29","18","11"
"25",5,"0","0","0"
"25",6,"106","68","38"
"25",7,"8","6","2"
"25",8,"1","1","0"
"25",9,"","",""
"26",1,"0","0","0"
"26",2,"6","3","3"
"26",3,"9","7","2"
"26",4,"21","7","14"
"26",5,"60","26","34"
"26",6,"195","84","111"
"26",7,"19","7","12"
"26",8,"1","0","1"
"26",9,"","",""
"27",1,"12","7","5"
"27",2,"17","10","7"
"27",3,"48","27","21"
"27",4,"102","64","38"
"27",5,"40","19","21"
"27",6,"120","62","58"
"27",7,"10","4","6"
"27",8,"0","0","0"
"27",9,"","",""
"28",1,"4","2","2"
"28",2,"14","10","4"
"28",3,"22","18","4"
"28",4,"86","46","40"
"28",5,"45","16","29"
"28",6,"372","173","199"
"28",7,"18","9","9"
"28",8,"1","1","0"
"28",9,"","",""
"29",1,"0","0","0"
"29",2,"0","0","0"
"29",3,"27","22","5"
"29",4,"14","7","7"
"29",5,"14","0","14"
"29",6,"62","31","31"
"29",7,"3","1","2"
"29",8,"0","0","0"
"29",9,"","",""
"30",1,"0","0","0"
"30",2,"5","5","0"
"30",3,"11","6","5"
"30",4,"20","6","14"
"30",5,"0","0","0"
"30",6,"248","151","97"
"30",7,"74","39","35"
"30",8,"31","15","16"
"30",9,"","",""
"31",1,"0","0","0"
"31",2,"25","17","8"
"31",3,"54","41","13"
"31",4,"46","32","14"
"31",5,"33","17","16"
"31",6,"203","91","112"
"31",7,"25","13","12"
"31",8,"1","0","1"
"31",9,"","",""
"32",1,"2","2","0"
"32",2,"5","5","0"
"32",3,"11","10","1"
"32",4,"10","7","3"
"32",5,"11","1","10"
"32",6,"70","40","30"
"32",7,"22","9","13"
"32",8,"4","3","1"
"32",9,"","",""
