entidad,delitos,raedadtt,raedad1,raedad2,raedad3,raedad4,raedad5,raedad6,raedad7,raedad8,raedad9,raedad10,raedad11,raedad12,raedad13,raedad14
"10",20100,"28","0","0","3","7","4","1","3","5","0","0","1","0","4","0"
"10",20200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20300,"17","0","7","4","4","2","0","0","0","0","0","0","0","0","0"
"10",20400,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20500,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20600,"2","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"10",20601,"2","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"10",20602,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20603,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20604,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20609,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20699,"","","","","","","","","","","","","","",""
"10",20900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",30100,"346","22","37","51","55","73","32","37","21","18","0","0","0","0","0"
"10",30200,"4","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",30300,"19","0","0","0","6","2","6","2","2","1","0","0","0","0","0"
"10",30400,"88","3","10","5","23","19","15","5","5","2","1","0","0","0","0"
"10",30500,"17","4","5","8","0","0","0","0","0","0","0","0","0","0","0"
"10",30600,"45","0","2","14","20","2","7","0","0","0","0","0","0","0","0"
"10",30700,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",30900,"254","2","12","16","32","28","55","43","19","16","14","4","6","7","0"
"10",40100,"3336","1","0","0","172","296","446","475","563","330","390","321","182","160","0"
"10",40101,"35","0","0","0","0","10","7","1","3","5","5","4","0","0","0"
"10",40102,"1346","0","0","0","52","102","153","157","237","82","225","175","94","69","0"
"10",40103,"254","0","0","0","24","40","48","38","59","30","9","3","2","1","0"
"10",40104,"25","0","0","0","3","4","5","5","4","2","2","0","0","0","0"
"10",40105,"159","0","0","0","12","23","28","29","23","11","14","18","1","0","0"
"10",40106,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40107,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40108,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40109,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40110,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40111,"88","0","0","0","0","13","10","13","11","22","8","6","3","2","0"
"10",40112,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40113,"334","0","0","0","11","20","81","85","65","19","15","13","16","9","0"
"10",40114,"3","0","0","0","0","1","0","0","0","0","0","1","1","0","0"
"10",40115,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40116,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40119,"1091","0","0","0","70","83","114","147","161","159","112","101","65","79","0"
"10",40199,"","","","","","","","","","","","","","",""
"10",40200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40300,"1098","0","0","0","5","56","116","68","148","176","204","167","82","76","0"
"10",40400,"276","0","0","0","15","16","28","27","26","40","27","38","25","34","0"
"10",40500,"14","0","0","1","0","2","1","0","3","1","0","0","0","6","0"
"10",40501,"14","0","0","1","0","2","1","0","3","1","0","0","0","6","0"
"10",40509,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40599,"","","","","","","","","","","","","","",""
"10",40600,"944","0","0","0","38","71","25","106","152","217","83","112","62","78","0"
"10",40700,"182","0","0","0","0","2","6","26","32","49","37","12","13","5","0"
"10",40900,"3","0","0","0","0","0","0","1","0","1","0","1","0","0","0"
"10",50100,"4008","0","0","0","218","484","968","590","882","691","75","50","35","15","0"
"10",50200,"151","0","0","0","0","27","41","24","27","11","13","8","0","0","0"
"10",50900,"207","0","17","2","12","36","45","24","21","35","11","4","0","0","0"
"10",60100,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60101,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60102,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60103,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60104,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60105,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60106,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
