entidad,edadmeno,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5
"16",7,"45","39","1","5","0"
"17",1,"0","0","0","0","0"
"17",2,"4","0","0","3","1"
"17",3,"13","0","0","12","1"
"17",4,"21","0","0","18","3"
"17",5,"53","0","0","52","1"
"17",6,"80","0","0","73","7"
"17",7,"11","0","0","10","1"
"18",1,"0","0","0","0","0"
"18",2,"14","13","1","0","0"
"18",3,"17","14","3","0","0"
"18",4,"16","15","1","0","0"
"18",5,"39","32","7","0","0"
"18",6,"43","39","4","0","0"
"18",7,"79","72","7","0","0"
"19",1,"13","0","0","7","6"
"19",2,"35","0","0","26","9"
"19",3,"90","0","0","72","18"
"19",4,"121","0","0","94","27"
"19",5,"163","0","0","134","29"
"19",6,"217","0","0","201","16"
"19",7,"78","0","0","71","7"
"20",1,"7","0","0","6","1"
"20",2,"9","0","0","9","0"
"20",3,"10","0","0","8","2"
"20",4,"12","0","0","10","2"
"20",5,"22","0","0","18","4"
"20",6,"20","0","0","20","0"
"20",7,"5","0","0","4","1"
"21",1,"4","4","0","NSS","NSS"
"21",2,"7","5","2","NSS","NSS"
"21",3,"15","14","1","NSS","NSS"
"21",4,"21","19","2","NSS","NSS"
"21",5,"39","38","1","NSS","NSS"
"21",6,"66","65","1","NSS","NSS"
"21",7,"7","7","0","NSS","NSS"
"22",1,"0","0","0","0","0"
"22",2,"8","0","0","7","1"
"22",3,"7","0","0","7","0"
"22",4,"30","0","0","28","2"
"22",5,"36","0","0","33","3"
"22",6,"59","0","0","52","7"
"22",7,"0","0","0","0","0"
"23",1,"0","0","0","0","0"
"23",2,"1","0","0","1","0"
"23",3,"1","0","0","1","0"
"23",4,"3","0","0","3","0"
"23",5,"7","0","0","6","1"
"23",6,"5","0","0","3","2"
"23",7,"9","0","0","9","0"
"24",1,"NSS","0","NSS","0","0"
"24",2,"NSS","0","NSS","0","0"
"24",3,"NSS","0","NSS","0","0"
"24",4,"1","1","NSS","0","0"
"24",5,"3","2","NSS","1","0"
"24",6,"1","0","NSS","1","0"
"24",7,"2","1","NSS","1","0"
"25",1,"NSS","0","0","NSS","NSS"
"25",2,"NSS","0","0","NSS","NSS"
"25",3,"NSS","0","0","NSS","NSS"
"25",4,"NSS","0","0","NSS","NSS"
