entidad,edadmeno,avinhmtt,avinhm1,avinhm2,avinhm4,avinhm5
"16",2,"NSS","NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS","NSS","NSS"
"16",7,"NSS","NSS","NSS","NSS","NSS"
"17",1,"7","NSS","0","6","1"
"17",2,"3","NSS","0","1","2"
"17",3,"15","NSS","0","11","4"
"17",4,"27","NSS","0","22","5"
"17",5,"50","NSS","0","41","9"
"17",6,"244","NSS","0","217","27"
"17",7,"6","3","0","3","0"
"18",1,"4","2","2","NSS","NSS"
"18",2,"14","12","2","NSS","NSS"
"18",3,"19","16","2","1","NSS"
"18",4,"53","46","4","3","NSS"
"18",5,"59","52","6","1","NSS"
"18",6,"62","44","5","13","NSS"
"18",7,"50","39","3","6","2"
"19",1,"135","0","0","97","38"
"19",2,"186","0","0","116","70"
"19",3,"888","0","0","643","245"
"19",4,"146","0","0","115","31"
"19",5,"2173","0","0","1822","351"
"19",6,"535","0","0","381","154"
"19",7,"0","0","0","0","0"
"20",1,"16","0","0","10","6"
"20",2,"13","0","0","12","1"
"20",3,"32","0","0","25","7"
"20",4,"50","0","0","38","12"
"20",5,"71","0","0","62","9"
"20",6,"114","0","0","99","15"
"20",7,"66","0","0","57","9"
"21",1,"56","29","4","20","3"
"21",2,"44","26","11","5","2"
"21",3,"69","36","13","18","2"
"21",4,"120","58","12","35","15"
"21",5,"120","62","4","46","8"
"21",6,"153","51","5","81","16"
"21",7,"50","0","7","31","12"
"22",1,"20","0","0","16","4"
"22",2,"56","0","0","45","11"
"22",3,"79","0","0","60","19"
"22",4,"161","0","0","116","45"
"22",5,"218","0","0","189","29"
"22",6,"273","0","0","245","28"
"22",7,"52","0","0","48","4"
"23",1,"18","3","0","12","3"
"23",2,"20","6","0","10","4"
"23",3,"45","12","1","26","6"
"23",4,"60","22","4","26","8"
"23",5,"131","45","5","75","6"
"23",6,"141","34","14","76","17"
"23",7,"0","0","0","0","0"
"24",1,"2","1","0","1","0"
"24",2,"7","4","0","3","0"
"24",3,"14","5","2","6","1"
"24",4,"18","10","4","4","0"
"24",5,"27","15","4","6","2"
"24",6,"42","25","1","11","5"
"24",7,"0","0","0","0","0"
"25",1,"48","0","0","41","7"
"25",2,"54","0","0","36","18"
"25",3,"89","0","0","52","37"
"25",4,"90","0","0","64","26"
"25",5,"116","0","0","93","23"
"25",6,"151","0","0","139","12"
"25",7,"55","0","0","48","7"
"26",1,"38","27","1","8","2"
"26",2,"73","56","7","9","1"
"26",3,"137","96","11","24","6"
"26",4,"181","130","14","34","3"
"26",5,"211","145","13","48","5"
"26",6,"272","164","13","89","6"
"26",7,"409","231","1","149","28"
"27",1,"NSS","0","0","NSS","NSS"
"27",2,"1","0","0","1","NSS"
"27",3,"3","0","0","3","NSS"
"27",4,"15","0","0","13","2"
"27",5,"35","0","0","32","3"
"27",6,"171","0","0","160","11"
"27",7,"329","0","0","305","24"
"28",1,"2","1","0","1","0"
"28",2,"3","0","0","1","2"
"28",3,"9","1","0","7","1"
"28",4,"29","2","0","15","12"
"28",5,"22","1","2","13","6"
"28",6,"68","11","1","44","12"
"28",7,"1091","755","48","197","91"
"29",1,"NSS","NSS","NSS","NSS","0"
"29",2,"NSS","NSS","NSS","NSS","0"
"29",3,"NSS","NSS","NSS","NSS","0"
"29",4,"NSS","NSS","NSS","NSS","0"
"29",5,"NSS","NSS","NSS","NSS","0"
"29",6,"NSS","NSS","NSS","NSS","0"
"29",7,"59","34","10","15","0"
"30",1,"7","1","NSS","6","NSS"
"30",2,"3","NSS","NSS","2","1"
"30",3,"17","NSS","NSS","14","3"
"30",4,"14","NSS","NSS","13","1"
"30",5,"15","NSS","NSS","14","1"
"30",6,"34","NSS","NSS","30","4"
