entidad,imputmed,sexoidtt,sexoid1,sexoid2,sexoid3
"15",5,"NSS","NSS","NSS","NSS"
"15",6,"NSS","NSS","NSS","NSS"
"15",9,"","","",""
"16",1,"NSS","NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS","NSS"
"16",9,"","","",""
"17",1,"1343","1130","213","0"
"17",2,"142","126","16","0"
"17",3,"97","89","8","0"
"17",4,"46","37","9","0"
"17",5,"0","0","0","0"
"17",6,"0","0","0","0"
"17",9,"","","",""
"18",1,"NSS","NSS","NSS","NSS"
"18",2,"NSS","NSS","NSS","NSS"
"18",3,"NSS","NSS","NSS","NSS"
"18",4,"NSS","NSS","NSS","NSS"
"18",5,"NSS","NSS","NSS","NSS"
"18",6,"NSS","NSS","NSS","NSS"
"18",9,"","","",""
"19",1,"NSS","NSS","NSS","NSS"
"19",2,"NSS","NSS","NSS","NSS"
"19",3,"NSS","NSS","NSS","NSS"
"19",4,"NSS","NSS","NSS","NSS"
"19",5,"NSS","NSS","NSS","NSS"
"19",6,"NSS","NSS","NSS","NSS"
"19",9,"8853","8206","634","13"
"20",1,"NSS","NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS","NSS"
"20",3,"NSS","NSS","NSS","NSS"
"20",4,"NSS","NSS","NSS","NSS"
"20",5,"NSS","NSS","NSS","NSS"
"20",6,"NSS","NSS","NSS","NSS"
"20",9,"","","",""
"21",1,"NSS","NSS","NSS","NSS"
"21",2,"NSS","NSS","NSS","NSS"
"21",3,"NSS","NSS","NSS","NSS"
"21",4,"NSS","NSS","NSS","NSS"
"21",5,"NSS","NSS","NSS","NSS"
"21",6,"NSS","NSS","NSS","NSS"
"21",9,"","","",""
"22",1,"430","399","31","0"
"22",2,"64","51","13","0"
"22",3,"42","36","6","0"
"22",4,"23","23","0","0"
"22",5,"2","2","0","0"
"22",6,"1","1","0","0"
"22",9,"","","",""
"23",1,"NSS","NSS","NSS","NSS"
"23",2,"NSS","NSS","NSS","NSS"
"23",3,"NSS","NSS","NSS","NSS"
"23",4,"NSS","NSS","NSS","NSS"
"23",5,"NSS","NSS","NSS","NSS"
"23",6,"NSS","NSS","NSS","NSS"
"23",9,"","","",""
"24",1,"NSS","NSS","NSS","NSS"
"24",2,"NSS","NSS","NSS","NSS"
"24",3,"NSS","NSS","NSS","NSS"
"24",4,"NSS","NSS","NSS","NSS"
"24",5,"NSS","NSS","NSS","NSS"
"24",6,"NSS","NSS","NSS","NSS"
"24",9,"","","",""
"25",1,"233","200","33","0"
"25",2,"40","40","0","0"
"25",3,"53","53","0","0"
"25",4,"35","35","0","0"
"25",5,"44","44","0","0"
"25",6,"24","24","0","0"
"25",9,"","","",""
"26",1,"633","601","32","0"
"26",2,"42","41","1","0"
"26",3,"54","50","4","0"
"26",4,"74","74","0","0"
"26",5,"23","20","3","0"
"26",6,"4","4","0","0"
"26",9,"","","",""
"27",1,"401","346","34","21"
"27",2,"60","52","7","1"
"27",3,"20","18","2","0"
"27",4,"4","4","0","0"
"27",5,"0","0","0","0"
"27",6,"0","0","0","0"
"27",9,"","","",""
"28",1,"84","72","9","3"
"28",2,"27","26","1","0"
"28",3,"7","7","0","0"
"28",4,"2","2","0","0"
"28",5,"1","1","0","0"
"28",6,"0","0","0","0"
"28",9,"","","",""
"29",1,"69","64","5","0"
"29",2,"18","16","2","0"
"29",3,"11","11","0","0"
"29",4,"0","0","0","0"
"29",5,"0","0","0","0"
"29",6,"0","0","0","0"
"29",9,"","","",""
"30",1,"NSS","NSS","NSS","NSS"
"30",2,"NSS","NSS","NSS","NSS"
"30",3,"NSS","NSS","NSS","NSS"
"30",4,"NSS","NSS","NSS","NSS"
"30",5,"NSS","NSS","NSS","NSS"
"30",6,"NSS","NSS","NSS","NSS"
"30",9,"","","",""
"31",1,"NSS","NSS","NSS","NSS"
"31",2,"NSS","NSS","NSS","NSS"
"31",3,"NSS","NSS","NSS","NSS"
"31",4,"NSS","NSS","NSS","NSS"
"31",5,"NSS","NSS","NSS","NSS"
"31",6,"NSS","NSS","NSS","NSS"
"31",9,"","","",""
"32",1,"NSS","NSS","NSS","NSS"
"32",2,"NSS","NSS","NSS","NSS"
"32",3,"NSS","NSS","NSS","NSS"
"32",4,"NSS","NSS","NSS","NSS"
"32",5,"NSS","NSS","NSS","NSS"
"32",6,"NSS","NSS","NSS","NSS"
"32",9,"","","",""
