entidad,ran_ingr,puesextt,puesex1,puesex2,puesex3,puesex4,puesex5,puesex6,puesex7,puesex8,puesex9,puesex10,puesex11,puesex12
"03",99,"","","","","","","","","","","","",""
"04",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"04",2,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"04",3,"287","25","19","0","0","0","0","51","176","13","3","0","0"
"04",4,"69","0","0","9","20","2","23","0","0","4","11","0","0"
"04",5,"84","18","63","0","1","1","1","0","0","0","0","0","0"
"04",6,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"04",7,"32","0","0","0","0","6","26","0","0","0","0","0","0"
"04",8,"5","1","3","0","0","0","0","0","0","0","1","0","0"
"04",9,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"04",10,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"04",11,"1","0","0","0","0","0","0","0","0","0","1","0","0"
"04",12,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"04",13,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"04",14,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"04",15,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"04",16,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"04",99,"","","","","","","","","","","","",""
"05",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",2,"199","0","0","0","0","0","0","0","0","54","145","0","0"
"05",3,"146","0","0","0","0","0","0","0","0","38","108","0","0"
"05",4,"287","0","0","43","75","0","0","0","0","22","147","0","0"
"05",5,"126","1","3","0","0","50","62","0","0","4","6","0","0"
"05",6,"26","0","0","0","0","8","7","0","0","6","5","0","0"
"05",7,"40","0","1","0","0","20","15","0","0","4","0","0","0"
"05",8,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",9,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",10,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",11,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",12,"0","0","0","0","0","0","0","0","0","0","0","0","0"
