entidad,delitos,delregtt,delreg1,delreg2
"23",30400,"NSS","NSS","NSS"
"23",30500,"NSS","NSS","NSS"
"23",30600,"NSS","NSS","NSS"
"23",30700,"NSS","NSS","NSS"
"23",30900,"NSS","NSS","NSS"
"23",40100,"NSS","NSS","NSS"
"23",40101,"NSS","NSS","NSS"
"23",40102,"NSS","NSS","NSS"
"23",40103,"NSS","NSS","NSS"
"23",40104,"NSS","NSS","NSS"
"23",40105,"NSS","NSS","NSS"
"23",40106,"NSS","NSS","NSS"
"23",40107,"NSS","NSS","NSS"
"23",40108,"NSS","NSS","NSS"
"23",40109,"NSS","NSS","NSS"
"23",40110,"NSS","NSS","NSS"
"23",40111,"NSS","NSS","NSS"
"23",40112,"NSS","NSS","NSS"
"23",40113,"NSS","NSS","NSS"
"23",40114,"NSS","NSS","NSS"
"23",40115,"NSS","NSS","NSS"
"23",40116,"NSS","NSS","NSS"
"23",40119,"NSS","NSS","NSS"
"23",40199,"","",""
"23",40200,"NSS","NSS","NSS"
"23",40300,"NSS","NSS","NSS"
"23",40400,"NSS","NSS","NSS"
"23",40500,"NSS","NSS","NSS"
"23",40501,"NSS","NSS","NSS"
"23",40509,"NSS","NSS","NSS"
"23",40599,"","",""
"23",40600,"NSS","NSS","NSS"
"23",40700,"NSS","NSS","NSS"
"23",40900,"NSS","NSS","NSS"
"23",50100,"NSS","NSS","NSS"
"23",50200,"NSS","NSS","NSS"
"23",50900,"NSS","NSS","NSS"
"23",60100,"NSS","NSS","NSS"
"23",60101,"NSS","NSS","NSS"
"23",60102,"NSS","NSS","NSS"
"23",60103,"NSS","NSS","NSS"
"23",60104,"NSS","NSS","NSS"
"23",60105,"NSS","NSS","NSS"
"23",60106,"NSS","NSS","NSS"
"23",60109,"NSS","NSS","NSS"
"23",60199,"","",""
"23",60200,"NSS","NSS","NSS"
"23",60201,"NSS","NSS","NSS"
"23",60202,"NSS","NSS","NSS"
"23",60203,"NSS","NSS","NSS"
"23",60209,"NSS","NSS","NSS"
"23",60299,"","",""
"23",60300,"NSS","NSS","NSS"
"23",60400,"NSS","NSS","NSS"
"23",60900,"NSS","NSS","NSS"
"23",70100,"NSS","NSS","NSS"
"23",70101,"NSS","NSS","NSS"
"23",70102,"NSS","NSS","NSS"
"23",70103,"NSS","NSS","NSS"
"23",70104,"NSS","NSS","NSS"
"23",70109,"NSS","NSS","NSS"
"23",70199,"","",""
"23",70200,"NSS","NSS","NSS"
"23",70201,"NSS","NSS","NSS"
"23",70202,"NSS","NSS","NSS"
"23",70203,"NSS","NSS","NSS"
"23",70204,"NSS","NSS","NSS"
"23",70205,"NSS","NSS","NSS"
"23",70206,"NSS","NSS","NSS"
"23",70209,"NSS","NSS","NSS"
"23",70299,"","",""
"23",70300,"NSS","NSS","NSS"
"23",70400,"NSS","NSS","NSS"
"23",70500,"NSS","NSS","NSS"
"23",70600,"NSS","NSS","NSS"
"23",70900,"NSS","NSS","NSS"
"23",80100,"NSS","NSS","NSS"
"23",80101,"NSS","NSS","NSS"
"23",80102,"NSS","NSS","NSS"
"23",80103,"NSS","NSS","NSS"
"23",80104,"NSS","NSS","NSS"
"23",80105,"NSS","NSS","NSS"
"23",80106,"NSS","NSS","NSS"
"23",80107,"NSS","NSS","NSS"
"23",80109,"NSS","NSS","NSS"
"23",80199,"","",""
"23",80200,"NSS","NSS","NSS"
"23",80201,"NSS","NSS","NSS"
"23",80209,"NSS","NSS","NSS"
"23",80299,"","",""
"23",80300,"NSS","NSS","NSS"
"23",80400,"NSS","NSS","NSS"
"23",80900,"NSS","NSS","NSS"
"23",90100,"NSS","NSS","NSS"
"23",90200,"NSS","NSS","NSS"
"23",90300,"NSS","NSS","NSS"
"23",90400,"NSS","NSS","NSS"
"23",90500,"NSS","NSS","NSS"
"23",90501,"NSS","NSS","NSS"
"23",90502,"NSS","NSS","NSS"
"23",90503,"NSS","NSS","NSS"
"23",90509,"NSS","NSS","NSS"
"23",90599,"","",""
"23",90600,"NSS","NSS","NSS"
"23",90700,"NSS","NSS","NSS"
"23",90701,"NSS","NSS","NSS"
"23",90709,"NSS","NSS","NSS"
"23",90799,"","",""
"23",90800,"NSS","NSS","NSS"
"23",90900,"NSS","NSS","NSS"
"23",91000,"NSS","NSS","NSS"
"23",91100,"NSS","NSS","NSS"
"23",91200,"NSS","NSS","NSS"
"23",91300,"NSS","NSS","NSS"
"23",91400,"NSS","NSS","NSS"
"23",91500,"NSS","NSS","NSS"
"23",91600,"NSS","NSS","NSS"
"23",91900,"NSS","NSS","NSS"
"23",999999,"1515","1514","1"
"24",10100,"68","68","0"
"24",10200,"8","8","0"
"24",10300,"0","0","0"
"24",10400,"15","15","0"
"24",10900,"1","1","0"
"24",20100,"4","4","0"
"24",20200,"0","0","0"
"24",20300,"0","0","0"
"24",20400,"0","0","0"
"24",20500,"0","0","0"
"24",20600,"1","1","0"
"24",20601,"0","0","0"
"24",20602,"0","0","0"
"24",20603,"0","0","0"
"24",20604,"1","1","0"
"24",20609,"0","0","0"
"24",20699,"","",""
"24",20900,"0","0","0"
"24",30100,"6","6","0"
"24",30200,"0","0","0"
"24",30300,"0","0","0"
"24",30400,"2","2","0"
"24",30500,"0","0","0"
"24",30600,"0","0","0"
"24",30700,"0","0","0"
"24",30900,"1","1","0"
"24",40100,"18","18","0"
"24",40101,"0","0","0"
"24",40102,"0","0","0"
"24",40103,"2","2","0"
"24",40104,"0","0","0"
"24",40105,"0","0","0"
"24",40106,"1","1","0"
"24",40107,"0","0","0"
"24",40108,"0","0","0"
"24",40109,"0","0","0"
"24",40110,"0","0","0"
"24",40111,"0","0","0"
"24",40112,"0","0","0"
"24",40113,"1","1","0"
"24",40114,"1","1","0"
"24",40115,"0","0","0"
"24",40116,"0","0","0"
"24",40119,"13","13","0"
"24",40199,"","",""
"24",40200,"NA","NA","NA"
"24",40300,"0","0","0"
"24",40400,"0","0","0"
"24",40500,"1","1","0"
"24",40501,"0","0","0"
"24",40509,"1","1","0"
"24",40599,"","",""
"24",40600,"11","11","0"
"24",40700,"0","0","0"
"24",40900,"0","0","0"
"24",50100,"16","16","0"
"24",50200,"0","0","0"
"24",50900,"0","0","0"
"24",60100,"0","0","0"
"24",60101,"0","0","0"
"24",60102,"0","0","0"
"24",60103,"0","0","0"
"24",60104,"0","0","0"
"24",60105,"0","0","0"
"24",60106,"0","0","0"
"24",60109,"0","0","0"
"24",60199,"","",""
"24",60200,"0","0","0"
"24",60201,"0","0","0"
"24",60202,"0","0","0"
"24",60203,"0","0","0"
"24",60209,"0","0","0"
"24",60299,"","",""
"24",60300,"0","0","0"
"24",60400,"0","0","0"
"24",60900,"0","0","0"
"24",70100,"17","17","0"
"24",70101,"17","17","0"
"24",70102,"0","0","0"
"24",70103,"0","0","0"
"24",70104,"0","0","0"
"24",70109,"0","0","0"
"24",70199,"","",""
"24",70200,"NA","NA","NA"
"24",70201,"NA","NA","NA"
"24",70202,"NA","NA","NA"
"24",70203,"NA","NA","NA"
"24",70204,"NA","NA","NA"
"24",70205,"NA","NA","NA"
