entidad,delitos,stpsnitt,stpsni1,stpsni2,stpsni3,stpsni4,stpsni5,stpsni6,stpsni7,stpsni8
"12",10900,"6","1","0","0","0","4","0","1","0"
"12",20100,"19","9","1","4","0","4","1","0","0"
"12",20200,"1","0","1","0","0","0","0","0","0"
"12",20300,"17","6","5","1","0","3","2","0","0"
"12",20400,"0","0","0","0","0","0","0","0","0"
"12",20500,"0","0","0","0","0","0","0","0","0"
"12",20600,"64","28","9","6","0","13","4","4","0"
"12",20601,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"12",20602,"3","1","0","2","0","0","0","0","0"
"12",20603,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"12",20604,"1","1","0","0","0","0","0","0","0"
"12",20609,"1","1","0","0","0","0","0","0","0"
"12",20699,"59","25","9","4","","13","4","4",""
"12",20900,"0","0","0","0","0","0","0","0","0"
"12",30100,"55","38","1","11","0","5","0","0","0"
"12",30200,"1","1","0","0","0","0","0","0","0"
"12",30300,"1","1","0","0","0","0","0","0","0"
"12",30400,"77","53","NSS","4","0","19","NSS","1","0"
"12",30500,"13","9","NSS","1","0","3","0","0","0"
"12",30600,"8","6","NSS","2","0","0","0","0","0"
"12",30700,"0","0","0","0","0","0","0","0","0"
"12",30900,"2","1","1","0","0","0","0","0","0"
"12",40100,"209","124","33","28","0","20","3","1","0"
"12",40101,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"12",40102,"3","1","0","2","0","0","0","0","0"
"12",40103,"23","17","1","1","0","4","0","0","0"
"12",40104,"2","2","0","0","0","0","0","0","0"
"12",40105,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"12",40106,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"12",40107,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"12",40108,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"12",40109,"8","5","NSS","1","0","1","1","0","0"
"12",40110,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"12",40111,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"12",40112,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"12",40113,"2","2","0","0","0","0","0","0","0"
"12",40114,"14","4","1","4","0","4","1","0","0"
"12",40115,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"12",40116,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"12",40119,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"12",40199,"157","93","31","20","","11","1","1",""
"12",40200,"0","0","0","0","0","0","0","0","0"
"12",40300,"171","95","40","36","0","0","0","0","0"
"12",40400,"43","23","8","12","0","0","0","0","0"
"12",40500,"17","8","NSS","1","0","7","1","0","0"
"12",40501,"NSS","NSS","NSS","NSS","0","NSS","NSS","0","0"
"12",40509,"NSS","NSS","NSS","NSS","0","NSS","NSS","0","0"
"12",40599,"17","8","","1","","7","1","",""
"12",40600,"166","92","23","39","0","12","0","0","0"
"12",40700,"140","62","36","29","1","7","5","0","0"
"12",40900,"2","2","0","0","0","0","0","0","0"
"12",50100,"314","212","33","51","0","15","3","0","0"
"12",50200,"407","336","6","60","0","4","NSS","1","0"
"12",50900,"1","NSS","NSS","1","0","0","0","0","0"
"12",60100,"14","8","1","3","0","1","1","0","0"
"12",60101,"3","3","0","0","0","0","0","0","0"
"12",60102,"NSS","NSS","0","0","0","0","0","0","0"
"12",60103,"NSS","NSS","0","0","0","0","0","0","0"
"12",60104,"3","NSS","1","2","0","0","0","0","0"
"12",60105,"NSS","NSS","0","0","0","0","0","0","0"
"12",60106,"NSS","NSS","0","0","0","0","0","0","0"
"12",60109,"7","4","NSS","1","0","1","1","0","0"
"12",60199,"1","1","","","","","","",""
"12",60200,"1","1","0","0","0","0","0","0","0"
"12",60201,"0","0","0","0","0","0","0","0","0"
"12",60202,"0","0","0","0","0","0","0","0","0"
"12",60203,"1","1","0","0","0","0","0","0","0"
"12",60209,"0","0","0","0","0","0","0","0","0"
"12",60299,"","","","","","","","",""
"12",60300,"44","37","5","2","0","0","0","0","0"
"12",60400,"1","1","0","0","0","0","0","0","0"
"12",60900,"18","14","3","1","0","0","0","0","0"
"12",70100,"119","93","5","0","1","19","1","0","0"
"12",70101,"7","2","0","0","0","5","0","0","0"
"12",70102,"1","0","0","0","0","1","0","0","0"
"12",70103,"1","0","0","0","0","1","0","0","0"
"12",70104,"NSS","NSS","NSS","0","NSS","NSS","NSS","0","0"
"12",70109,"NSS","NSS","NSS","0","NSS","NSS","NSS","0","0"
"12",70199,"110","91","5","","1","12","1","",""
"12",70200,"0","0","0","0","0","0","0","0","0"
"12",70201,"0","0","0","0","0","0","0","0","0"
"12",70202,"0","0","0","0","0","0","0","0","0"
"12",70203,"0","0","0","0","0","0","0","0","0"
"12",70204,"0","0","0","0","0","0","0","0","0"
"12",70205,"0","0","0","0","0","0","0","0","0"
"12",70206,"0","0","0","0","0","0","0","0","0"
"12",70209,"0","0","0","0","0","0","0","0","0"
"12",70299,"","","","","","","","",""
"12",70300,"4","NSS","2","2","0","0","0","0","0"
"12",70400,"7","6","1","0","0","0","0","0","0"
"12",70500,"0","0","0","0","0","0","0","0","0"
"12",70600,"0","0","0","0","0","0","0","0","0"
"12",70900,"27","19","4","4","0","0","0","0","0"
"12",80100,"25","21","2","1","0","1","0","0","0"
"12",80101,"24","20","2","1","0","1","0","0","0"
"12",80102,"0","0","0","0","0","0","0","0","0"
"12",80103,"0","0","0","0","0","0","0","0","0"
"12",80104,"0","0","0","0","0","0","0","0","0"
"12",80105,"0","0","0","0","0","0","0","0","0"
"12",80106,"0","0","0","0","0","0","0","0","0"
"12",80107,"0","0","0","0","0","0","0","0","0"
"12",80109,"1","1","0","0","0","0","0","0","0"
"12",80199,"","","","","","","","",""
"12",80200,"0","0","0","0","0","0","0","0","0"
"12",80201,"0","0","0","0","0","0","0","0","0"
"12",80209,"0","0","0","0","0","0","0","0","0"
"12",80299,"","","","","","","","",""
"12",80300,"0","0","0","0","0","0","0","0","0"
"12",80400,"6","5","NSS","1","0","0","0","0","0"
"12",80900,"27","13","7","7","0","0","0","0","0"
"12",90100,"8","2","2","3","0","1","0","0","0"
"12",90200,"18","8","7","2","0","1","0","0","0"
"12",90300,"29","16","9","4","0","0","0","0","0"
"12",90400,"11","4","4","3","0","0","0","0","0"
"12",90500,"0","0","0","0","0","0","0","0","0"
"12",90501,"0","0","0","0","0","0","0","0","0"
"12",90502,"0","0","0","0","0","0","0","0","0"
"12",90503,"0","0","0","0","0","0","0","0","0"
"12",90509,"0","0","0","0","0","0","0","0","0"
"12",90599,"","","","","","","","",""
"12",90600,"0","0","0","0","0","0","0","0","0"
"12",90700,"0","0","0","0","0","0","0","0","0"
"12",90701,"0","0","0","0","0","0","0","0","0"
"12",90709,"0","0","0","0","0","0","0","0","0"
"12",90799,"","","","","","","","",""
"12",90800,"0","0","0","0","0","0","0","0","0"
"12",90900,"0","0","0","0","0","0","0","0","0"
"12",91000,"0","0","0","0","0","0","0","0","0"
"12",91100,"0","0","0","0","0","0","0","0","0"
"12",91200,"8","6","0","0","0","2","0","0","0"
"12",91300,"0","0","0","0","0","0","0","0","0"
"12",91400,"0","0","0","0","0","0","0","0","0"
"12",91500,"0","0","0","0","0","0","0","0","0"
"12",91600,"0","0","0","0","0","0","0","0","0"
"12",91900,"1099","683","85","238","0","74","7","12","0"
"12",999999,"","","","","","","","",""
"13",10100,"190","88","7","1","0","87","6","1","0"
"13",10200,"26","8","0","0","0","18","0","0","0"
"13",10300,"0","0","0","0","0","0","0","0","0"
"13",10400,"411","211","49","7","0","119","21","4","0"
"13",10900,"1","1","0","0","0","0","0","0","0"
"13",20100,"50","21","9","0","0","15","5","0","0"
"13",20200,"0","0","0","0","0","0","0","0","0"
"13",20300,"16","6","5","0","0","5","0","0","0"
"13",20400,"0","0","0","0","0","0","0","0","0"
"13",20500,"0","0","0","0","0","0","0","0","0"
"13",20600,"62","35","6","4","0","14","3","0","0"
"13",20601,"NSS","NSS","NSS","NSS","0","NSS","NSS","0","0"
"13",20602,"NSS","NSS","NSS","NSS","0","NSS","NSS","0","0"
"13",20603,"NSS","NSS","NSS","NSS","0","NSS","NSS","0","0"
"13",20604,"NSS","NSS","NSS","NSS","0","NSS","NSS","0","0"
"13",20609,"NSS","NSS","NSS","NSS","0","NSS","NSS","0","0"
"13",20699,"62","35","6","4","","14","3","",""
"13",20900,"0","0","0","0","0","0","0","0","0"
"13",30100,"84","47","0","0","0","36","1","0","0"
"13",30200,"0","0","0","0","0","0","0","0","0"
"13",30300,"0","0","0","0","0","0","0","0","0"
"13",30400,"149","75","1","1","0","71","1","0","0"
"13",30500,"0","0","0","0","0","0","0","0","0"
"13",30600,"8","8","0","0","0","0","0","0","0"
"13",30700,"0","0","0","0","0","0","0","0","0"
"13",30900,"1","0","0","0","0","1","0","0","0"
"13",40100,"693","232","44","3","0","368","41","5","0"
"13",40101,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40102,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40103,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40104,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40105,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40106,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40107,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40108,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40109,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40110,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40111,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40112,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40113,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40114,"9","7","1","0","0","1","0","0","0"
"13",40115,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40116,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40119,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"13",40199,"684","225","43","3","","367","41","5",""
"13",40200,"0","0","0","0","0","0","0","0","0"
"13",40300,"185","132","34","2","1","11","5","0","0"
"13",40400,"72","50","16","0","0","6","0","0","0"
"13",40500,"10","3","2","0","0","4","1","0","0"
"13",40501,"NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"13",40509,"NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"13",40599,"10","3","2","","","4","1","",""
"13",40600,"236","129","25","2","0","68","10","2","0"
"13",40700,"286","185","86","5","0","5","4","1","0"
"13",40900,"2","2","0","0","0","0","0","0","0"
"13",50100,"241","151","23","1","0","55","11","0","0"
"13",50200,"540","506","15","3","0","16","0","0","0"
"13",50900,"4","4","0","0","0","0","0","0","0"
"13",60100,"3","2","1","0","0","0","0","0","0"
"13",60101,"3","2","1","0","0","0","0","0","0"
"13",60102,"0","0","0","0","0","0","0","0","0"
"13",60103,"0","0","0","0","0","0","0","0","0"
"13",60104,"0","0","0","0","0","0","0","0","0"
"13",60105,"0","0","0","0","0","0","0","0","0"
"13",60106,"0","0","0","0","0","0","0","0","0"
"13",60109,"0","0","0","0","0","0","0","0","0"
"13",60199,"","","","","","","","",""
"13",60200,"1","1","0","0","0","0","0","0","0"
"13",60201,"NSS","NSS","0","0","0","0","0","0","0"
"13",60202,"NSS","NSS","0","0","0","0","0","0","0"
"13",60203,"NSS","NSS","0","0","0","0","0","0","0"
"13",60209,"NSS","NSS","0","0","0","0","0","0","0"
"13",60299,"1","1","","","","","","",""
"13",60300,"0","0","0","0","0","0","0","0","0"
"13",60400,"0","0","0","0","0","0","0","0","0"
"13",60900,"0","0","0","0","0","0","0","0","0"
"13",70100,"154","49","4","0","0","94","6","1","0"
"13",70101,"0","0","0","0","0","0","0","0","0"
"13",70102,"0","0","0","0","0","0","0","0","0"
"13",70103,"154","49","4","0","0","94","6","1","0"
"13",70104,"0","0","0","0","0","0","0","0","0"
"13",70109,"0","0","0","0","0","0","0","0","0"
"13",70199,"","","","","","","","",""
"13",70200,"0","0","0","0","0","0","0","0","0"
"13",70201,"0","0","0","0","0","0","0","0","0"
"13",70202,"0","0","0","0","0","0","0","0","0"
"13",70203,"0","0","0","0","0","0","0","0","0"
"13",70204,"0","0","0","0","0","0","0","0","0"
"13",70205,"0","0","0","0","0","0","0","0","0"
"13",70206,"0","0","0","0","0","0","0","0","0"
"13",70209,"0","0","0","0","0","0","0","0","0"
"13",70299,"","","","","","","","",""
"13",70300,"2","1","0","0","0","1","0","0","0"
"13",70400,"8","6","0","0","0","2","0","0","0"
"13",70500,"0","0","0","0","0","0","0","0","0"
"13",70600,"0","0","0","0","0","0","0","0","0"
"13",70900,"1","1","0","0","0","0","0","0","0"
"13",80100,"26","19","3","0","0","4","0","0","0"
"13",80101,"22","19","3","0","0","0","0","0","0"
"13",80102,"0","0","0","0","0","0","0","0","0"
"13",80103,"0","0","0","0","0","0","0","0","0"
"13",80104,"4","0","0","0","0","4","0","0","0"
"13",80105,"0","0","0","0","0","0","0","0","0"
"13",80106,"0","0","0","0","0","0","0","0","0"
"13",80107,"0","0","0","0","0","0","0","0","0"
"13",80109,"NSS","0","0","0","0","NSS","0","0","0"
"13",80199,"","","","","","","","",""
"13",80200,"0","0","0","0","0","0","0","0","0"
"13",80201,"0","0","0","0","0","0","0","0","0"
"13",80209,"0","0","0","0","0","0","0","0","0"
"13",80299,"","","","","","","","",""
"13",80300,"0","0","0","0","0","0","0","0","0"
"13",80400,"3","2","1","0","0","0","0","0","0"
"13",80900,"95","80","4","0","2","8","1","0","0"
"13",90100,"121","70","37","0","0","11","3","0","0"
"13",90200,"21","11","3","1","0","5","1","0","0"
"13",90300,"37","25","12","0","0","0","0","0","0"
"13",90400,"27","15","5","0","0","5","2","0","0"
"13",90500,"0","0","0","0","0","0","0","0","0"
"13",90501,"0","0","0","0","0","0","0","0","0"
"13",90502,"0","0","0","0","0","0","0","0","0"
"13",90503,"0","0","0","0","0","0","0","0","0"
"13",90509,"0","0","0","0","0","0","0","0","0"
"13",90599,"","","","","","","","",""
"13",90600,"0","0","0","0","0","0","0","0","0"
"13",90700,"0","0","0","0","0","0","0","0","0"
"13",90701,"0","0","0","0","0","0","0","0","0"
"13",90709,"0","0","0","0","0","0","0","0","0"
"13",90799,"","","","","","","","",""
"13",90800,"0","0","0","0","0","0","0","0","0"
"13",90900,"0","0","0","0","0","0","0","0","0"
"13",91000,"0","0","0","0","0","0","0","0","0"
"13",91100,"0","0","0","0","0","0","0","0","0"
"13",91200,"15","11","1","0","0","2","1","0","0"
"13",91300,"0","0","0","0","0","0","0","0","0"
"13",91400,"0","0","0","0","0","0","0","0","0"
"13",91500,"0","0","0","0","0","0","0","0","0"
"13",91600,"0","0","0","0","0","0","0","0","0"
"13",91900,"103","49","35","1","0","14","4","0","0"
"13",999999,"","","","","","","","",""
"14",10100,"245","157","14","38","1","23","2","10","0"
"14",10200,"20","14","1","0","0","3","NSS","2","0"
"14",10300,"0","0","0","0","0","0","0","0","0"
"14",10400,"725","389","55","204","3","61","10","3","0"
"14",10900,"67","36","9","16","0","4","2","0","0"
"14",20100,"19","8","1","3","0","4","1","2","0"
"14",20200,"0","0","0","0","0","0","0","0","0"
"14",20300,"2","1","0","0","0","0","1","0","0"
"14",20400,"2","NSS","NSS","1","0","1","0","0","0"
"14",20500,"8","7","1","0","0","0","0","0","0"
"14",20600,"22","13","3","5","0","1","0","0","0"
"14",20601,"NSS","NSS","NSS","NSS","0","NSS","0","0","0"
"14",20602,"2","1","1","0","0","0","0","0","0"
"14",20603,"NSS","NSS","NSS","NSS","0","NSS","0","0","0"
"14",20604,"2","2","0","0","0","0","0","0","0"
"14",20609,"NSS","NSS","NSS","NSS","0","NSS","0","0","0"
"14",20699,"18","10","2","5","","1","","",""
"14",20900,"3","1","1","0","0","0","1","0","0"
"14",30100,"128","76","4","25","0","21","0","2","0"
"14",30200,"4","4","0","0","0","0","0","0","0"
"14",30300,"3","1","NSS","2","0","0","0","0","0"
"14",30400,"32","19","NSS","12","0","1","0","0","0"
"14",30500,"5","4","NSS","1","0","0","0","0","0"
"14",30600,"0","0","0","0","0","0","0","0","0"
"14",30700,"0","0","0","0","0","0","0","0","0"
"14",30900,"13","8","1","4","0","0","0","0","0"
"14",40100,"1575","990","107","338","1","113","10","16","0"
"14",40101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0"
"14",40102,"33","21","4","2","0","2","1","3","0"
"14",40103,"25","25","0","0","0","0","0","0","0"
"14",40104,"5","5","0","0","0","0","0","0","0"
"14",40105,"10","10","0","0","0","0","0","0","0"
"14",40106,"8","8","0","0","0","0","0","0","0"
"14",40107,"7","5","2","0","0","0","0","0","0"
"14",40108,"4","4","0","0","0","0","0","0","0"
"14",40109,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0"
"14",40110,"2","2","0","0","0","0","0","0","0"
"14",40111,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0"
"14",40112,"5","2","1","2","0","0","0","0","0"
"14",40113,"46","29","8","9","0","0","0","0","0"
"14",40114,"6","3","1","2","0","0","0","0","0"
"14",40115,"1","1","0","0","0","0","0","0","0"
"14",40116,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0"
"14",40119,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0"
"14",40199,"1423","875","91","323","1","111","9","13",""
"14",40200,"0","0","0","0","0","0","0","0","0"
"14",40300,"463","236","61","162","4","0","0","0","0"
"14",40400,"26","10","4","12","0","0","0","0","0"
"14",40500,"54","32","7","13","0","2","0","0","0"
"14",40501,"NSS","NSS","NSS","NSS","0","NSS","0","0","0"
"14",40509,"NSS","NSS","NSS","NSS","0","NSS","0","0","0"
"14",40599,"54","32","7","13","","2","","",""
"14",40600,"711","331","57","300","3","17","2","1","0"
"14",40700,"91","44","17","28","1","NSS","NSS","1","0"
"14",40900,"1","0","1","0","0","0","0","0","0"
"14",50100,"508","302","12","146","0","44","NSS","4","0"
"14",50200,"51","35","NSS","16","0","0","0","0","0"
"14",50900,"2","NSS","NSS","2","0","0","0","0","0"
"14",60100,"42","26","1","9","0","6","0","0","0"
"14",60101,"38","25","NSS","9","0","4","0","0","0"
"14",60102,"2","0","0","0","0","2","0","0","0"
"14",60103,"1","1","0","0","0","0","0","0","0"
"14",60104,"0","0","0","0","0","0","0","0","0"
"14",60105,"0","0","0","0","0","0","0","0","0"
"14",60106,"0","0","0","0","0","0","0","0","0"
"14",60109,"1","0","1","0","0","0","0","0","0"
"14",60199,"","","","","","","","",""
"14",60200,"2","2","0","0","0","0","0","0","0"
"14",60201,"NSS","NSS","0","0","0","0","0","0","0"
"14",60202,"NSS","NSS","0","0","0","0","0","0","0"
"14",60203,"NSS","NSS","0","0","0","0","0","0","0"
"14",60209,"NSS","NSS","0","0","0","0","0","0","0"
"14",60299,"2","2","","","","","","",""
"14",60300,"52","30","1","18","0","3","0","0","0"
"14",60400,"3","2","1","0","0","0","0","0","0"
"14",60900,"3","0","0","3","0","0","0","0","0"
"14",70100,"872","566","26","225","1","53","1","0","0"
"14",70101,"53","36","1","2","NSS","13","1","0","0"
"14",70102,"31","25","4","0","NSS","2","0","0","0"
"14",70103,"4","4","0","0","NSS","0","0","0","0"
"14",70104,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0"
"14",70109,"1","1","0","0","NSS","0","0","0","0"
"14",70199,"783","500","21","223","1","38","","",""
"14",70200,"0","0","0","0","0","0","0","0","0"
"14",70201,"0","0","0","0","0","0","0","0","0"
"14",70202,"0","0","0","0","0","0","0","0","0"
"14",70203,"0","0","0","0","0","0","0","0","0"
"14",70204,"0","0","0","0","0","0","0","0","0"
"14",70205,"0","0","0","0","0","0","0","0","0"
"14",70206,"0","0","0","0","0","0","0","0","0"
"14",70209,"0","0","0","0","0","0","0","0","0"
"14",70299,"","","","","","","","",""
"14",70300,"1","1","0","0","0","0","0","0","0"
"14",70400,"15","4","NSS","2","0","9","0","0","0"
"14",70500,"0","0","0","0","0","0","0","0","0"
"14",70600,"0","0","0","0","0","0","0","0","0"
"14",70900,"17","11","2","4","0","0","0","0","0"
"14",80100,"33","20","2","7","0","4","0","0","0"
"14",80101,"19","10","1","5","0","3","0","0","0"
"14",80102,"0","0","0","0","0","0","0","0","0"
"14",80103,"0","0","0","0","0","0","0","0","0"
"14",80104,"0","0","0","0","0","0","0","0","0"
"14",80105,"0","0","0","0","0","0","0","0","0"
"14",80106,"0","0","0","0","0","0","0","0","0"
"14",80107,"0","0","0","0","0","0","0","0","0"
"14",80109,"14","10","1","2","0","1","0","0","0"
"14",80199,"","","","","","","","",""
"14",80200,"0","0","0","0","0","0","0","0","0"
"14",80201,"0","0","0","0","0","0","0","0","0"
"14",80209,"0","0","0","0","0","0","0","0","0"
"14",80299,"","","","","","","","",""
"14",80300,"0","0","0","0","0","0","0","0","0"
"14",80400,"2","1","0","0","0","1","0","0","0"
"14",80900,"50","37","4","7","1","1","0","0","0"
"14",90100,"116","75","6","32","0","3","0","0","0"
"14",90200,"24","15","2","5","0","1","1","0","0"
"14",90300,"36","14","5","17","0","0","0","0","0"
"14",90400,"85","45","16","22","1","1","0","0","0"
"14",90500,"3","1","0","0","0","2","0","0","0"
"14",90501,"NSS","NSS","0","0","0","NSS","0","0","0"
"14",90502,"NSS","NSS","0","0","0","NSS","0","0","0"
"14",90503,"NSS","NSS","0","0","0","NSS","0","0","0"
"14",90509,"NSS","NSS","0","0","0","NSS","0","0","0"
"14",90599,"3","1","","","","2","","",""
"14",90600,"0","0","0","0","0","0","0","0","0"
"14",90700,"0","0","0","0","0","0","0","0","0"
"14",90701,"0","0","0","0","0","0","0","0","0"
"14",90709,"0","0","0","0","0","0","0","0","0"
"14",90799,"","","","","","","","",""
"14",90800,"0","0","0","0","0","0","0","0","0"
"14",90900,"0","0","0","0","0","0","0","0","0"
"14",91000,"0","0","0","0","0","0","0","0","0"
"14",91100,"0","0","0","0","0","0","0","0","0"
"14",91200,"4","3","1","0","0","0","0","0","0"
"14",91300,"0","0","0","0","0","0","0","0","0"
"14",91400,"0","0","0","0","0","0","0","0","0"
"14",91500,"0","0","0","0","0","0","0","0","0"
"14",91600,"0","0","0","0","0","0","0","0","0"
"14",91900,"1078","705","60","213","1","95","4","0","0"
"14",999999,"","","","","","","","",""
"15",10100,"571","141","9","0","0","381","39","1","0"
"15",10200,"31","0","0","0","0","31","0","0","0"
"15",10300,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"15",10400,"709","163","14","0","0","415","111","6","0"
"15",10900,"14","9","2","0","0","3","0","0","0"
"15",20100,"17","17","0","0","0","0","0","0","0"
"15",20200,"NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0"
"15",20300,"1","0","1","0","0","0","0","0","0"
"15",20400,"1","1","0","0","0","0","0","0","0"
"15",20500,"0","0","0","0","0","0","0","0","0"
"15",20600,"141","18","4","0","0","101","17","1","0"
"15",20601,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",20602,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",20603,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",20604,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",20609,"1","0","0","0","0","0","1","0","0"
"15",20699,"140","18","4","","","101","16","1",""
"15",20900,"1","1","0","0","0","0","0","0","0"
"15",30100,"114","0","0","0","0","111","1","2","0"
"15",30200,"2","0","0","0","0","2","0","0","0"
"15",30300,"1","0","0","0","0","1","0","0","0"
"15",30400,"89","86","3","0","0","0","0","0","0"
"15",30500,"0","0","0","0","0","0","0","0","0"
"15",30600,"9","8","0","0","0","1","0","0","0"
"15",30700,"1","1","0","0","0","0","0","0","0"
"15",30900,"18","15","1","0","0","2","0","0","0"
"15",40100,"3067","408","20","0","0","2381","240","18","0"
"15",40101,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40102,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40103,"54","0","0","0","0","49","5","0","0"
"15",40104,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40105,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40106,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40107,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40108,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40109,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40110,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40111,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40112,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40113,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40114,"11","3","0","0","0","8","0","0","0"
"15",40115,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40116,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40119,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","0"
"15",40199,"3002","405","20","","","2324","235","18",""
"15",40200,"0","0","0","0","0","0","0","0","0"
"15",40300,"193","83","9","0","0","69","27","5","0"
