entidad,delisele,pedesitt,pedesi1,pedesi2,pedesi3,pedesi4,pedesi5,pedesi6,pedesi7,pedesi8,pedesi9
"10",20609,"0","0","0","0","0","0","0","0","0","0"
"10",91400,"0","0","0","0","0","0","0","0","0","0"
"10",999999,"","","","","","","","","",""
"12",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"12",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"12",20100,"NSS","0","NSS","NSS","0","NSS","NSS","0","NSS","NSS"
"12",20500,"0","0","0","0","0","0","0","0","0","0"
"12",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"12",20601,"NSS","NSS","NSS","0","NSS","NSS","0","NSS","NSS","0"
"12",20602,"NSS","NSS","0","NSS","NSS","0","NSS","NSS","0","NSS"
"12",20603,"NSS","NSS","NSS","0","NSS","NSS","0","NSS","NSS","0"
"12",20604,"NSS","NSS","0","0","NSS","0","0","NSS","0","0"
"12",20609,"NSS","0","NSS","0","0","NSS","0","0","NSS","0"
"12",91400,"0","0","0","0","0","0","0","0","0","0"
"12",999999,"","","","","","","","","",""
"13",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"13",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"13",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"13",20500,"0","0","0","0","0","0","0","0","0","0"
"13",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"13",20601,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"13",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"13",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"13",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"13",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"13",91400,"0","0","0","0","0","0","0","0","0","0"
"13",999999,"","","","","","","","","",""
"14",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"14",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"14",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"14",20500,"0","0","0","0","0","0","0","0","0","0"
"14",20600,"0","0","0","0","0","0","0","0","0","0"
"14",20601,"0","0","0","0","0","0","0","0","0","0"
"14",20602,"0","0","0","0","0","0","0","0","0","0"
"14",20603,"0","0","0","0","0","0","0","0","0","0"
"14",20604,"0","0","0","0","0","0","0","0","0","0"
"14",20609,"0","0","0","0","0","0","0","0","0","0"
"14",91400,"0","0","0","0","0","0","0","0","0","0"
"14",999999,"","","","","","","","","",""
"15",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",20500,"0","0","0","0","0","0","0","0","0","0"
"15",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",20601,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"15",91400,"0","0","0","0","0","0","0","0","0","0"
"15",999999,"","","","","","","","","",""
"16",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"16",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"16",20100,"0","0","0","0","0","0","0","0","0","0"
"16",20500,"0","0","0","0","0","0","0","0","0","0"
"16",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"16",20601,"0","0","0","0","0","0","0","0","0","0"
"16",20602,"0","0","0","0","0","0","0","0","0","0"
"16",20603,"0","0","0","0","0","0","0","0","0","0"
"16",20604,"0","0","0","0","0","0","0","0","0","0"
"16",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"16",91400,"0","0","0","0","0","0","0","0","0","0"
"16",999999,"","","","","","","","","",""
"17",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"17",10400,"0","0","0","0","0","0","0","0","0","0"
"17",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"17",20500,"0","0","0","0","0","0","0","0","0","0"
"17",20600,"0","0","0","0","0","0","0","0","0","0"
"17",20601,"0","0","0","0","0","0","0","0","0","0"
"17",20602,"0","0","0","0","0","0","0","0","0","0"
"17",20603,"0","0","0","0","0","0","0","0","0","0"
"17",20604,"0","0","0","0","0","0","0","0","0","0"
"17",20609,"0","0","0","0","0","0","0","0","0","0"
"17",91400,"0","0","0","0","0","0","0","0","0","0"
"17",999999,"","","","","","","","","",""
"18",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"18",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"18",20100,"NSS","NSS","NSS","0","NSS","NSS","0","NSS","NSS","0"
"18",20500,"0","0","0","0","0","0","0","0","0","0"
"18",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"18",20601,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"18",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"18",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"18",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"18",20609,"NSS","0","NSS","0","0","NSS","0","0","NSS","0"
"18",91400,"0","0","0","0","0","0","0","0","0","0"
"18",999999,"","","","","","","","","",""
"19",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"19",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"19",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"19",20500,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"19",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"19",20601,"0","0","0","0","0","0","0","0","0","0"
"19",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"19",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"19",20604,"0","0","0","0","0","0","0","0","0","0"
"19",20609,"0","0","0","0","0","0","0","0","0","0"
"19",91400,"0","0","0","0","0","0","0","0","0","0"
"19",999999,"","","","","","","","","",""
"20",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"20",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"20",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"20",20500,"0","0","0","0","0","0","0","0","0","0"
"20",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"20",20601,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"20",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"20",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"20",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"20",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"20",91400,"0","0","0","0","0","0","0","0","0","0"
"20",999999,"","","","","","","","","",""
"21",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"21",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"21",20100,"NSS","0","NSS","0","0","NSS","0","0","NSS","0"
