entidad,medidaca,sexoidtt,sexoid1,sexoid2,sexoid3
"15",5,"NSS","NSS","NSS","NSS"
"15",6,"NSS","NSS","NSS","NSS"
"15",9,"","","",""
"16",1,"NSS","NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS","NSS"
"16",9,"","","",""
"17",1,"1045","832","213","0"
"17",2,"213","197","16","0"
"17",3,"169","161","8","0"
"17",4,"129","120","9","0"
"17",5,"38","38","0","0"
"17",6,"508","449","59","0"
"17",9,"","","",""
"18",1,"NSS","NSS","NSS","NSS"
"18",2,"NSS","NSS","NSS","NSS"
"18",3,"NSS","NSS","NSS","NSS"
"18",4,"NSS","NSS","NSS","NSS"
"18",5,"NSS","NSS","NSS","NSS"
"18",6,"NSS","NSS","NSS","NSS"
"18",9,"","","",""
"19",1,"NSS","NSS","NSS","NSS"
"19",2,"NSS","NSS","NSS","NSS"
"19",3,"NSS","NSS","NSS","NSS"
"19",4,"NSS","NSS","NSS","NSS"
"19",5,"NSS","NSS","NSS","NSS"
"19",6,"NSS","NSS","NSS","NSS"
"19",9,"","","",""
"20",1,"NSS","NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS","NSS"
"20",3,"NSS","NSS","NSS","NSS"
"20",4,"NSS","NSS","NSS","NSS"
"20",5,"NSS","NSS","NSS","NSS"
"20",6,"NSS","NSS","NSS","NSS"
"20",9,"","","",""
"21",1,"NSS","NSS","NSS","NSS"
"21",2,"NSS","NSS","NSS","NSS"
"21",3,"NSS","NSS","NSS","NSS"
"21",4,"NSS","NSS","NSS","NSS"
"21",5,"NSS","NSS","NSS","NSS"
"21",6,"NSS","NSS","NSS","NSS"
"21",9,"","","",""
"22",1,"379","355","24","0"
"22",2,"32","29","3","0"
"22",3,"0","0","0","0"
"22",4,"26","25","1","0"
"22",5,"36","29","7","0"
"22",6,"319","279","40","0"
"22",9,"","","",""
"23",1,"NSS","NSS","NSS","NSS"
"23",2,"NSS","NSS","NSS","NSS"
"23",3,"NSS","NSS","NSS","NSS"
"23",4,"NSS","NSS","NSS","NSS"
"23",5,"NSS","NSS","NSS","NSS"
"23",6,"NSS","NSS","NSS","NSS"
"23",9,"","","",""
"24",1,"NSS","NSS","NSS","NSS"
"24",2,"NSS","NSS","NSS","NSS"
"24",3,"NSS","NSS","NSS","NSS"
"24",4,"NSS","NSS","NSS","NSS"
"24",5,"NSS","NSS","NSS","NSS"
"24",6,"NSS","NSS","NSS","NSS"
"24",9,"","","",""
"25",1,"213","207","6","0"
"25",2,"26","22","4","0"
"25",3,"0","0","0","0"
"25",4,"160","147","13","0"
"25",5,"83","75","8","0"
"25",6,"494","492","2","0"
"25",9,"","","",""
"26",1,"571","542","29","0"
"26",2,"131","126","5","0"
"26",3,"0","0","0","0"
"26",4,"3","3","0","0"
"26",5,"75","71","4","0"
"26",6,"534","511","23","0"
"26",9,"","","",""
"27",1,"311","273","27","11"
"27",2,"37","36","1","0"
"27",3,"5","5","0","0"
"27",4,"22","20","2","0"
"27",5,"0","0","0","0"
"27",6,"222","186","24","12"
"27",9,"","","",""
"28",1,"77","NSS","NSS","77"
"28",2,"1","NSS","NSS","1"
"28",3,"0","0","0","0"
"28",4,"6","NSS","NSS","6"
"28",5,"0","0","0","0"
"28",6,"88","NSS","NSS","88"
"28",9,"","","",""
"29",1,"45","42","3","0"
"29",2,"14","14","0","0"
"29",3,"0","0","0","0"
"29",4,"1","1","0","0"
"29",5,"0","0","0","0"
"29",6,"78","72","6","0"
"29",9,"","","",""
"30",1,"NSS","NSS","NSS","NSS"
"30",2,"NSS","NSS","NSS","NSS"
"30",3,"NSS","NSS","NSS","NSS"
"30",4,"NSS","NSS","NSS","NSS"
"30",5,"NSS","NSS","NSS","NSS"
"30",6,"NSS","NSS","NSS","NSS"
"30",9,"","","",""
"31",1,"460","NSS","NSS","460"
"31",2,"NSS","NSS","NSS","NSS"
"31",3,"NSS","NSS","NSS","NSS"
"31",4,"NSS","NSS","NSS","NSS"
"31",5,"NSS","NSS","NSS","NSS"
"31",6,"NSS","NSS","NSS","NSS"
"31",9,"1263","","","1263"
"32",1,"NSS","NSS","NSS","NSS"
"32",2,"NSS","NSS","NSS","NSS"
"32",3,"NSS","NSS","NSS","NSS"
"32",4,"NSS","NSS","NSS","NSS"
"32",5,"NSS","NSS","NSS","NSS"
"32",6,"NSS","NSS","NSS","NSS"
"32",9,"","","",""
