entidad,mater_ja,seguimtt,seguim1,seguim2,seguim3,seguim4,seguim5,seguim6,seguim7,seguimne,no_aplic
"21",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"22",1,"146","0","0","146","0","0","0","0","",""
"22",2,"0","0","0","0","0","0","0","0","",""
"22",3,"489","0","0","489","0","0","0","0","",""
"22",4,"305","0","0","0","0","0","0","305","",""
"22",5,"NA","NA","NA","NA","NA","NA","NA","NA","","1"
"22",6,"NA","NA","NA","NA","NA","NA","NA","NA","","1"
"22",7,"0","0","0","0","0","0","0","0","",""
"22",8,"NA","NA","NA","NA","NA","NA","NA","NA","","1"
"23",1,"237","0","0","160","0","77","0","0","",""
"23",2,"2","0","0","0","0","2","0","0","",""
"23",3,"1497","0","0","289","0","408","800","0","",""
"23",4,"41","2","0","5","32","2","0","0","",""
"23",5,"2","0","0","2","0","0","0","0","",""
"23",6,"NA","NA","NA","NA","NA","NA","NA","NA","","1"
"23",7,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","",""
"23",8,"NA","NA","NA","NA","NA","NA","NA","NA","","1"
"24",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"24",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"24",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"24",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"24",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"24",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"24",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"24",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"25",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"25",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"25",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"25",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"25",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"25",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"25",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"25",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"26",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"26",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"26",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"26",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"26",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"26",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"26",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"26",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"27",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"27",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"27",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"27",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"27",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"27",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"27",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"27",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"28",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"28",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"28",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"28",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"28",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"28",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
