entidad,rangedae,puesextt,puesex1,puesex2,puesex3,puesex4,puesex5,puesex6,puesex7,puesex8,puesex9,puesex10,puesex11,puesex12
"18",9,"19","0","2","0","0","3","0","0","0","1","13","0","0"
"18",99,"","","","","","","","","","","","",""
"19",1,"112","1","0","0","0","0","0","42","48","10","11","0","0"
"19",2,"210","17","11","0","0","0","0","59","98","12","13","0","0"
"19",3,"177","39","29","2","2","0","0","23","45","18","19","0","0"
"19",4,"184","44","64","2","2","0","0","9","25","8","30","0","0"
"19",5,"122","28","41","3","3","0","0","3","10","11","23","0","0"
"19",6,"85","19","23","2","0","0","0","1","3","8","29","0","0"
"19",7,"39","12","9","1","0","0","0","0","1","3","13","0","0"
"19",8,"16","2","3","3","0","0","0","1","1","0","6","0","0"
"19",9,"20","2","0","1","0","0","0","1","0","1","15","0","0"
"19",99,"","","","","","","","","","","","",""
"20",1,"80","0","1","0","1","0","0","0","0","38","40","0","0"
"20",2,"335","16","16","18","30","1","5","1","0","119","129","0","0"
"20",3,"315","20","26","17","30","5","9","1","0","103","104","0","0"
"20",4,"263","25","19","11","18","4","11","1","0","72","102","0","0"
"20",5,"224","15","14","13","16","1","13","5","9","51","87","0","0"
"20",6,"163","10","14","5","6","1","6","3","5","26","87","0","0"
"20",7,"75","2","4","2","0","2","8","0","0","13","44","0","0"
"20",8,"38","1","2","1","2","2","3","0","1","7","19","0","0"
"20",9,"26","2","1","0","0","0","3","0","0","8","12","0","0"
"20",99,"","","","","","","","","","","","",""
"21",1,"29","0","0","1","1","0","0","0","0","11","16","0","0"
"21",2,"181","5","4","5","11","5","4","0","0","51","96","0","0"
"21",3,"157","6","8","14","8","5","7","0","0","42","67","0","0"
"21",4,"129","8","6","5","5","8","21","0","0","22","54","0","0"
"21",5,"162","5","10","13","7","9","12","0","0","22","84","0","0"
"21",6,"245","7","23","11","12","10","23","0","0","41","118","0","0"
"21",7,"210","10","21","12","9","4","12","0","0","29","113","0","0"
"21",8,"115","9","9","7","4","3","3","0","0","13","67","0","0"
"21",9,"81","3","4","5","1","1","4","0","0","18","45","0","0"
"21",99,"","","","","","","","","","","","",""
"22",1,"87","0","0","1","1","0","0","28","55","1","1","0","0"
"22",2,"207","1","6","6","5","5","8","49","119","6","2","0","0"
"22",3,"204","4","10","6","6","13","31","28","95","7","4","0","0"
"22",4,"120","2","10","3","12","6","30","11","38","7","1","0","0"
"22",5,"132","5","21","3","13","6","33","14","31","5","1","0","0"
"22",6,"87","2","15","5","10","3","14","7","28","3","0","0","0"
"22",7,"51","1","3","6","7","2","3","5","22","0","2","0","0"
"22",8,"20","1","0","3","2","0","2","5","7","0","0","0","0"
"22",9,"4","0","0","1","0","0","0","1","2","0","0","0","0"
"22",99,"","","","","","","","","","","","",""
"23",1,"87","7","13","1","2","0","0","5","1","26","32","0","0"
"23",2,"153","25","32","9","19","1","4","5","13","17","28","0","0"
"23",3,"140","12","41","12","13","4","3","10","18","6","21","0","0"
"23",4,"153","11","20","7","8","14","20","8","13","6","46","0","0"
"23",5,"136","6","24","3","7","7","12","6","6","11","54","0","0"
"23",6,"84","4","15","2","2","4","8","1","3","2","43","0","0"
"23",7,"39","6","4","1","1","4","6","0","0","1","16","0","0"
"23",8,"17","3","2","0","0","2","2","0","0","1","7","0","0"
"23",9,"13","2","2","0","0","1","1","1","1","1","4","0","0"
"23",99,"","","","","","","","","","","","",""
"24",1,"17","0","0","0","0","0","0","0","0","10","7","0","0"
"24",2,"81","1","2","0","0","0","2","0","0","34","42","0","0"
"24",3,"140","5","5","5","4","5","3","2","2","36","73","0","0"
"24",4,"159","4","7","4","11","3","20","5","8","24","73","0","0"
"24",5,"225","8","9","15","12","15","30","6","8","31","91","0","0"
"24",6,"229","13","7","16","9","16","37","1","9","16","105","0","0"
"24",7,"157","7","9","8","6","12","21","2","1","8","83","0","0"
"24",8,"89","7","2","2","5","8","5","0","2","12","46","0","0"
"24",9,"69","4","2","4","2","5","9","1","2","1","39","0","0"
"24",99,"","","","","","","","","","","","",""
"25",1,"44","1","0","0","0","0","1","0","0","14","28","0","0"
"25",2,"122","2","1","5","3","0","7","0","0","37","67","0","0"
"25",3,"138","1","13","6","8","4","6","0","0","20","80","0","0"
"25",4,"191","7","10","8","22","6","13","0","0","32","93","0","0"
"25",5,"191","1","15","13","22","9","15","0","0","9","107","0","0"
"25",6,"199","13","13","14","30","8","11","0","0","18","92","0","0"
"25",7,"127","9","12","20","19","11","8","0","0","9","39","0","0"
"25",8,"51","14","2","9","4","6","1","0","0","4","11","0","0"
"25",9,"30","4","1","4","1","2","0","0","0","5","13","0","0"
"25",99,"","","","","","","","","","","","",""
"26",1,"79","3","1","0","0","0","0","0","0","24","51","0","0"
"26",2,"179","15","14","10","10","2","6","0","0","51","71","0","0"
"26",3,"265","21","35","17","21","6","24","0","0","54","87","0","0"
"26",4,"263","25","32","19","22","5","6","0","0","47","107","0","0"
"26",5,"224","19","40","10","38","4","4","0","0","25","84","0","0"
"26",6,"166","13","19","12","22","0","3","0","0","11","86","0","0"
"26",7,"101","4","15","5","16","0","0","0","0","14","47","0","0"
"26",8,"49","2","10","6","3","0","0","0","0","3","25","0","0"
"26",9,"43","2","2","4","5","0","0","0","0","11","19","0","0"
"26",99,"","","","","","","","","","","","",""
"27",1,"43","0","0","2","0","0","0","0","0","12","29","0","0"
"27",2,"126","4","14","14","26","0","1","4","9","20","34","0","0"
"27",3,"235","16","32","12","41","1","1","9","14","27","82","0","0"
"27",4,"289","15","45","8","33","4","10","11","36","33","94","0","0"
"27",5,"200","10","25","2","11","5","14","2","11","11","109","0","0"
"27",6,"138","6","7","5","10","1","6","2","7","10","84","0","0"
"27",7,"75","5","7","2","1","2","3","0","3","10","42","0","0"
"27",8,"29","0","5","0","2","0","0","0","0","15","7","0","0"
"27",9,"22","0","5","0","2","0","0","0","0","9","6","0","0"
"27",99,"","","","","","","","","","","","",""
"28",1,"57","0","0","0","0","0","0","3","11","15","28","0","0"
"28",2,"167","5","2","0","1","5","6","18","14","53","63","0","0"
"28",3,"138","9","4","1","1","3","16","12","10","30","52","0","0"
"28",4,"103","5","8","0","1","5","20","8","7","12","37","0","0"
"28",5,"119","9","13","0","0","8","14","6","3","13","53","0","0"
"28",6,"114","8","12","0","0","9","16","1","1","10","57","0","0"
"28",7,"67","5","7","0","0","3","7","2","0","7","36","0","0"
"28",8,"48","7","7","0","0","2","2","0","1","5","24","0","0"
"28",9,"32","3","4","0","0","1","3","0","0","4","17","0","0"
"28",99,"","","","","","","","","","","","",""
"29",1,"5","0","0","0","0","0","0","0","0","3","2","0","0"
"29",2,"33","1","0","0","1","0","1","6","5","4","15","0","0"
"29",3,"49","2","1","4","5","0","0","5","8","9","15","0","0"
"29",4,"65","3","4","3","4","1","6","0","13","13","18","0","0"
"29",5,"72","1","4","4","4","4","3","5","7","6","34","0","0"
"29",6,"81","0","5","6","7","1","6","2","10","11","33","0","0"
"29",7,"70","8","7","3","4","2","2","1","2","3","38","0","0"
"29",8,"29","2","3","0","0","1","1","1","1","2","18","0","0"
"29",9,"19","3","1","2","1","0","1","1","0","3","7","0","0"
"29",99,"","","","","","","","","","","","",""
"30",1,"32","1","4","0","1","0","0","8","12","1","5","0","0"
"30",2,"155","4","8","9","5","3","6","36","59","12","13","0","0"
"30",3,"240","9","10","6","6","15","6","54","108","18","8","0","0"
"30",4,"264","13","25","9","5","7","24","52","108","9","12","0","0"
"30",5,"307","10","39","6","5","12","25","64","131","7","8","0","0"
"30",6,"226","12","32","6","4","6","9","33","110","4","10","0","0"
"30",7,"198","18","31","1","2","6","11","30","85","8","6","0","0"
"30",8,"115","13","13","1","0","4","5","21","52","5","1","0","0"
"30",9,"167","14","25","2","1","9","8","36","63","5","4","0","0"
"30",99,"","","","","","","","","","","","",""
"31",1,"5","0","0","0","0","0","0","2","2","1","0","0","0"
"31",2,"68","1","1","2","2","2","5","16","27","7","5","0","0"
"31",3,"161","1","1","5","7","6","22","29","71","9","10","0","0"
"31",4,"122","4","7","5","8","13","27","9","36","11","2","0","0"
"31",5,"99","6","12","3","5","10","19","8","19","11","6","0","0"
"31",6,"72","2","6","3","1","5","16","9","16","11","3","0","0"
"31",7,"51","1","6","5","3","5","4","5","14","3","5","0","0"
"31",8,"11","1","1","3","0","0","0","1","4","1","0","0","0"
"31",9,"14","0","1","0","1","0","1","4","6","1","0","0","0"
"31",99,"","","","","","","","","","","","",""
"32",1,"39","0","0","0","0","0","0","0","0","18","21","0","0"
"32",2,"135","0","0","0","0","0","0","26","71","22","16","0","0"
"32",3,"136","0","0","0","0","0","0","26","108","2","0","0","0"
"32",4,"131","0","0","17","22","0","0","18","57","16","1","0","0"
"32",5,"80","0","0","3","2","14","35","4","12","5","5","0","0"
"32",6,"75","14","30","0","0","0","0","9","12","7","3","0","0"
"32",7,"45","0","0","0","0","12","27","3","3","0","0","0","0"
"32",8,"21","0","0","0","0","3","10","1","2","3","2","0","0"
"32",9,"15","3","1","0","0","0","0","0","0","6","5","0","0"
"32",99,"","","","","","","","","","","","",""
