entidad,tieprisi,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"13",6,"53","47","5","","1","0",""
"13",7,"88","63","6","","19","0",""
"13",8,"58","50","4","","4","0",""
"13",9,"27","24","0","","3","0",""
"13",10,"9","7","2","","0","0",""
"13",11,"36","29","4","","3","0",""
"13",12,"36","20","15","","1","0",""
"13",13,"0","0","0","","0","0",""
"13",14,"0","0","0","","0","0",""
"13",15,"0","0","0","","0","0",""
"13",16,"0","0","0","","0","0",""
"13",99,"1","","","1","","",""
"14",1,"75","63","12","","0","0",""
"14",2,"273","254","18","","1","0",""
"14",3,"129","115","11","","3","0",""
"14",4,"128","123","3","","2","0",""
"14",5,"65","57","5","","3","0",""
"14",6,"83","75","7","","1","0",""
"14",7,"368","342","16","","10","0",""
"14",8,"58","55","1","","2","0",""
"14",9,"30","28","1","","1","0",""
"14",10,"40","37","2","","1","0",""
"14",11,"75","67","8","","0","0",""
"14",12,"1","1","0","","0","0",""
"14",13,"0","0","0","","0","0",""
"14",14,"0","0","0","","0","0",""
"14",15,"0","0","0","","0","0",""
"14",16,"0","0","0","","0","0",""
"14",99,"131","32","","99","","",""
"15",1,"36","NSS","NSS","","30","6",""
"15",2,"73","NSS","NSS","","67","6",""
"15",3,"71","NSS","NSS","","67","4",""
"15",4,"79","NSS","NSS","","74","5",""
"15",5,"79","NSS","NSS","","72","7",""
"15",6,"47","NSS","NSS","","45","2",""
"15",7,"368","NSS","NSS","","350","18",""
"15",8,"73","NSS","NSS","","70","3",""
"15",9,"42","NSS","NSS","","42","0",""
"15",10,"5","NSS","NSS","","4","1",""
"15",11,"165","NSS","NSS","","147","18",""
"15",12,"NSS","NSS","NSS","","0","0",""
"15",13,"NSS","NSS","NSS","","0","0",""
"15",14,"NSS","NSS","NSS","","0","0",""
"15",15,"NSS","NSS","NSS","","0","0",""
"15",16,"NSS","NSS","NSS","","0","0",""
"15",99,"932","151","18","119","568","69","7"
"16",1,"29","24","5","","0","0",""
"16",2,"158","147","11","","0","0",""
"16",3,"77","71","6","","0","0",""
"16",4,"17","13","1","","3","0",""
"16",5,"32","23","3","","5","1",""
"16",6,"6","2","0","","4","0",""
"16",7,"10","9","0","","1","0",""
"16",8,"8","1","0","","7","0",""
"16",9,"14","4","0","","10","0",""
"16",10,"4","3","0","","1","0",""
"16",11,"23","8","1","","12","2",""
"16",12,"19","19","0","","0","0",""
"16",13,"0","0","0","","0","0",""
"16",14,"0","0","0","","0","0",""
"16",15,"0","0","0","","0","0",""
"16",16,"0","0","0","","0","0",""
"16",99,"","","","","","",""
"17",1,"5","0","0","","4","1",""
"17",2,"10","0","0","","9","1",""
"17",3,"10","0","0","","10","0",""
"17",4,"5","0","0","","4","1",""
"17",5,"4","0","0","","4","0",""
"17",6,"3","0","0","","2","1",""
"17",7,"23","0","0","","20","3",""
"17",8,"14","0","0","","14","0",""
"17",9,"25","0","0","","24","1",""
"17",10,"6","0","0","","4","2",""
"17",11,"49","0","0","","42","7",""
"17",12,"1","0","0","","1","0",""
"17",13,"0","0","0","","0","0",""
"17",14,"0","0","0","","0","0",""
"17",15,"0","0","0","","0","0",""
"17",16,"0","0","0","","0","0",""
"17",99,"8","","","","2","","6"
"18",1,"69","23","0","","45","1",""
"18",2,"69","19","0","","45","5",""
"18",3,"108","26","0","","71","11",""
"18",4,"45","16","2","","26","1",""
"18",5,"35","4","0","","31","0",""
"18",6,"60","17","2","","40","1",""
"18",7,"28","8","1","","18","1",""
"18",8,"2","0","0","","2","0",""
"18",9,"4","1","0","","2","1",""
"18",10,"2","0","0","","2","0",""
"18",11,"5","0","0","","5","0",""
"18",12,"1","0","0","","1","0",""
"18",13,"0","0","0","","0","0",""
"18",14,"0","0","0","","0","0",""
"18",15,"0","0","0","","0","0",""
"18",16,"0","0","0","","0","0",""
"18",99,"37","6","2","24","2","2","1"
"19",1,"NSS","0","0","","NSS","NSS",""
"19",2,"NSS","0","0","","NSS","NSS",""
"19",3,"NSS","0","0","","NSS","NSS",""
"19",4,"NSS","0","0","","NSS","NSS",""
"19",5,"4","4","NSS","","NSS","NSS",""
"19",6,"1","1","NSS","","NSS","NSS",""
"19",7,"NSS","0","0","","NSS","NSS",""
"19",8,"NSS","0","0","","NSS","NSS",""
"19",9,"NSS","0","0","","NSS","NSS",""
"19",10,"NSS","0","0","","NSS","NSS",""
"19",11,"6","6","NSS","","NSS","NSS",""
"19",12,"NSS","0","0","","NSS","NSS",""
"19",13,"NSS","0","0","","NSS","NSS",""
"19",14,"NSS","0","0","","NSS","NSS",""
"19",15,"NSS","0","0","","NSS","NSS",""
"19",16,"NSS","0","0","","NSS","NSS",""
"19",99,"537","28","2","503","2","","2"
"20",1,"NSS","NSS","NSS","","0","0",""
"20",2,"NSS","NSS","NSS","","0","0",""
"20",3,"NSS","NSS","NSS","","0","0",""
"20",4,"NSS","NSS","NSS","","0","0",""
"20",5,"NSS","NSS","NSS","","0","0",""
"20",6,"NSS","NSS","NSS","","0","0",""
"20",7,"NSS","NSS","NSS","","0","0",""
"20",8,"NSS","NSS","NSS","","0","0",""
"20",9,"NSS","NSS","NSS","","0","0",""
"20",10,"NSS","NSS","NSS","","0","0",""
"20",11,"NSS","NSS","NSS","","0","0",""
"20",12,"NSS","NSS","NSS","","0","0",""
"20",13,"NSS","NSS","NSS","","0","0",""
"20",14,"NSS","NSS","NSS","","0","0",""
"20",15,"NSS","NSS","NSS","","0","0",""
"20",16,"NSS","NSS","NSS","","0","0",""
"20",99,"102","","","102","","",""
"21",1,"108","100","7","","1","0",""
"21",2,"213","198","15","","0","0",""
"21",3,"186","166","14","","5","1",""
"21",4,"32","31","1","","0","0",""
"21",5,"24","20","4","","0","0",""
"21",6,"13","12","1","","0","0",""
"21",7,"15","12","0","","3","0",""
"21",8,"3","2","0","","1","0",""
"21",9,"1","1","0","","0","0",""
"21",10,"0","0","0","","0","0",""
"21",11,"7","6","1","","0","0",""
"21",12,"4","3","1","","0","0",""
"21",13,"0","0","0","","0","0",""
"21",14,"0","0","0","","0","0",""
"21",15,"0","0","0","","0","0",""
"21",16,"0","0","0","","0","0",""
"21",99,"35","31","1","3","","",""
"22",1,"22","19","2","","1","0",""
"22",2,"44","41","3","","0","0",""
"22",3,"56","50","3","","3","0",""
"22",4,"10","8","0","","2","0",""
"22",5,"25","22","3","","0","0",""
"22",6,"11","6","1","","4","0",""
"22",7,"6","4","0","","2","0",""
"22",8,"3","2","0","","1","0",""
"22",9,"3","2","0","","1","0",""
"22",10,"2","1","0","","1","0",""
"22",11,"4","NSS","0","","4","0",""
"22",12,"19","18","1","","0","0",""
"22",13,"NSS","NSS","0","","0","0",""
"22",14,"NSS","NSS","0","","0","0",""
"22",15,"NSS","NSS","0","","0","0",""
"22",16,"NSS","NSS","0","","0","0",""
"22",99,"1","1","","","","",""
"23",1,"8","1","0","","7","0",""
"23",2,"8","5","2","","1","0",""
"23",3,"14","6","0","","8","0",""
"23",4,"21","5","0","","16","0",""
"23",5,"8","1","0","","5","2",""
"23",6,"11","1","1","","9","0",""
"23",7,"17","2","0","","15","0",""
"23",8,"4","0","0","","4","0",""
"23",9,"4","0","0","","4","0",""
"23",10,"2","0","0","","2","0",""
"23",11,"5","0","0","","5","0",""
"23",12,"0","0","0","","0","0",""
"23",13,"0","0","0","","0","0",""
"23",14,"0","0","0","","0","0",""
"23",15,"0","0","0","","0","0",""
"23",16,"0","0","0","","0","0",""
"23",99,"1","1","","","","",""
"24",1,"83","77","5","","1","0",""
"24",2,"117","109","6","","2","0",""
"24",3,"96","88","6","","2","0",""
"24",4,"82","74","8","","0","0",""
"24",5,"109","101","5","","3","0",""
"24",6,"55","48","3","","3","1",""
"24",7,"67","63","2","","2","0",""
"24",8,"33","32","1","","0","0",""
"24",9,"27","27","0","","0","0",""
"24",10,"27","26","1","","0","0",""
"24",11,"10","10","0","","0","0",""
"24",12,"0","0","0","","0","0",""
"24",13,"0","0","0","","0","0",""
"24",14,"0","0","0","","0","0",""
"24",15,"1","1","0","","0","0",""
"24",16,"0","0","0","","0","0",""
"24",99,"","","","","","",""
"25",1,"33","28","5","","NSS","NSS",""
"25",2,"49","44","5","","NSS","NSS",""
"25",3,"89","85","4","","NSS","NSS",""
"25",4,"53","48","5","","NSS","NSS",""
"25",5,"46","43","3","","NSS","NSS",""
"25",6,"9","9","0","","NSS","NSS",""
"25",7,"38","37","1","","NSS","NSS",""
"25",8,"26","26","0","","NSS","NSS",""
"25",9,"12","12","0","","NSS","NSS",""
"25",10,"10","8","2","","NSS","NSS",""
"25",11,"9","8","1","","NSS","NSS",""
"25",12,"NSS","0","0","","NSS","NSS",""
"25",13,"NSS","0","0","","NSS","NSS",""
"25",14,"NSS","0","0","","NSS","NSS",""
"25",15,"NSS","0","0","","NSS","NSS",""
"25",16,"NSS","0","0","","NSS","NSS",""
"25",99,"725","","","717","3","","5"
"26",1,"107","94","7","","5","1",""
"26",2,"849","787","36","","26","0",""
"26",3,"93","67","0","","25","1",""
"26",4,"156","69","1","","81","5",""
"26",5,"413","351","11","","46","5",""
"26",6,"25","22","1","","1","1",""
"26",7,"64","41","0","","23","0",""
"26",8,"7","6","0","","1","0",""
"26",9,"2","2","0","","0","0",""
"26",10,"2","0","0","","2","0",""
"26",11,"10","6","0","","3","1",""
"26",12,"0","0","0","","0","0",""
"26",13,"0","0","0","","0","0",""
"26",14,"0","0","0","","0","0",""
"26",15,"0","0","0","","0","0",""
"26",16,"0","0","0","","0","0",""
"26",99,"67","53","13","","1","",""
"27",1,"8","8","0","","NSS","NSS",""
"27",2,"32","31","1","","NSS","NSS",""
"27",3,"36","34","2","","NSS","NSS",""
"27",4,"16","16","0","","NSS","NSS",""
"27",5,"45","44","1","","NSS","NSS",""
"27",6,"23","23","0","","NSS","NSS",""
"27",7,"25","24","1","","NSS","NSS",""
"27",8,"20","20","0","","NSS","NSS",""
"27",9,"6","6","0","","NSS","NSS",""
"27",10,"5","3","2","","NSS","NSS",""
"27",11,"12","11","1","","NSS","NSS",""
"27",12,"2","2","0","","NSS","NSS",""
"27",13,"NSS","0","0","","NSS","NSS",""
"27",14,"NSS","0","0","","NSS","NSS",""
"27",15,"NSS","0","0","","NSS","NSS",""
"27",16,"NSS","0","0","","NSS","NSS",""
"27",99,"26","1","","2","15","8",""
"28",1,"62","59","3","","0","0",""
"28",2,"19","19","0","","0","0",""
"28",3,"27","26","1","","0","0",""
"28",4,"19","17","2","","0","0",""
"28",5,"6","6","0","","0","0",""
"28",6,"8","8","0","","0","0",""
"28",7,"11","11","0","","0","0",""
"28",8,"3","3","0","","0","0",""
"28",9,"1","1","0","","0","0",""
"28",10,"2","2","0","","0","0",""
"28",11,"3","3","0","","0","0",""
"28",12,"0","0","0","","0","0",""
"28",13,"0","0","0","","0","0",""
"28",14,"0","0","0","","0","0",""
"28",15,"0","0","0","","0","0",""
"28",16,"0","0","0","","0","0",""
"28",99,"1127","","","1127","","",""
"29",1,"105","82","23","","0","0",""
"29",2,"57","49","8","","0","0",""
"29",3,"39","36","3","","0","0",""
"29",4,"30","30","0","","0","0",""
"29",5,"38","37","1","","0","0",""
"29",6,"17","17","0","","0","0",""
"29",7,"21","18","3","","0","0",""
"29",8,"4","4","0","","0","0",""
"29",9,"3","2","1","","0","0",""
"29",10,"4","3","1","","0","0",""
"29",11,"7","6","1","","0","0",""
