entidad,ocupacio,stpjsxtt,stpjsx1,stpjsx2,stpjsx4,stpjsx5
"24",11,"696","232","18","421","25"
"25",1,"NSS","NSS","NSS","NSS","NSS"
"25",2,"NSS","NSS","NSS","NSS","NSS"
"25",3,"NSS","NSS","NSS","NSS","NSS"
"25",4,"NSS","NSS","NSS","NSS","NSS"
"25",5,"NSS","NSS","NSS","NSS","NSS"
"25",6,"NSS","NSS","NSS","NSS","NSS"
"25",7,"NSS","NSS","NSS","NSS","NSS"
"25",8,"NSS","NSS","NSS","NSS","NSS"
"25",9,"NSS","NSS","NSS","NSS","NSS"
"25",10,"NSS","NSS","NSS","NSS","NSS"
"25",11,"1033","NSS","NSS","961","72"
"26",1,"16","12","0","4","0"
"26",2,"124","98","10","14","2"
"26",3,"29","20","2","7","0"
"26",4,"1016","863","98","52","3"
"26",5,"1311","1189","45","75","2"
"26",6,"595","485","12","97","1"
"26",7,"61","52","0","8","1"
"26",8,"138","97","2","38","1"
"26",9,"1085","606","68","391","20"
"26",10,"646","443","112","80","11"
"26",11,"1641","1286","206","129","20"
"27",1,"42","18","2","6","16"
"27",2,"95","40","5","31","19"
"27",3,"33","14","1","13","5"
"27",4,"217","103","12","68","34"
"27",5,"89","31","3","27","28"
"27",6,"249","105","0","92","52"
"27",7,"63","26","2","27","8"
"27",8,"191","64","0","71","56"
"27",9,"555","63","1","353","138"
"27",10,"196","49","22","63","62"
"27",11,"1411","632","77","490","212"
"28",1,"1","0","0","1","0"
"28",2,"11","6","0","4","1"
"28",3,"128","118","9","1","0"
"28",4,"75","60","4","11","0"
"28",5,"56","46","9","1","0"
"28",6,"54","50","0","3","1"
"28",7,"251","244","4","3","0"
"28",8,"43","32","0","11","0"
"28",9,"8","3","0","5","0"
"28",10,"42","25","11","4","2"
"28",11,"2088","1089","252","636","111"
"29",1,"6","6","0","0","0"
"29",2,"24","11","0","7","6"
"29",3,"8","3","0","5","0"
"29",4,"83","36","7","37","3"
"29",5,"69","63","0","5","1"
"29",6,"44","36","0","8","0"
"29",7,"11","8","0","3","0"
"29",8,"13","4","0","9","0"
"29",9,"129","81","2","39","7"
"29",10,"103","57","32","14","0"
"29",11,"443","346","79","16","2"
"30",1,"17","5","0","10","2"
"30",2,"169","89","22","48","10"
"30",3,"36","18","1","14","3"
"30",4,"309","155","26","115","13"
"30",5,"52","16","0","36","0"
"30",6,"402","239","5","157","1"
"30",7,"43","22","1","20","0"
"30",8,"123","37","0","85","1"
"30",9,"383","185","39","144","15"
"30",10,"202","78","49","41","34"
"30",11,"2134","1108","238","669","119"
"31",1,"5","4","0","1","0"
"31",2,"68","27","5","28","8"
"31",3,"4","1","1","1","1"
"31",4,"101","43","10","40","8"
"31",5,"16","2","0","14","0"
"31",6,"48","2","0","45","1"
"31",7,"61","44","0","17","0"
"31",8,"22","0","0","22","0"
"31",9,"219","20","1","189","9"
"31",10,"77","17","7","35","18"
"31",11,"520","168","34","287","31"
"32",1,"15","2","1","9","3"
"32",2,"102","30","7","56","9"
"32",3,"16","0","0","14","2"
"32",4,"219","40","16","134","29"
"32",5,"54","0","0","51","3"
"32",6,"335","162","13","158","2"
"32",7,"28","1","0","26","1"
"32",8,"49","4","0","45","0"
"32",9,"622","208","70","325","19"
"32",10,"174","25","13","86","50"
"32",11,"1166","476","220","386","84"
