entidad,delconsu,delregtt,delreg1,delreg2
"13",40104,"4","4","0"
"13",40105,"115","112","3"
"13",40106,"32","32","0"
"13",40108,"8","8","0"
"13",40109,"5","5","0"
"13",40110,"32","32","0"
"13",40111,"5","5","0"
"13",40112,"0","0","0"
"13",40113,"117","117","0"
"13",40114,"0","0","0"
"13",40115,"0","0","0"
"13",40119,"236","236","0"
"14",10101,"21","18","3"
"14",40102,"6","6","0"
"14",40103,"12","11","1"
"14",40104,"0","0","0"
"14",40105,"8","7","1"
"14",40106,"0","0","0"
"14",40108,"0","0","0"
"14",40109,"0","0","0"
"14",40110,"0","0","0"
"14",40111,"0","0","0"
"14",40112,"0","0","0"
"14",40113,"16","14","2"
"14",40114,"0","0","0"
"14",40115,"0","0","0"
"14",40119,"13","13","0"
"15",10101,"688","688","0"
"15",40102,"84","84","0"
"15",40103,"199","199","0"
"15",40104,"0","0","0"
"15",40105,"0","0","0"
"15",40106,"34","34","0"
"15",40108,"80","80","0"
"15",40109,"1","1","0"
"15",40110,"132","132","0"
"15",40111,"0","0","0"
"15",40112,"0","0","0"
"15",40113,"4","4","0"
"15",40114,"1","1","0"
"15",40115,"0","0","0"
"15",40119,"346","346","0"
"16",10101,"NSS","NSS","NSS"
"16",40102,"NSS","NSS","NSS"
"16",40103,"NSS","NSS","NSS"
"16",40104,"NSS","NSS","NSS"
"16",40105,"NSS","NSS","NSS"
"16",40106,"NSS","NSS","NSS"
"16",40108,"NSS","NSS","NSS"
"16",40109,"NSS","NSS","NSS"
"16",40110,"NSS","NSS","NSS"
"16",40111,"NSS","NSS","NSS"
"16",40112,"NSS","NSS","NSS"
"16",40113,"NSS","NSS","NSS"
"16",40114,"NSS","NSS","NSS"
"16",40115,"NSS","NSS","NSS"
"16",40119,"NSS","NSS","NSS"
"17",10101,"NSS","NSS","NSS"
"17",40102,"NSS","NSS","NSS"
"17",40103,"NSS","NSS","NSS"
"17",40104,"NSS","NSS","NSS"
"17",40105,"NSS","NSS","NSS"
"17",40106,"NSS","NSS","NSS"
"17",40108,"NSS","NSS","NSS"
"17",40109,"NSS","NSS","NSS"
"17",40110,"NSS","NSS","NSS"
"17",40111,"NSS","NSS","NSS"
"17",40112,"NSS","NSS","NSS"
"17",40113,"NSS","NSS","NSS"
"17",40114,"NSS","NSS","NSS"
"17",40115,"NSS","NSS","NSS"
"17",40119,"NSS","NSS","NSS"
"18",10101,"22","22","0"
"18",40102,"2","2","0"
"18",40103,"0","0","0"
"18",40104,"0","0","0"
"18",40105,"0","0","0"
"18",40106,"0","0","0"
"18",40108,"0","0","0"
"18",40109,"0","0","0"
"18",40110,"0","0","0"
"18",40111,"0","0","0"
"18",40112,"0","0","0"
"18",40113,"2","2","0"
"18",40114,"0","0","0"
"18",40115,"0","0","0"
"18",40119,"1","1","0"
"19",10101,"57","57","0"
"19",40102,"165","165","0"
"19",40103,"475","475","0"
"19",40104,"0","0","0"
"19",40105,"1054","1054","0"
"19",40106,"244","244","0"
"19",40108,"178","178","0"
"19",40109,"11","11","0"
"19",40110,"12","12","0"
"19",40111,"3","3","0"
"19",40112,"29","29","0"
"19",40113,"1590","1590","0"
"19",40114,"4","4","0"
"19",40115,"0","0","0"
"19",40119,"6","6","0"
"20",10101,"NSS","NSS","NSS"
"20",40102,"NSS","NSS","NSS"
"20",40103,"NSS","NSS","NSS"
"20",40104,"NSS","NSS","NSS"
"20",40105,"NSS","NSS","NSS"
"20",40106,"NSS","NSS","NSS"
"20",40108,"NSS","NSS","NSS"
"20",40109,"NSS","NSS","NSS"
"20",40110,"NSS","NSS","NSS"
"20",40111,"NSS","NSS","NSS"
"20",40112,"NSS","NSS","NSS"
"20",40113,"NSS","NSS","NSS"
"20",40114,"NSS","NSS","NSS"
"20",40115,"NSS","NSS","NSS"
"20",40119,"NSS","NSS","NSS"
"21",10101,"NSS","NSS","NSS"
"21",40102,"NSS","NSS","NSS"
"21",40103,"NSS","NSS","NSS"
"21",40104,"NSS","NSS","NSS"
"21",40105,"NSS","NSS","NSS"
"21",40106,"NSS","NSS","NSS"
"21",40108,"NSS","NSS","NSS"
"21",40109,"NSS","NSS","NSS"
"21",40110,"NSS","NSS","NSS"
"21",40111,"NSS","NSS","NSS"
"21",40112,"NSS","NSS","NSS"
"21",40113,"NSS","NSS","NSS"
"21",40114,"NSS","NSS","NSS"
"21",40115,"NSS","NSS","NSS"
"21",40119,"NSS","NSS","NSS"
"22",10101,"13","13","0"
"22",40102,"1","1","0"
"22",40103,"9","9","0"
"22",40104,"0","0","0"
"22",40105,"8","8","0"
"22",40106,"0","0","0"
"22",40108,"1","1","0"
"22",40109,"1","1","0"
"22",40110,"3","3","0"
"22",40111,"0","0","0"
"22",40112,"0","0","0"
"22",40113,"15","15","0"
"22",40114,"0","0","0"
"22",40115,"0","0","0"
"22",40119,"9","9","0"
"23",10101,"NSS","NSS","NSS"
"23",40102,"NSS","NSS","NSS"
"23",40103,"NSS","NSS","NSS"
"23",40104,"NSS","NSS","NSS"
"23",40105,"NSS","NSS","NSS"
"23",40106,"NSS","NSS","NSS"
"23",40108,"NSS","NSS","NSS"
"23",40109,"NSS","NSS","NSS"
"23",40110,"NSS","NSS","NSS"
"23",40111,"NSS","NSS","NSS"
"23",40112,"NSS","NSS","NSS"
"23",40113,"NSS","NSS","NSS"
"23",40114,"NSS","NSS","NSS"
"23",40115,"NSS","NSS","NSS"
"23",40119,"NSS","NSS","NSS"
"24",10101,"NSS","NSS","0"
"24",40102,"0","0","0"
"24",40103,"NSS","NSS","0"
"24",40104,"0","0","0"
"24",40105,"0","0","0"
"24",40106,"NSS","NSS","0"
"24",40108,"0","0","0"
"24",40109,"0","0","0"
"24",40110,"0","0","0"
"24",40111,"0","0","0"
"24",40112,"0","0","0"
"24",40113,"NSS","NSS","0"
"24",40114,"NSS","NSS","0"
"24",40115,"0","0","0"
"24",40119,"NSS","NSS","0"
"25",10101,"7","7","0"
"25",40102,"8","6","2"
"25",40103,"29","27","2"
"25",40104,"0","0","0"
"25",40105,"4","4","0"
"25",40106,"0","0","0"
"25",40108,"0","0","0"
"25",40109,"0","0","0"
"25",40110,"0","0","0"
"25",40111,"0","0","0"
"25",40112,"0","0","0"
"25",40113,"34","33","1"
"25",40114,"0","0","0"
"25",40115,"0","0","0"
"25",40119,"26","25","1"
"26",10101,"NSS","NSS","NSS"
"26",40102,"NSS","NSS","NSS"
"26",40103,"NSS","NSS","NSS"
"26",40104,"NSS","NSS","NSS"
"26",40105,"NSS","NSS","NSS"
"26",40106,"NSS","NSS","NSS"
"26",40108,"NSS","NSS","NSS"
"26",40109,"NSS","NSS","NSS"
"26",40110,"NSS","NSS","NSS"
"26",40111,"NSS","NSS","NSS"
"26",40112,"NSS","NSS","NSS"
"26",40113,"NSS","NSS","NSS"
"26",40114,"NSS","NSS","NSS"
"26",40115,"NSS","NSS","NSS"
"26",40119,"NSS","NSS","NSS"
"27",10101,"NSS","NSS","0"
"27",40102,"NSS","NSS","0"
"27",40103,"NSS","NSS","0"
"27",40104,"NSS","NSS","0"
"27",40105,"NSS","NSS","0"
"27",40106,"0","0","0"
"27",40108,"0","0","0"
"27",40109,"0","0","0"
"27",40110,"0","0","0"
"27",40111,"0","0","0"
"27",40112,"NSS","NSS","0"
"27",40113,"NSS","NSS","0"
"27",40114,"NSS","NSS","0"
"27",40115,"0","0","0"
"27",40119,"0","0","0"
"28",10101,"0","0","0"
"28",40102,"2","2","0"
"28",40103,"7","7","0"
"28",40104,"0","0","0"
"28",40105,"4","4","0"
"28",40106,"0","0","0"
"28",40108,"0","0","0"
"28",40109,"0","0","0"
"28",40110,"0","0","0"
"28",40111,"0","0","0"
"28",40112,"0","0","0"
"28",40113,"5","5","0"
"28",40114,"0","0","0"
"28",40115,"0","0","0"
"28",40119,"14","11","3"
"29",10101,"0","0","0"
"29",40102,"0","0","0"
"29",40103,"0","0","0"
"29",40104,"0","0","0"
"29",40105,"0","0","0"
"29",40106,"0","0","0"
"29",40108,"0","0","0"
"29",40109,"0","0","0"
"29",40110,"0","0","0"
"29",40111,"0","0","0"
"29",40112,"0","0","0"
"29",40113,"0","0","0"
"29",40114,"0","0","0"
"29",40115,"0","0","0"
"29",40119,"0","0","0"
"30",10101,"NSS","NSS","NSS"
"30",40102,"NSS","NSS","NSS"
"30",40103,"NSS","NSS","NSS"
"30",40104,"NSS","NSS","NSS"
"30",40105,"NSS","NSS","NSS"
"30",40106,"NSS","NSS","NSS"
"30",40108,"NSS","NSS","NSS"
"30",40109,"NSS","NSS","NSS"
"30",40110,"NSS","NSS","NSS"
"30",40111,"NSS","NSS","NSS"
"30",40112,"NSS","NSS","NSS"
"30",40113,"NSS","NSS","NSS"
"30",40114,"NSS","NSS","NSS"
"30",40115,"NSS","NSS","NSS"
"30",40119,"NSS","NSS","NSS"
"31",10101,"NSS","NSS","NSS"
"31",40102,"NSS","NSS","NSS"
"31",40103,"NSS","NSS","NSS"
"31",40104,"NSS","NSS","NSS"
"31",40105,"NSS","NSS","NSS"
"31",40106,"NSS","NSS","NSS"
"31",40108,"NSS","NSS","NSS"
"31",40109,"NSS","NSS","NSS"
"31",40110,"NSS","NSS","NSS"
"31",40111,"NSS","NSS","NSS"
"31",40112,"NSS","NSS","NSS"
"31",40113,"NSS","NSS","NSS"
"31",40114,"NSS","NSS","NSS"
"31",40115,"NSS","NSS","NSS"
"31",40119,"NSS","NSS","NSS"
"32",10101,"0","0","0"
"32",40102,"2","2","0"
"32",40103,"4","4","0"
"32",40104,"0","0","0"
"32",40105,"3","3","0"
"32",40106,"0","0","0"
"32",40108,"0","0","0"
"32",40109,"0","0","0"
"32",40110,"0","0","0"
"32",40111,"0","0","0"
"32",40112,"0","0","0"
"32",40113,"3","3","0"
"32",40114,"1","1","0"
"32",40115,"1","1","0"
"32",40119,"2","2","0"
