entidad,nacional,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"16",10,"NSS","NSS","NSS","NSS","NSS"
"16",11,"NSS","NSS","NSS","NSS","NSS"
"16",12,"NSS","NSS","NSS","NSS","NSS"
"16",13,"NSS","NSS","NSS","NSS","NSS"
"16",14,"NSS","NSS","NSS","NSS","NSS"
"16",15,"NSS","NSS","NSS","NSS","NSS"
"16",16,"NSS","NSS","NSS","NSS","NSS"
"16",17,"NSS","NSS","NSS","NSS","NSS"
"16",18,"NSS","NSS","NSS","NSS","NSS"
"16",19,"NSS","NSS","NSS","NSS","NSS"
"16",20,"NSS","NSS","NSS","NSS","NSS"
"17",1,"NSS","NA","NA","NSS","NSS"
"17",2,"NSS","NA","NA","NSS","NSS"
"17",3,"NSS","NA","NA","NSS","NSS"
"17",4,"NSS","NA","NA","NSS","NSS"
"17",5,"NSS","NA","NA","NSS","NSS"
"17",6,"NSS","NA","NA","NSS","NSS"
"17",7,"NSS","NA","NA","NSS","NSS"
"17",8,"NSS","NA","NA","NSS","NSS"
"17",9,"NSS","NA","NA","NSS","NSS"
"17",10,"NSS","NA","NA","NSS","NSS"
"17",11,"NSS","NA","NA","NSS","NSS"
"17",12,"NSS","NA","NA","NSS","NSS"
"17",13,"NSS","NA","NA","NSS","NSS"
"17",14,"NSS","NA","NA","NSS","NSS"
"17",15,"NSS","NA","NA","NSS","NSS"
"17",16,"NSS","NA","NA","NSS","NSS"
"17",17,"NSS","NA","NA","NSS","NSS"
"17",18,"NSS","NA","NA","NSS","NSS"
"17",19,"NSS","NA","NA","NSS","NSS"
"17",20,"NSS","NA","NA","NSS","NSS"
"18",1,"2072","964","154","874","80"
"18",2,"7","4","1","2","NSS"
"18",3,"2","1","1","NSS","NSS"
"18",4,"NSS","NSS","NSS","NSS","NSS"
"18",5,"NSS","NSS","NSS","NSS","NSS"
"18",6,"NSS","NSS","NSS","NSS","NSS"
"18",7,"NSS","NSS","NSS","NSS","NSS"
"18",8,"NSS","NSS","NSS","NSS","NSS"
"18",9,"NSS","NSS","NSS","NSS","NSS"
"18",10,"NSS","NSS","NSS","NSS","NSS"
"18",11,"2","NSS","NSS","2","NSS"
"18",12,"NSS","NSS","NSS","NSS","NSS"
"18",13,"NSS","NSS","NSS","NSS","NSS"
"18",14,"NSS","NSS","NSS","NSS","NSS"
"18",15,"1","1","NSS","NSS","NSS"
"18",16,"1","1","NSS","NSS","NSS"
"18",17,"NSS","NSS","NSS","NSS","NSS"
"18",18,"NSS","NSS","NSS","NSS","NSS"
"18",19,"NSS","NSS","NSS","NSS","NSS"
"18",20,"1795","817","162","754","62"
"19",1,"81707","125","32","66991","14559"
"19",2,"87","0","0","69","18"
"19",3,"2","0","0","2","0"
"19",4,"0","0","0","0","0"
"19",5,"1","0","0","1","0"
"19",6,"6","0","0","4","2"
"19",7,"70","0","0","61","9"
"19",8,"2","0","0","2","0"
"19",9,"0","0","0","0","0"
"19",10,"34","0","0","30","4"
"19",11,"2","0","0","1","1"
"19",12,"2","0","0","2","0"
"19",13,"24","0","0","22","2"
"19",14,"23","0","0","19","4"
"19",15,"2","0","0","2","0"
"19",16,"10","0","0","10","0"
"19",17,"23","0","0","21","2"
"19",18,"0","0","0","0","0"
"19",19,"0","0","0","0","0"
"19",20,"0","0","0","0","0"
"20",1,"NSS","NSS","NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS","NSS","NSS"
"20",3,"NSS","NSS","NSS","NSS","NSS"
"20",4,"NSS","NSS","NSS","NSS","NSS"
"20",5,"NSS","NSS","NSS","NSS","NSS"
"20",6,"NSS","NSS","NSS","NSS","NSS"
"20",7,"NSS","NSS","NSS","NSS","NSS"
"20",8,"NSS","NSS","NSS","NSS","NSS"
"20",9,"NSS","NSS","NSS","NSS","NSS"
"20",10,"NSS","NSS","NSS","NSS","NSS"
