entidad,coansele,aicotett,aicote1,aicote2,aicote4,aicote5
"20",1,"22","1","0","0","22"
"20",2,"1","0","0","0","1"
"20",3,"0","0","0","0","0"
"20",4,"7","0","0","0","7"
"20",5,"0","0","0","0","0"
"20",6,"0","0","0","0","0"
"20",7,"0","0","0","0","0"
"20",8,"0","0","0","0","0"
"20",9,"1","0","0","0","1"
"20",10,"0","0","0","0","0"
"20",11,"0","0","0","0","0"
"20",12,"0","0","0","0","0"
"20",13,"0","0","0","0","0"
"20",14,"0","0","0","0","0"
"20",15,"1","0","0","0","1"
"21",1,"1","0","1","0","0"
"21",2,"NSS","0","NSS","0","0"
"21",3,"NSS","0","NSS","0","0"
"21",4,"NSS","0","NSS","0","0"
"21",5,"0","0","0","0","0"
"21",6,"0","0","0","0","0"
"21",7,"0","0","0","0","0"
"21",8,"NSS","0","NSS","0","0"
"21",9,"0","0","0","0","0"
"21",10,"0","0","0","0","0"
"21",11,"NSS","0","NSS","0","0"
"21",12,"0","0","0","0","0"
"21",13,"0","0","0","0","0"
"21",14,"0","0","0","0","0"
"21",15,"NSS","0","NSS","0","0"
"22",1,"2","0","0","0","2"
"22",2,"0","0","0","0","0"
"22",3,"0","0","0","0","0"
"22",4,"0","0","0","0","0"
"22",5,"0","0","0","0","0"
"22",6,"0","0","0","0","0"
"22",7,"0","0","0","0","0"
"22",8,"0","0","0","0","0"
"22",9,"0","0","0","0","0"
"22",10,"0","0","0","0","0"
"22",11,"2","0","0","0","2"
"22",12,"0","0","0","0","0"
"22",13,"0","0","0","0","0"
"22",14,"0","0","0","0","0"
"22",15,"0","0","0","0","0"
"23",1,"3","1","1","1","2"
"23",2,"23","1","0","0","23"
"23",3,"7","0","0","0","7"
"23",4,"22","0","0","0","22"
"23",5,"0","0","0","0","0"
"23",6,"0","0","0","0","0"
"23",7,"0","0","0","0","0"
"23",8,"1","0","0","0","1"
"23",9,"0","0","0","0","0"
"23",10,"0","0","0","0","0"
"23",11,"13","0","0","0","13"
"23",12,"0","0","0","0","0"
"23",13,"0","0","0","0","0"
"23",14,"0","0","0","0","0"
"23",15,"1","0","0","0","1"
"24",1,"NSS","0","NSS","0","0"
"24",2,"NSS","0","NSS","0","NSS"
"24",3,"NSS","0","NSS","0","0"
"24",4,"0","0","0","0","0"
"24",5,"0","0","0","0","0"
"24",6,"0","0","0","0","0"
"24",7,"0","0","0","0","0"
"24",8,"0","0","0","0","0"
"24",9,"0","0","0","0","0"
"24",10,"NSS","0","0","0","NSS"
"24",11,"NSS","0","NSS","0","0"
"24",12,"0","0","0","0","0"
"24",13,"0","0","0","0","0"
"24",14,"0","0","0","0","0"
"24",15,"NSS","0","NSS","0","NSS"
"25",1,"17","1","0","0","17"
"25",2,"8","0","0","0","8"
"25",3,"33","0","0","0","33"
"25",4,"0","0","0","0","0"
"25",5,"0","0","0","0","0"
"25",6,"0","0","0","0","0"
"25",7,"0","0","0","0","0"
"25",8,"10","3","0","0","10"
"25",9,"0","0","0","0","0"
"25",10,"0","0","0","0","0"
"25",11,"55","1","0","0","55"
"25",12,"0","0","0","0","0"
"25",13,"0","0","0","0","0"
"25",14,"0","0","0","0","0"
"25",15,"88","4","0","0","88"
"26",1,"NSS","NSS","NSS","NSS","NSS"
"26",2,"NSS","NSS","NSS","NSS","NSS"
"26",3,"NSS","NSS","NSS","NSS","NSS"
"26",4,"NSS","NSS","NSS","NSS","NSS"
"26",5,"NSS","NSS","NSS","NSS","NSS"
"26",6,"NSS","NSS","NSS","NSS","NSS"
"26",7,"NSS","NSS","NSS","NSS","NSS"
"26",8,"NSS","NSS","NSS","NSS","NSS"
"26",9,"NSS","NSS","NSS","NSS","NSS"
"26",10,"NSS","NSS","NSS","NSS","NSS"
"26",11,"NSS","NSS","NSS","NSS","NSS"
"26",12,"NSS","NSS","NSS","NSS","NSS"
"26",13,"NSS","NSS","NSS","NSS","NSS"
"26",14,"NSS","NSS","NSS","NSS","NSS"
"26",15,"NSS","NSS","NSS","NSS","NSS"
"27",1,"NSS","0","0","0","NSS"
"27",2,"0","0","0","0","0"
"27",3,"NSS","0","0","0","NSS"
"27",4,"NSS","0","0","0","NSS"
"27",5,"0","0","0","0","0"
"27",6,"0","0","0","0","0"
"27",7,"0","0","0","0","0"
"27",8,"0","0","0","0","0"
"27",9,"0","0","0","0","0"
"27",10,"0","0","0","0","0"
"27",11,"NSS","0","0","0","NSS"
"27",12,"NSS","0","0","0","NSS"
"27",13,"0","0","0","0","0"
"27",14,"0","0","0","0","0"
"27",15,"NSS","0","0","0","NSS"
"28",1,"10","4","9","4","1"
"28",2,"1","0","NSS","0","1"
"28",3,"3","0","NSS","0","3"
"28",4,"NSS","0","NSS","0","0"
"28",5,"0","0","0","0","0"
"28",6,"0","0","0","0","0"
"28",7,"0","0","0","0","0"
"28",8,"0","0","0","0","0"
"28",9,"0","0","0","0","0"
"28",10,"0","0","0","0","0"
"28",11,"NSS","0","NSS","0","0"
"28",12,"0","0","0","0","0"
"28",13,"0","0","0","0","0"
"28",14,"0","0","0","0","0"
"28",15,"1","1","NSS","NSS","1"
"29",1,"0","0","0","0","0"
"29",2,"0","0","0","0","0"
"29",3,"0","0","0","0","0"
"29",4,"1","0","0","0","1"
"29",5,"0","0","0","0","0"
"29",6,"0","0","0","0","0"
"29",7,"0","0","0","0","0"
"29",8,"0","0","0","0","0"
"29",9,"0","0","0","0","0"
"29",10,"0","0","0","0","0"
"29",11,"1","0","0","0","1"
"29",12,"0","0","0","0","0"
"29",13,"0","0","0","0","0"
"29",14,"0","0","0","0","0"
"29",15,"0","0","0","0","0"
"30",1,"NSS","0","0","0","NSS"
"30",2,"NSS","0","0","0","NSS"
"30",3,"NSS","0","0","0","NSS"
"30",4,"NSS","0","0","0","NSS"
"30",5,"0","0","0","0","0"
"30",6,"0","0","0","0","0"
"30",7,"0","0","0","0","0"
"30",8,"0","0","0","0","0"
"30",9,"0","0","0","0","0"
"30",10,"NSS","0","0","0","NSS"
"30",11,"NSS","0","0","0","NSS"
"30",12,"0","0","0","0","0"
"30",13,"0","0","0","0","0"
"30",14,"0","0","0","0","0"
"30",15,"NSS","0","0","0","NSS"
"31",1,"1","0","0","0","1"
"31",2,"1","0","0","0","1"
"31",3,"0","0","0","0","0"
"31",4,"0","0","0","0","0"
"31",5,"0","0","0","0","0"
"31",6,"0","0","0","0","0"
"31",7,"0","0","0","0","0"
"31",8,"0","0","0","0","0"
"31",9,"0","0","0","0","0"
"31",10,"0","0","0","0","0"
"31",11,"0","0","0","0","0"
"31",12,"0","0","0","0","0"
"31",13,"0","0","0","0","0"
"31",14,"0","0","0","0","0"
"31",15,"3","0","0","0","3"
"32",1,"3","0","0","0","3"
"32",2,"3","0","0","0","3"
"32",3,"2","0","0","0","2"
"32",4,"0","0","0","0","0"
"32",5,"0","0","0","0","0"
"32",6,"0","0","0","0","0"
"32",7,"0","0","0","0","0"
"32",8,"0","0","0","0","0"
"32",9,"0","0","0","0","0"
"32",10,"0","0","0","0","0"
"32",11,"0","0","0","0","0"
"32",12,"0","0","0","0","0"
"32",13,"0","0","0","0","0"
"32",14,"0","0","0","0","0"
"32",15,"3","0","0","0","3"
