entidad,nacional,avinhmtt,avinhm1,avinhm2,avinhm4,avinhm5
"16",13,"NSS","NSS","NSS","NSS","NSS"
"16",14,"NSS","NSS","NSS","NSS","NSS"
"16",15,"NSS","NSS","NSS","NSS","NSS"
"16",16,"NSS","NSS","NSS","NSS","NSS"
"16",17,"NSS","NSS","NSS","NSS","NSS"
"16",18,"NSS","NSS","NSS","NSS","NSS"
"16",19,"NSS","NSS","NSS","NSS","NSS"
"16",20,"NSS","NSS","NSS","NSS","NSS"
"17",1,"348","NSS","0","300","48"
"17",2,"NSS","NSS","0","0","0"
"17",3,"NSS","NSS","0","0","0"
"17",4,"NSS","NSS","0","0","0"
"17",5,"NSS","NSS","0","0","0"
"17",6,"1","NSS","0","1","0"
"17",7,"NSS","NSS","0","0","0"
"17",8,"NSS","NSS","0","0","0"
"17",9,"NSS","NSS","0","0","0"
"17",10,"NSS","NSS","0","0","0"
"17",11,"NSS","NSS","0","0","0"
"17",12,"NSS","NSS","0","0","0"
"17",13,"NSS","NSS","0","0","0"
"17",14,"NSS","NSS","0","0","0"
"17",15,"NSS","NSS","0","0","0"
"17",16,"NSS","NSS","0","0","0"
"17",17,"NSS","NSS","0","0","0"
"17",18,"NSS","NSS","0","0","0"
"17",19,"NSS","NSS","0","0","0"
"17",20,"3","3","0","0","0"
"18",1,"224","187","21","16","NSS"
"18",2,"NSS","NSS","NSS","NSS","NSS"
"18",3,"NSS","NSS","NSS","NSS","NSS"
"18",4,"NSS","NSS","NSS","NSS","NSS"
"18",5,"NSS","NSS","NSS","NSS","NSS"
"18",6,"NSS","NSS","NSS","NSS","NSS"
"18",7,"NSS","NSS","NSS","NSS","NSS"
"18",8,"NSS","NSS","NSS","NSS","NSS"
"18",9,"NSS","NSS","NSS","NSS","NSS"
"18",10,"NSS","NSS","NSS","NSS","NSS"
"18",11,"NSS","NSS","NSS","NSS","NSS"
"18",12,"NSS","NSS","NSS","NSS","NSS"
"18",13,"NSS","NSS","NSS","NSS","NSS"
"18",14,"NSS","NSS","NSS","NSS","NSS"
"18",15,"NSS","NSS","NSS","NSS","NSS"
"18",16,"NSS","NSS","NSS","NSS","NSS"
"18",17,"NSS","NSS","NSS","NSS","NSS"
"18",18,"NSS","NSS","NSS","NSS","NSS"
"18",19,"NSS","NSS","NSS","NSS","NSS"
"18",20,"37","24","3","8","2"
"19",1,"4049","0","0","3162","887"
"19",2,"8","0","0","6","2"
"19",3,"0","0","0","0","0"
