entidad,ocupacio,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"20",4,"NSS","NSS","NSS","NSS","NSS"
"20",5,"NSS","NSS","NSS","NSS","NSS"
"20",6,"NSS","NSS","NSS","NSS","NSS"
"20",7,"NSS","NSS","NSS","NSS","NSS"
"20",8,"NSS","NSS","NSS","NSS","NSS"
"20",9,"NSS","NSS","NSS","NSS","NSS"
"20",10,"NSS","NSS","NSS","NSS","NSS"
"20",11,"NSS","NSS","NSS","NSS","NSS"
"21",1,"NSS","NSS","NSS","NSS","NSS"
"21",2,"NSS","NSS","NSS","NSS","NSS"
"21",3,"NSS","NSS","NSS","NSS","NSS"
"21",4,"NSS","NSS","NSS","NSS","NSS"
"21",5,"NSS","NSS","NSS","NSS","NSS"
"21",6,"NSS","NSS","NSS","NSS","NSS"
"21",7,"NSS","NSS","NSS","NSS","NSS"
"21",8,"NSS","NSS","NSS","NSS","NSS"
"21",9,"NSS","NSS","NSS","NSS","NSS"
"21",10,"NSS","NSS","NSS","NSS","NSS"
"21",11,"4176","2038","226","1746","166"
"22",1,"NSS","NSS","NSS","NSS","NSS"
"22",2,"127","81","18","16","12"
"22",3,"1093","605","170","271","47"
"22",4,"330","183","56","78","13"
"22",5,"2","0","2","NSS","NSS"
"22",6,"88","34","1","52","1"
"22",7,"145","81","NSS","63","1"
"22",8,"124","74","5","43","2"
"22",9,"229","4","158","7","60"
"22",10,"335","194","36","86","19"
"22",11,"19914","1450","306","13508","4650"
"23",1,"NSS","NSS","NSS","NSS","NSS"
"23",2,"NSS","NSS","NSS","NSS","NSS"
"23",3,"NSS","NSS","NSS","NSS","NSS"
"23",4,"NSS","NSS","NSS","NSS","NSS"
"23",5,"NSS","NSS","NSS","NSS","NSS"
"23",6,"NSS","NSS","NSS","NSS","NSS"
"23",7,"NSS","NSS","NSS","NSS","NSS"
"23",8,"NSS","NSS","NSS","NSS","NSS"
"23",9,"NSS","NSS","NSS","NSS","NSS"
"23",10,"NSS","NSS","NSS","NSS","NSS"
"23",11,"15506","1253","653","9748","3852"
"24",1,"NSS","NSS","NSS","NSS","NSS"
"24",2,"NSS","NSS","NSS","NSS","NSS"
"24",3,"NSS","NSS","NSS","NSS","NSS"
"24",4,"NSS","NSS","NSS","NSS","NSS"
"24",5,"NSS","NSS","NSS","NSS","NSS"
"24",6,"NSS","NSS","NSS","NSS","NSS"
"24",7,"NSS","NSS","NSS","NSS","NSS"
"24",8,"NSS","NSS","NSS","NSS","NSS"
"24",9,"NSS","NSS","NSS","NSS","NSS"
"24",10,"NSS","NSS","NSS","NSS","NSS"
"24",11,"14715","2591","629","9111","2384"
"25",1,"367","130","6","207","24"
"25",2,"1124","351","55","607","111"
"25",3,"11","3","0","6","2"
"25",4,"527","150","30","298","49"
"25",5,"35","12","0","23","0"
"25",6,"364","75","2","267","20"
"25",7,"1","0","0","1","0"
"25",8,"331","104","5","219","3"
"25",9,"4151","980","334","2199","638"
"25",10,"3603","1335","392","1621","255"
"25",11,"755","325","97","264","69"
"26",1,"301","212","28","58","3"
"26",2,"548","320","65","138","25"
"26",3,"33","17","7","6","3"
"26",4,"932","544","71","276","41"
"26",5,"93","54","1","38","0"
"26",6,"1599","1218","18","349","14"
"26",7,"79","39","0","39","1"
"26",8,"505","304","2","191","8"
"26",9,"6537","3768","293","2240","236"
"26",10,"2719","1239","439","733","308"
"26",11,"28126","4026","117","22356","1627"
"27",1,"242","184","37","17","4"
"27",2,"520","402","84","30","4"
"27",3,"41","33","7","0","1"
"27",4,"334","256","45","29","4"
"27",5,"32","28","3","1","0"
"27",6,"192","137","1","54","0"
"27",7,"7","5","2","0","0"
"27",8,"585","545","2","38","0"
"27",9,"657","364","219","55","19"
"27",10,"431","318","54","53","6"
"27",11,"85468","13763","1494","65112","5099"
"28",1,"271","33","2","159","77"
"28",2,"300","69","34","138","59"
"28",3,"2589","413","99","1692","385"
"28",4,"560","124","34","291","111"
"28",5,"270","111","8","138","13"
"28",6,"256","81","0","151","24"
"28",7,"13","4","0","8","1"
"28",8,"466","97","1","360","8"
"28",9,"6770","3443","883","1557","887"
"28",10,"548","176","33","291","48"
"28",11,"17460","69","14","12693","4684"
"29",1,"NSS","NSS","NSS","NSS","NSS"
"29",2,"NSS","NSS","NSS","NSS","NSS"
"29",3,"NSS","NSS","NSS","NSS","NSS"
"29",4,"NSS","NSS","NSS","NSS","NSS"
"29",5,"NSS","NSS","NSS","NSS","NSS"
"29",6,"NSS","NSS","NSS","NSS","NSS"
"29",7,"NSS","NSS","NSS","NSS","NSS"
"29",8,"NSS","NSS","NSS","NSS","NSS"
"29",9,"NSS","NSS","NSS","NSS","NSS"
"29",10,"NSS","NSS","NSS","NSS","NSS"
"29",11,"1227","646","115","415","51"
"30",1,"7","2","0","5","0"
"30",2,"376","58","11","265","42"
"30",3,"2418","612","61","1528","217"
"30",4,"522","117","15","344","46"
"30",5,"698","41","104","210","343"
"30",6,"895","194","11","670","20"
"30",7,"773","114","2","643","14"
"30",8,"817","160","1","643","13"
"30",9,"298","42","2","235","19"
"30",10,"584","179","13","362","30"
"30",11,"27439","3966","817","18617","4039"
"31",1,"NSS","NA","NA","NSS","NSS"
"31",2,"NSS","NA","NA","NSS","NSS"
"31",3,"NSS","NA","NA","NSS","NSS"
"31",4,"NSS","NA","NA","NSS","NSS"
"31",5,"NSS","NA","NA","NSS","NSS"
"31",6,"NSS","NA","NA","NSS","NSS"
