entidad,delitos,vicfuett,vicfue1,vicfue2,vicfue3,vicfue4,vicfue5,vicfue6,vicfue7,vicfue8,vicfue9,vicfue10,vicfue11,vicfue12,vicfue13,vicfue14,vicfue15,vicfue16,vicfue17,vicfue18,vicfuene
"09",40509,"1850","116","66","0","2","NSS","NSS","NSS","NSS","687","118","79","0","4","NSS","NSS","NSS","NSS","778",""
"09",40599,"","","","","","","","","","","","","","","","","","","",""
"09",40600,"10182","29","23","1","3","NSS","NSS","NSS","NSS","18","5112","3124","34","645","NSS","NSS","NSS","NSS","1193",""
"09",40700,"3366","195","154","3","6","NSS","NSS","NSS","NSS","96","1348","1233","2","25","NSS","NSS","NSS","NSS","304",""
"09",40900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",50100,"18426","1601","3454","26","0","0","0","0","0","0","3142","10136","67","0","0","0","0","0","0",""
"09",50200,"1035","157","158","0","0","0","0","0","0","0","302","417","1","0","0","0","0","0","0",""
"09",50900,"600","14","19","1","0","0","0","0","0","0","271","290","5","0","0","0","0","0","0",""
"09",60100,"220","20","82","0","0","NSS","NSS","NSS","NSS","11","26","79","0","0","NSS","NSS","NSS","NSS","2",""
"09",60101,"165","15","46","0","0","NSS","NSS","NSS","NSS","9","24","70","0","0","NSS","NSS","NSS","NSS","1",""
"09",60102,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",60103,"55","5","36","0","0","NSS","NSS","NSS","NSS","2","2","9","0","0","NSS","NSS","NSS","NSS","1",""
"09",60104,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",60105,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",60106,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",60109,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",60199,"","","","","","","","","","","","","","","","","","","",""
"09",60200,"29","1","24","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0",""
"09",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",60209,"29","1","24","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0",""
"09",60299,"","","","","","","","","","","","","","","","","","","",""
"09",60300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",60400,"457","3","4","0","0","NSS","NSS","NSS","NSS","3","198","191","1","0","NSS","NSS","NSS","NSS","57",""
"09",60900,"2","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0",""
"09",70100,"1405","10","2","17","26","NSS","NSS","NSS","NSS","678","25","13","10","13","NSS","NSS","NSS","NSS","611",""
"09",70101,"1405","10","2","17","26","NSS","NSS","NSS","NSS","678","25","13","10","13","NSS","NSS","NSS","NSS","611",""
"09",70102,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
