entidad,cantimpu,sexoidtt,sexoid1,sexoid2,sexoid3
"09",4,"NSS","NSS","NSS","NSS"
"09",5,"NSS","NSS","NSS","NSS"
"09",6,"NSS","NSS","NSS","NSS"
"09",9,"","","",""
"10",1,"1482","1295","187","0"
"10",2,"212","148","64","0"
"10",3,"547","496","51","0"
"10",4,"579","557","22","0"
"10",5,"45","45","0","0"
"10",6,"0","0","0","0"
"10",9,"","","",""
"11",1,"959","883","76","0"
"11",2,"407","368","39","0"
"11",3,"212","184","28","0"
"11",4,"57","54","3","0"
"11",5,"12","11","1","0"
"11",6,"4","4","0","0"
"11",9,"","","",""
"12",1,"246","222","24","0"
"12",2,"17","13","4","0"
"12",3,"29","28","1","0"
"12",4,"1","1","0","0"
"12",5,"1","1","0","0"
"12",6,"0","0","0","0"
"12",9,"","","",""
"13",1,"430","389","41","0"
"13",2,"15","10","5","0"
"13",3,"7","6","1","0"
"13",4,"1","0","1","0"
"13",5,"0","0","0","0"
"13",6,"0","0","0","0"
"13",9,"","","",""
"14",1,"615","522","93","0"
"14",2,"517","475","42","0"
"14",3,"266","236","30","0"
"14",4,"24","12","12","0"
"14",5,"0","0","0","0"
"14",6,"0","0","0","0"
"14",9,"","","",""
"15",1,"2017","1768","245","4"
"15",2,"0","0","0","0"
"15",3,"0","0","0","0"
"15",4,"0","0","0","0"
"15",5,"0","0","0","0"
"15",6,"0","0","0","0"
"15",9,"","","",""
"16",1,"329","323","6","0"
"16",2,"4","3","1","0"
"16",3,"17","14","3","0"
"16",4,"17","16","1","0"
"16",5,"2","2","0","0"
"16",6,"7","7","0","0"
"16",9,"","","",""
"17",1,"878","750","128","0"
"17",2,"173","129","44","0"
"17",3,"69","44","25","0"
"17",4,"56","56","0","0"
"17",5,"12","12","0","0"
"17",6,"2","2","0","0"
"17",9,"","","",""
"18",1,"604","225","9","370"
"18",2,"496","164","12","320"
"18",3,"227","71","6","150"
"18",4,"37","11","1","25"
"18",5,"6","1","1","4"
"18",6,"3","1","NSS","2"
"18",9,"","","",""
"19",1,"930","809","99","22"
"19",2,"508","457","50","1"
"19",3,"190","164","26","0"
"19",4,"62","59","3","0"
"19",5,"23","20","3","0"
"19",6,"9","8","1","0"
"19",9,"","","",""
"20",1,"NSS","NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS","NSS"
"20",3,"NSS","NSS","NSS","NSS"
"20",4,"NSS","NSS","NSS","NSS"
"20",5,"NSS","NSS","NSS","NSS"
"20",6,"NSS","NSS","NSS","NSS"
"20",9,"365","","","365"
"21",1,"601","567","34","0"
"21",2,"0","0","0","0"
"21",3,"0","0","0","0"
"21",4,"0","0","0","0"
"21",5,"0","0","0","0"
"21",6,"0","0","0","0"
"21",9,"","","",""
"22",1,"238","218","20","0"
"22",2,"29","25","4","0"
"22",3,"25","20","5","0"
"22",4,"22","20","2","0"
"22",5,"0","0","0","0"
"22",6,"0","0","0","0"
"22",9,"","","",""
"23",1,"218","215","3","0"
"23",2,"43","43","0","0"
"23",3,"0","0","0","0"
"23",4,"6","6","0","0"
"23",5,"0","0","0","0"
"23",6,"0","0","0","0"
"23",9,"","","",""
"24",1,"157","152","5","0"
"24",2,"13","12","1","0"
"24",3,"2","2","0","0"
"24",4,"0","0","0","0"
"24",5,"0","0","0","0"
"24",6,"0","0","0","0"
"24",9,"","","",""
"25",1,"262","255","7","0"
"25",2,"24","18","6","0"
"25",3,"50","45","5","0"
"25",4,"74","67","7","0"
"25",5,"35","33","2","0"
"25",6,"398","369","29","0"
"25",9,"","","",""
"26",1,"NSS","NSS","NSS","NSS"
"26",2,"NSS","NSS","NSS","NSS"
"26",3,"NSS","NSS","NSS","NSS"
"26",4,"NSS","NSS","NSS","NSS"
"26",5,"NSS","NSS","NSS","NSS"
"26",6,"NSS","NSS","NSS","NSS"
"26",9,"","","",""
"27",1,"141","109","11","21"
"27",2,"0","0","0","0"
"27",3,"0","0","0","0"
"27",4,"0","0","0","0"
"27",5,"0","0","0","0"
"27",6,"0","0","0","0"
"27",9,"","","",""
"28",1,"NSS","NSS","NSS","NSS"
"28",2,"NSS","NSS","NSS","NSS"
"28",3,"NSS","NSS","NSS","NSS"
"28",4,"NSS","NSS","NSS","NSS"
"28",5,"NSS","NSS","NSS","NSS"
"28",6,"NSS","NSS","NSS","NSS"
"28",9,"","","",""
"29",1,"31","27","4","0"
"29",2,"6","6","0","0"
"29",3,"1","1","0","0"
"29",4,"0","0","0","0"
"29",5,"0","0","0","0"
"29",6,"0","0","0","0"
"29",9,"","","",""
"30",1,"NSS","NSS","NSS","NSS"
"30",2,"NSS","NSS","NSS","NSS"
"30",3,"NSS","NSS","NSS","NSS"
"30",4,"NSS","NSS","NSS","NSS"
"30",5,"NSS","NSS","NSS","NSS"
"30",6,"NSS","NSS","NSS","NSS"
"30",9,"","","",""
"31",1,"NSS","NSS","NSS","NSS"
"31",2,"NSS","NSS","NSS","NSS"
"31",3,"NSS","NSS","NSS","NSS"
"31",4,"NSS","NSS","NSS","NSS"
"31",5,"NSS","NSS","NSS","NSS"
"31",6,"NSS","NSS","NSS","NSS"
"31",9,"","","",""
"32",1,"NSS","NSS","NSS","NSS"
"32",2,"NSS","NSS","NSS","NSS"
"32",3,"NSS","NSS","NSS","NSS"
"32",4,"NSS","NSS","NSS","NSS"
"32",5,"NSS","NSS","NSS","NSS"
"32",6,"NSS","NSS","NSS","NSS"
"32",9,"","","",""
