entidad,modalcur,puesextt,puesex1,puesex2,puesex3,puesex4,puesex5,puesex6,puesex7,puesex8,puesex9,puesex10,puesex11,puesex12,no_reali
"05",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"05",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"06",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"06",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"06",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"06",4,"30","3","8","5","4","0","0","0","0","4","6","0","0",""
"06",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"06",6,"102","8","18","11","10","4","5","0","0","19","27","0","0",""
"07",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"07",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"07",3,"47","20","21","0","0","0","0","0","0","0","0","6","0",""
"07",4,"118","0","0","35","27","2","5","0","0","25","24","0","0",""
"07",5,"40","15","20","0","0","0","0","2","3","0","0","0","0",""
"07",6,"85","5","7","3","2","15","14","0","0","25","14","0","0",""
"08",1,"14","0","0","0","0","3","9","0","0","0","2","0","0",""
"08",2,"40","2","7","5","5","10","11","0","0","0","0","0","0",""
"08",3,"69","1","1","1","2","1","6","6","48","1","2","0","0",""
"08",4,"736","8","24","13","5","90","156","3","2","195","240","0","0",""
"08",5,"63","3","19","3","4","10","9","9","1","1","4","0","0",""
"08",6,"107","0","64","2","6","0","17","6","2","0","10","0","0",""
"09",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"09",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"09",3,"48","4","5","1","1","8","11","5","3","1","9","0","0",""
"09",4,"1001","14","22","8","8","68","90","295","388","51","57","0","0",""
"09",5,"666","25","36","9","9","54","80","162","207","25","59","0","0",""
"09",6,"497","40","63","9","0","72","112","27","45","48","81","0","0",""
"10",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"10",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"10",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"10",4,"14","4","3","1","0","0","4","0","0","2","0","0","0",""
"10",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"10",6,"52","4","7","6","4","2","7","0","0","10","12","0","0",""
"11",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11",2,"24","1","7","4","7","0","3","1","0","1","0","0","0",""
"11",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"11",4,"1235","145","214","56","134","0","0","18","33","134","501","0","0",""
"11",5,"399","17","36","19","52","0","0","0","3","53","219","0","0",""
"11",6,"117","18","26","1","10","0","0","4","5","8","45","0","0",""
"12",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
