entidad,delitos,apcicttt,apcict1,apcict2,apcict4,apcict5
"19",60209,"4","NA","NA","4","0"
"19",60299,"","","","",""
"19",60300,"0","0","0","0","0"
"19",60400,"5","0","0","5","0"
"19",60900,"1559","0","0","1559","0"
"19",70100,"1611","1","0","1610","0"
"19",70101,"1437","1","0","1436","0"
"19",70102,"156","0","0","156","0"
"19",70103,"14","0","0","14","0"
"19",70104,"4","0","0","4","0"
"19",70109,"0","0","0","0","0"
"19",70199,"","","","",""
"19",70200,"0","0","0","0","0"
"19",70201,"0","NA","NA","0","0"
"19",70202,"0","NA","NA","0","0"
"19",70203,"0","NA","NA","0","0"
"19",70204,"0","NA","NA","0","0"
"19",70205,"0","NA","NA","0","0"
"19",70206,"0","NA","NA","0","0"
"19",70209,"0","NA","NA","0","0"
"19",70299,"","","","",""
"19",70300,"13","1","0","12","0"
"19",70400,"133","0","0","133","0"
"19",70500,"0","0","0","0","0"
"19",70600,"0","0","0","0","0"
"19",70900,"116","0","0","116","0"
"19",80100,"1381","1","0","1380","0"
"19",80101,"66","0","0","66","0"
"19",80102,"1059","1","0","1058","0"
"19",80103,"40","0","0","40","0"
"19",80104,"9","0","0","9","0"
"19",80105,"6","0","0","6","0"
"19",80106,"13","0","0","13","0"
"19",80107,"1","0","0","1","0"
"19",80109,"187","0","0","187","0"
"19",80199,"","","","",""
"19",80200,"0","0","0","0","0"
"19",80201,"0","NA","NA","0","0"
"19",80209,"0","NA","NA","0","0"
"19",80299,"","","","",""
"19",80300,"0","0","0","0","0"
"19",80400,"0","0","0","0","0"
"19",80900,"17","0","0","17","0"
"19",90100,"4581","1","0","4580","0"
"19",90200,"351","0","0","351","0"
"19",90300,"215","2","0","213","0"
"19",90400,"584","13","0","571","0"
"19",90500,"0","0","0","0","0"
"19",90501,"0","NA","NA","0","0"
"19",90502,"0","NA","NA","0","0"
"19",90503,"0","NA","NA","0","0"
"19",90509,"0","NA","NA","0","0"
"19",90599,"","","","",""
"19",90600,"4","0","0","4","0"
"19",90700,"0","0","0","0","0"
"19",90701,"0","NA","NA","0","0"
"19",90709,"0","NA","NA","0","0"
"19",90799,"","","","",""
"19",90800,"0","0","0","0","0"
"19",90900,"0","0","0","0","0"
"19",91000,"0","0","0","0","0"
"19",91100,"0","0","0","0","0"
"19",91200,"2","0","0","2","0"
"19",91300,"15","0","0","15","0"
"19",91400,"15","1","0","14","0"
"19",91500,"603","16","0","587","0"
"19",91600,"23","0","0","23","0"
"19",91900,"184","3","0","181","0"
"19",999999,"","","","",""
"20",10100,"1662","167","0","1495","0"
"20",10200,"75","7","0","68","0"
