entidad,mater_ja,prosoltt,prosol1,prosol2,prosol4,prosol5,prosol7,prosol8,prosol10,prosol11,prosolst,no_aplic
"21",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"21",7,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"21",8,"41","0","0","41","0","0","0","","","",""
"22",1,"5064","0","0","5031","0","33","0","","","",""
"22",2,"0","0","0","0","0","0","0","","","",""
"22",3,"2308","0","0","2303","0","5","0","","","",""
"22",4,"412","0","0","412","0","0","0","","","",""
"22",5,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"22",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"22",7,"0","0","0","0","0","0","0","","","",""
"22",8,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"23",1,"1618","NSS","0","NSS","0","NSS","0","1618","","1618",""
"23",2,"7","0","0","7","0","0","0","","","",""
"23",3,"2522","NSS","0","NSS","0","NSS","0","2522","","2522",""
"23",4,"147","59","0","NSS","0","NSS","0","88","","88",""
"23",5,"16","0","0","0","0","16","0","","","",""
"23",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"23",7,"0","0","0","0","0","0","0","","","",""
"23",8,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"24",1,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"24",2,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"24",3,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"24",4,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"24",5,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"24",6,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"24",7,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"24",8,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"25",1,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"25",2,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"25",3,"178","0","0","62","16","40","60","","","",""
"25",4,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"25",5,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"25",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"25",7,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"25",8,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"26",1,"782","0","0","397","2","382","1","","","",""
"26",2,"1434","0","0","71","1","1360","2","","","",""
"26",3,"4304","0","0","292","5","3991","16","","","",""
"26",4,"957","0","0","22","8","923","4","","","",""
"26",5,"0","0","0","0","0","0","0","","","",""
"26",6,"0","0","0","0","0","0","0","","","",""
"26",7,"0","0","0","0","0","0","0","","","",""
"26",8,"0","0","0","0","0","0","0","","","",""
"27",1,"NSS","0","0","NSS","0","0","0","","","",""
"27",2,"NSS","0","0","NSS","0","0","0","","","",""
"27",3,"NSS","0","0","NSS","0","0","0","","","",""
"27",4,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"27",5,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"27",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"27",7,"1102","0","0","1102","0","0","0","","","",""
"27",8,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"28",1,"385","NSS","NSS","NSS","NSS","NSS","NSS","230","155","385",""
"28",2,"401","NSS","NSS","NSS","NSS","NSS","NSS","163","238","401",""
"28",3,"1610","NSS","NSS","NSS","NSS","NSS","NSS","1313","297","1610",""
"28",4,"179","NSS","NSS","NSS","NSS","NSS","NSS","159","20","179",""
"28",5,"6","NSS","NSS","NSS","NSS","NSS","NSS","5","1","6",""
"28",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"28",7,"0","0","0","0","0","0","0","","","",""
"28",8,"835","NSS","NSS","NSS","NSS","NSS","NSS","531","304","835",""
"29",1,"69","0","0","65","0","4","0","","","",""
"29",2,"202","0","0","199","0","3","0","","","",""
"29",3,"109","0","0","109","0","0","0","","","",""
"29",4,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"29",5,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"29",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"29",7,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"29",8,"11","0","0","11","0","0","0","","","",""
"30",1,"2513","30","0","2451","0","32","0","","","",""
"30",2,"628","1","0","626","0","1","0","","","",""
"30",3,"3343","17","0","3298","0","28","0","","","",""
"30",4,"64","0","0","34","0","30","0","","","",""
"30",5,"14","1","0","5","0","8","0","","","",""
"30",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"30",7,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"30",8,"775","13","0","762","0","0","0","","","",""
"31",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","","","",""
"31",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","","","",""
"31",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","","","",""
"31",4,"358","NSS","NSS","NSS","NSS","NSS","NSS","143","215","358",""
"31",5,"329","NSS","NSS","NSS","NSS","NSS","NSS","21","308","329",""
"31",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"31",7,"4725","NSS","NSS","NSS","NSS","NSS","NSS","2560","2165","4725",""
"31",8,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"32",1,"924","0","0","924","0","0","0","","","",""
"32",2,"273","0","0","273","0","0","0","","","",""
"32",3,"1678","0","0","1678","0","0","0","","","",""
"32",4,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"32",5,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"32",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"32",7,"0","0","0","0","0","0","0","","","",""
"32",8,"NA","NA","NA","NA","NA","NA","NA","","","","1"
