entidad,ocupacio,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"31",5,"52","NA","NA","39","13"
"31",6,"521","NA","NA","509","12"
"31",7,"84","NA","NA","67","17"
"31",8,"112","NA","NA","103","9"
"31",9,"36","NA","NA","36","NSS"
"31",10,"6128","NA","NA","190","5938"
"31",11,"22853","NA","NA","17687","5166"
"32",1,"611","14","3","370","224"
"32",2,"1583","25","11","942","605"
"32",3,"133","2","4","43","84"
"32",4,"5500","67","29","3401","2003"
"32",5,"50","0","0","45","5"
"32",6,"2015","93","4","1863","55"
"32",7,"142","2","1","103","36"
"32",8,"274","7","0","263","4"
"32",9,"785","32","0","691","62"
"32",10,"754","26","10","503","215"
"32",11,"5334","44","114","1767","3409"
