entidad,proc_del,stpsnitt,stpsni1,stpsni2,stpsni3,stpsni4,stpsni5,stpsni6,stpsni7,stpsni8
"26",2,"456","354","46","0","0","48","8","0","0"
"26",3,"218","185","18","0","0","14","0","1","0"
"26",4,"16","11","1","0","0","4","0","0","0"
"26",5,"6","1","0","0","0","3","0","2","0"
"26",6,"1","1","0","0","0","0","0","0","0"
"26",9,"2","1","1","","","","","",""
"27",1,"3053","1069","116","121","1","1155","591","0","0"
"27",2,"184","70","8","2","0","75","29","0","0"
"27",3,"23","6","1","1","0","7","8","0","0"
"27",4,"6","0","0","0","0","4","2","0","0"
"27",5,"0","0","0","0","0","0","0","0","0"
"27",6,"0","0","0","0","0","0","0","0","0"
"27",9,"","","","","","","","",""
"28",1,"2272","1345","239","38","6","552","92","0","0"
"28",2,"417","242","42","3","2","108","20","0","0"
"28",3,"84","57","4","2","0","18","3","0","0"
"28",4,"22","17","3","0","0","2","0","0","0"
"28",5,"13","12","1","0","0","0","0","0","0"
"28",6,"0","0","0","0","0","0","0","0","0"
"28",9,"","","","","","","","",""
"29",1,"1213","618","112","308","1","131","18","25","0"
"29",2,"67","30","8","18","0","10","NSS","1","0"
"29",3,"6","3","0","1","0","2","NSS","0","0"
"29",4,"0","0","0","0","0","0","0","0","0"
"29",5,"0","0","0","0","0","0","0","0","0"
"29",6,"0","0","0","0","0","0","0","0","0"
"29",9,"1","","","","","","1","",""
"30",1,"3568","1715","339","108","1","1190","166","48","1"
"30",2,"405","211","39","8","0","123","21","3","0"
"30",3,"51","26","3","0","0","11","8","3","0"
"30",4,"9","0","0","0","0","7","2","0","0"
"30",5,"0","0","0","0","0","0","0","0","0"
"30",6,"0","0","0","0","0","0","0","0","0"
"30",9,"9","","","","","8","1","",""
"31",1,"995","282","50","2","0","594","66","1","0"
"31",2,"119","31","7","3","0","69","9","0","0"
"31",3,"26","9","1","0","0","15","1","0","0"
"31",4,"6","6","0","0","0","0","0","0","0"
"31",5,"1","0","0","0","0","1","0","0","0"
"31",6,"0","0","0","0","0","0","0","0","0"
"31",9,"","","","","","","","",""
"32",1,"2056","581","196","14","0","1069","170","26","0"
"32",2,"428","150","66","3","0","176","31","2","0"
"32",3,"151","78","30","0","0","42","1","0","0"
"32",4,"63","47","14","0","0","2","0","0","0"
"32",5,"31","17","12","1","0","1","0","0","0"
"32",6,"97","75","22","0","0","0","0","0","0"
"32",9,"","","","","","","","",""
