entidad,fam_ling,stpjsxtt,stpjsx1,stpjsx2,stpjsx4,stpjsx5
"24",5,"NSS","NSS","NSS","NSS","NSS"
"24",6,"NSS","NSS","NSS","NSS","NSS"
"24",7,"NSS","NSS","NSS","NSS","NSS"
"24",8,"NSS","NSS","NSS","NSS","NSS"
"24",9,"NSS","NSS","NSS","NSS","NSS"
"24",10,"NSS","NSS","NSS","NSS","NSS"
"24",11,"NSS","NSS","NSS","NSS","NSS"
"24",12,"NSS","NSS","NSS","NSS","NSS"
"24",13,"NSS","NSS","NSS","NSS","NSS"
"24",14,"27","22","5","NSS","NSS"
"24",15,"549","95","8","421","25"
"25",1,"NSS","NSS","NSS","NSS","NSS"
"25",2,"NSS","NSS","NSS","NSS","NSS"
"25",3,"NSS","NSS","NSS","NSS","NSS"
"25",4,"NSS","NSS","NSS","NSS","NSS"
"25",5,"NSS","NSS","NSS","NSS","NSS"
"25",6,"NSS","NSS","NSS","NSS","NSS"
"25",7,"NSS","NSS","NSS","NSS","NSS"
"25",8,"NSS","NSS","NSS","NSS","NSS"
"25",9,"NSS","NSS","NSS","NSS","NSS"
"25",10,"NSS","NSS","NSS","NSS","NSS"
"25",11,"NSS","NSS","NSS","NSS","NSS"
"25",12,"NSS","NSS","NSS","NSS","NSS"
"25",13,"NSS","NSS","NSS","NSS","NSS"
"25",14,"NSS","NSS","NSS","NSS","NSS"
"25",15,"1033","NSS","NSS","961","72"
"26",1,"2771","1902","88","736","45"
"26",2,"NSS","0","NSS","0","0"
"26",3,"NSS","0","NSS","0","0"
"26",4,"NSS","0","NSS","0","0"
"26",5,"NSS","0","NSS","0","0"
"26",6,"NSS","0","NSS","0","0"
"26",7,"NSS","0","NSS","0","0"
"26",8,"NSS","0","NSS","0","0"
"26",9,"NSS","0","NSS","0","0"
"26",10,"2","1","NSS","1","0"
"26",11,"NSS","0","NSS","0","0"
"26",12,"NSS","0","NSS","0","0"
"26",13,"1","1","NSS","0","0"
"26",14,"4","3","NSS","0","1"
"26",15,"3884","3244","467","158","15"
"27",1,"867","788","79","NSS","NSS"
"27",2,"NSS","0","NSS","NSS","NSS"
"27",3,"NSS","0","NSS","NSS","NSS"
"27",4,"NSS","0","NSS","NSS","NSS"
"27",5,"NSS","0","NSS","NSS","NSS"
"27",6,"NSS","0","NSS","NSS","NSS"
"27",7,"NSS","0","NSS","NSS","NSS"
"27",8,"NSS","0","NSS","NSS","NSS"
"27",9,"1","1","NSS","NSS","NSS"
"27",10,"NSS","0","NSS","NSS","NSS"
"27",11,"NSS","0","NSS","NSS","NSS"
"27",12,"NSS","0","NSS","NSS","NSS"
"27",13,"NSS","0","NSS","NSS","NSS"
"27",14,"2","2","NSS","NSS","NSS"
"27",15,"2271","354","46","1241","630"
"28",1,"608","571","35","2","0"
"28",2,"NSS","NSS","NSS","0","0"
"28",3,"5","NSS","NSS","5","0"
"28",4,"6","NSS","NSS","6","0"
"28",5,"30","NSS","NSS","26","4"
"28",6,"17","NSS","NSS","13","4"
"28",7,"1","NSS","NSS","1","0"
"28",8,"NSS","NSS","NSS","0","0"
"28",9,"NSS","NSS","NSS","0","0"
"28",10,"NSS","NSS","NSS","0","0"
"28",11,"NSS","NSS","NSS","0","0"
"28",12,"NSS","NSS","NSS","0","0"
"28",13,"NSS","NSS","NSS","0","0"
"28",14,"NSS","NSS","NSS","0","0"
"28",15,"2090","1102","254","627","107"
"29",1,"571","375","54","127","15"
"29",2,"NSS","NSS","NSS","NSS","NSS"
"29",3,"NSS","NSS","NSS","NSS","NSS"
"29",4,"NSS","NSS","NSS","NSS","NSS"
"29",5,"NSS","NSS","NSS","NSS","NSS"
"29",6,"NSS","NSS","NSS","NSS","NSS"
"29",7,"NSS","NSS","NSS","NSS","NSS"
"29",8,"NSS","NSS","NSS","NSS","NSS"
"29",9,"NSS","NSS","NSS","NSS","NSS"
"29",10,"NSS","NSS","NSS","NSS","NSS"
"29",11,"NSS","NSS","NSS","NSS","NSS"
"29",12,"NSS","NSS","NSS","NSS","NSS"
"29",13,"NSS","NSS","NSS","NSS","NSS"
"29",14,"NSS","NSS","NSS","NSS","NSS"
"29",15,"362","276","66","16","4"
"30",1,"2279","1370","258","574","77"
"30",2,"NSS","0","NSS","0","NSS"
"30",3,"NSS","0","NSS","0","NSS"
"30",4,"NSS","0","NSS","0","NSS"
"30",5,"NSS","0","NSS","0","NSS"
"30",6,"NSS","0","NSS","0","NSS"
"30",7,"NSS","0","NSS","0","NSS"
"30",8,"1","0","NSS","1","NSS"
"30",9,"NSS","0","NSS","0","NSS"
"30",10,"NSS","0","NSS","0","NSS"
"30",11,"NSS","0","NSS","0","NSS"
"30",12,"NSS","0","NSS","0","NSS"
"30",13,"NSS","0","NSS","0","NSS"
"30",14,"20","5","NSS","15","NSS"
"30",15,"1570","577","123","749","121"
"31",1,"886","225","38","558","65"
"31",2,"NSS","0","NSS","0","0"
"31",3,"NSS","0","NSS","0","0"
"31",4,"NSS","0","NSS","0","0"
"31",5,"NSS","0","NSS","0","0"
"31",6,"NSS","0","NSS","0","0"
"31",7,"NSS","0","NSS","0","0"
"31",8,"NSS","0","NSS","0","0"
"31",9,"NSS","0","NSS","0","0"
"31",10,"23","1","NSS","20","2"
"31",11,"NSS","0","NSS","0","0"
"31",12,"NSS","0","NSS","0","0"
"31",13,"NSS","0","NSS","0","0"
"31",14,"NSS","0","NSS","0","0"
"31",15,"232","102","20","101","9"
"32",1,"886","NSS","NSS","771","115"
"32",2,"NSS","NSS","NSS","0","NSS"
"32",3,"NSS","NSS","NSS","0","NSS"
"32",4,"NSS","NSS","NSS","0","NSS"
"32",5,"NSS","NSS","NSS","0","NSS"
"32",6,"NSS","NSS","NSS","0","NSS"
"32",7,"NSS","NSS","NSS","0","NSS"
"32",8,"NSS","NSS","NSS","0","NSS"
"32",9,"NSS","NSS","NSS","0","NSS"
"32",10,"NSS","NSS","NSS","0","NSS"
"32",11,"NSS","NSS","NSS","0","NSS"
"32",12,"NSS","NSS","NSS","0","NSS"
"32",13,"NSS","NSS","NSS","0","NSS"
"32",14,"5","NSS","NSS","5","NSS"
"32",15,"1889","948","340","514","87"
