entidad,ocupacio,stpsextt,stpsex1,stpsex2,stpsex4,stpsex5
"29",9,"73","42","13","6","12"
"29",10,"174","63","104","2","5"
"29",11,"533","292","187","27","27"
"30",1,"14","4","0","5","5"
"30",2,"138","61","62","8","7"
"30",3,"25","10","10","3","2"
"30",4,"221","92","85","23","21"
"30",5,"23","11","5","6","1"
"30",6,"136","112","6","18","0"
"30",7,"14","11","2","0","1"
"30",8,"18","10","2","6","0"
"30",9,"259","84","156","15","4"
"30",10,"481","132","304","8","37"
"30",11,"1806","411","455","424","516"
"31",1,"6","1","0","5","0"
"31",2,"61","12","12","30","7"
"31",3,"7","1","2","2","2"
"31",4,"77","24","28","16","9"
"31",5,"7","0","1","5","1"
"31",6,"4","2","0","2","0"
"31",7,"15","3","11","0","1"
"31",8,"2","1","0","1","0"
"31",9,"52","6","15","17","14"
"31",10,"108","12","59","16","21"
"31",11,"512","68","93","182","169"
"32",1,"24","1","0","13","10"
"32",2,"152","49","17","62","24"
"32",3,"26","4","2","6","14"
"32",4,"207","58","22","85","42"
"32",5,"19","0","0","14","5"
"32",6,"276","167","5","101","3"
"32",7,"8","0","0","6","2"
"32",8,"37","23","0","14","0"
"32",9,"426","180","101","92","53"
"32",10,"398","25","134","83","156"
"32",11,"1184","418","156","301","309"
