entidad,proc_con,seonidtt,seonid1,seonid2,seonid3,seonid4,seonid5,seonid6
"08",6,"NSS","0","0","0","NSS","NSS","0"
"08",9,"835","","","","747","88",""
"09",1,"723","508","41","0","152","22","0"
"09",2,"15","5","0","0","10","0","0"
"09",3,"3","3","0","0","0","0","0"
"09",4,"0","0","0","0","0","0","0"
"09",5,"0","0","0","0","0","0","0"
"09",6,"0","0","0","0","0","0","0"
"09",9,"","","","","","",""
"10",1,"172","0","NSS","NSS","152","15","5"
"10",2,"12","0","NSS","NSS","12","0","0"
"10",3,"1","1","NSS","NSS","0","0","0"
"10",4,"NSS","0","NSS","NSS","0","0","0"
"10",5,"NSS","0","NSS","NSS","0","0","0"
"10",6,"NSS","0","NSS","NSS","0","0","0"
"10",9,"1","","","1","","",""
"12",1,"76","0","0","0","70","6","0"
"12",2,"17","0","0","0","17","0","0"
"12",3,"7","0","0","0","7","0","0"
"12",4,"2","0","0","0","2","0","0"
"12",5,"0","0","0","0","0","0","0"
"12",6,"0","0","0","0","0","0","0"
"12",9,"","","","","","",""
"13",1,"91","81","5","0","5","0","0"
"13",2,"9","6","0","0","3","0","0"
"13",3,"0","0","0","0","0","0","0"
"13",4,"0","0","0","0","0","0","0"
"13",5,"0","0","0","0","0","0","0"
"13",6,"0","0","0","0","0","0","0"
"13",9,"","","","","","",""
"14",1,"188","170","17","1","0","0","0"
"14",2,"16","14","2","0","0","0","0"
"14",3,"1","1","0","0","0","0","0"
"14",4,"0","0","0","0","0","0","0"
"14",5,"0","0","0","0","0","0","0"
"14",6,"0","0","0","0","0","0","0"
"14",9,"","","","","","",""
"15",1,"NSS","NSS","NSS","0","NSS","NSS","0"
"15",2,"NSS","NSS","NSS","0","NSS","NSS","0"
"15",3,"NSS","NSS","NSS","0","NSS","NSS","0"
"15",4,"NSS","NSS","NSS","0","NSS","NSS","0"
"15",5,"NSS","NSS","NSS","0","NSS","NSS","0"
"15",6,"NSS","NSS","NSS","0","NSS","NSS","0"
"15",9,"498","382","27","","81","8",""
"16",1,"64","63","1","0","NSS","NSS","NSS"
"16",2,"2","2","0","0","NSS","NSS","NSS"
"16",3,"NSS","0","0","0","NSS","NSS","NSS"
"16",4,"NSS","0","0","0","NSS","NSS","NSS"
"16",5,"NSS","0","0","0","NSS","NSS","NSS"
"16",6,"NSS","0","0","0","NSS","NSS","NSS"
"16",9,"17","","","","12","1","4"
"17",1,"168","0","0","0","153","13","2"
"17",2,"15","0","0","0","14","1","0"
"17",3,"1","0","0","0","1","0","0"
"17",4,"0","0","0","0","0","0","0"
"17",5,"0","0","0","0","0","0","0"
"17",6,"0","0","0","0","0","0","0"
"17",9,"","","","","","",""
"18",1,"195","172","23","0","0","0","0"
"18",2,"11","11","0","0","0","0","0"
"18",3,"2","2","0","0","0","0","0"
"18",4,"0","0","0","0","0","0","0"
"18",5,"0","0","0","0","0","0","0"
"18",6,"0","0","0","0","0","0","0"
"18",9,"","","","","","",""
"19",1,"645","0","0","0","535","101","9"
"19",2,"38","0","0","0","35","3","0"
"19",3,"6","0","0","0","5","0","1"
"19",4,"0","0","0","0","0","0","0"
"19",5,"0","0","0","0","0","0","0"
"19",6,"0","0","0","0","0","0","0"
"19",9,"47","","","","30","8","9"
"20",1,"81","0","0","0","72","9","0"
"20",2,"4","0","0","0","3","1","0"
"20",3,"0","0","0","0","0","0","0"
"20",4,"0","0","0","0","0","0","0"
"20",5,"0","0","0","0","0","0","0"
"20",6,"0","0","0","0","0","0","0"
"20",9,"","","","","","",""
"21",1,"135","128","7","0","NSS","NSS","NSS"
"21",2,"18","18","0","0","NSS","NSS","NSS"
"21",3,"4","4","0","0","NSS","NSS","NSS"
"21",4,"2","2","0","0","NSS","NSS","NSS"
"21",5,"NSS","0","0","0","NSS","NSS","NSS"
"21",6,"NSS","0","0","0","NSS","NSS","NSS"
"21",9,"","","","","","",""
"22",1,"123","0","0","0","112","11","0"
"22",2,"11","0","0","0","11","0","0"
"22",3,"4","0","0","0","2","2","0"
"22",4,"0","0","0","0","0","0","0"
"22",5,"2","0","0","0","2","0","0"
"22",6,"0","0","0","0","0","0","0"
"22",9,"","","","","","",""
"23",1,"25","0","0","0","22","3","0"
"23",2,"1","0","0","0","1","0","0"
"23",3,"0","0","0","0","0","0","0"
"23",4,"0","0","0","0","0","0","0"
"23",5,"0","0","0","0","0","0","0"
"23",6,"0","0","0","0","0","0","0"
"23",9,"","","","","","",""
"24",1,"7","4","NSS","NSS","3","0","0"
"24",2,"NSS","0","NSS","NSS","0","0","0"
"24",3,"NSS","0","NSS","NSS","0","0","0"
"24",4,"NSS","0","NSS","NSS","0","0","0"
"24",5,"NSS","0","NSS","NSS","0","0","0"
"24",6,"NSS","0","NSS","NSS","0","0","0"
