entidad,rangedad,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"29",4,"NSS","NSS","NSS","NSS","NSS"
"29",5,"NSS","NSS","NSS","NSS","NSS"
"29",6,"NSS","NSS","NSS","NSS","NSS"
"29",7,"NSS","NSS","NSS","NSS","NSS"
"29",8,"NSS","NSS","NSS","NSS","NSS"
"29",9,"NSS","NSS","NSS","NSS","NSS"
"29",10,"1227","646","115","415","51"
"30",1,"2469","307","40","1822","300"
"30",2,"2261","278","36","1644","303"
"30",3,"2149","302","35","1535","277"
"30",4,"1907","238","45","1389","235"
"30",5,"1490","209","33","1055","193"
"30",6,"1044","125","20","726","173"
"30",7,"735","86","18","520","111"
"30",8,"446","65","10","321","50"
"30",9,"581","67","7","426","81"
"30",10,"21745","3808","793","14084","3060"
"31",1,"3412","NA","NA","3307","105"
"31",2,"1383","NA","NA","1325","58"
"31",3,"3182","NA","NA","3057","125"
"31",4,"1285","NA","NA","1208","77"
"31",5,"1573","NA","NA","1495","78"
"31",6,"1342","NA","NA","1300","42"
"31",7,"902","NA","NA","875","27"
"31",8,"299","NA","NA","295","4"
"31",9,"397","NA","NA","374","23"
"31",10,"8142","NA","NA","7930","212"
"32",1,"1208","23","1","1038","146"
"32",2,"1117","27","3","874","213"
"32",3,"1287","37","10","991","249"
"32",4,"1110","42","12","858","198"
"32",5,"981","50","7","756","168"
"32",6,"667","47","7","501","112"
"32",7,"420","30","5","318","67"
"32",8,"266","25","7","184","50"
"32",9,"303","29","5","224","45"
"32",10,"141","1","0","117","23"
