entidad,vict_del,stpvnitt,stpvni1,stpvni2,stpvni3,stpvni4,stpvni5,stpvni6,stpvni7,stpvni8,stpvni9,stpvni10,stpvni11,stpvni12,stpvni13,stpvni14,stpvni15,stpvni16,stpvni17,stpvni18
"15",3,"64","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","27","27","2","1","1","6","0","0","0"
"15",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","0","0","0","0","0","0","0"
"15",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","0","0","0","0","0","0","0"
"15",6,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","0","0","0","0","0","0","0"
"15",9,"65","","","","","","","","","","37","28","","","","","","",""
"16",1,"1677","134","98","6","17","6","0","0","0","2","797","378","3","111","118","7","0","0","0"
"16",2,"222","24","5","3","6","3","0","0","0","0","100","39","1","10","30","1","0","0","0"
"16",3,"24","11","2","1","0","1","0","0","0","0","5","0","0","2","2","0","0","0","0"
"16",4,"5","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"16",5,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16",6,"10","8","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16",9,"58","26","26","","3","3","","","","","","","","","","","","",""
"17",1,"738","0","0","0","0","0","0","0","0","0","203","309","17","174","23","0","0","0","12"
"17",2,"89","0","0","0","0","0","0","0","0","0","31","49","NSS","3","2","0","0","0","4"
"17",3,"15","0","0","0","0","0","0","0","0","0","8","7","NSS","0","0","0","0","0","0"
"17",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17",9,"65","","","","","","","","","","28","34","1","2","","","","",""
"18",1,"3382","1016","770","3","116","127","7","0","0","22","340","557","170","30","208","1","0","0","15"
"18",2,"415","120","118","42","9","11","1","0","0","0","37","39","25","2","11","0","0","0","0"
"18",3,"107","17","25","0","4","2","0","0","0","0","12","13","24","0","10","0","0","0","0"
"18",4,"21","9","3","0","2","2","1","0","0","0","1","2","1","0","0","0","0","0","0"
"18",5,"6","3","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"18",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18",9,"","","","","","","","","","","","","","","","","","",""
"19",1,"724","1","2","12","1","0","0","0","0","6","297","361","13","16","2","0","0","0","13"
"19",2,"124","0","1","1","0","0","0","0","0","NSS","39","80","3","0","0","0","0","0","NSS"
"19",3,"13","0","0","1","0","0","0","0","0","NSS","4","8","0","0","0","0","0","0","NSS"
"19",4,"3","0","0","0","0","0","0","0","0","NSS","1","1","1","0","0","0","0","0","NSS"
"19",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19",9,"9786","","","","","","","","","1268","285","251","","","","","","","7982"
