entidad,mater_ja,tietaptt,tietap1,tietap2,tietap3,tietap4,tietapne,no_aplic
"28",8,"NSS","NSS","NSS","NSS","NSS","",""
"29",1,"8","0","0","8","0","",""
"29",2,"8","0","0","8","0","",""
"29",3,"10","0","0","10","0","",""
"29",4,"NA","NA","NA","NA","NA","","1"
"29",5,"NA","NA","NA","NA","NA","","1"
"29",6,"NA","NA","NA","NA","NA","","1"
"29",7,"NA","NA","NA","NA","NA","","1"
"29",8,"5","0","0","5","0","",""
"30",1,"303","0","155","0","148","",""
"30",2,"127","0","59","0","68","",""
"30",3,"338","0","188","0","150","",""
"30",4,"4","0","1","0","3","",""
"30",5,"0","0","0","0","0","",""
"30",6,"NA","NA","NA","NA","NA","","1"
"30",7,"NA","NA","NA","NA","NA","","1"
"30",8,"215","0","128","0","87","",""
"31",1,"NSS","0","0","0","NSS","",""
"31",2,"NSS","0","0","0","NSS","",""
"31",3,"NSS","0","0","0","NSS","",""
"31",4,"4","0","0","0","4","",""
"31",5,"11","0","0","0","11","",""
"31",6,"NA","NA","NA","NA","NA","","1"
"31",7,"17","0","0","0","17","",""
"31",8,"NA","NA","NA","NA","NA","","1"
"32",1,"65","NSS","NSS","NSS","NSS","65",""
"32",2,"15","NSS","NSS","NSS","NSS","15",""
"32",3,"85","NSS","NSS","NSS","NSS","85",""
"32",4,"NA","NA","NA","NA","NA","","1"
"32",5,"NA","NA","NA","NA","NA","","1"
"32",6,"NA","NA","NA","NA","NA","","1"
"32",7,"0","0","0","0","0","",""
"32",8,"NA","NA","NA","NA","NA","","1"
