entidad,mater_ja,mecalttt,mecalt1,mecalt2,mecalt3,mecalt4,mecalt5
"23",2,"7","NSS","NSS","NSS","NSS","7"
"23",3,"2522","NSS","NSS","NSS","NSS","2522"
"23",4,"147","NSS","NSS","NSS","NSS","147"
"23",5,"16","NSS","NSS","NSS","NSS","16"
"23",6,"NA","NA","NA","NA","NA","NA"
"23",7,"0","0","0","0","0","0"
"23",8,"NA","NA","NA","NA","NA","NA"
"23",9,"","","","","",""
"24",1,"NA","NA","NA","NA","NA","NA"
"24",2,"NA","NA","NA","NA","NA","NA"
"24",3,"NA","NA","NA","NA","NA","NA"
"24",4,"NA","NA","NA","NA","NA","NA"
"24",5,"NA","NA","NA","NA","NA","NA"
"24",6,"NA","NA","NA","NA","NA","NA"
"24",7,"NA","NA","NA","NA","NA","NA"
"24",8,"NA","NA","NA","NA","NA","NA"
"24",9,"NA","NA","NA","NA","NA","NA"
"25",1,"NA","NA","NA","NA","NA","NA"
"25",2,"NA","NA","NA","NA","NA","NA"
"25",3,"102","102","0","0","0","0"
"25",4,"NA","NA","NA","NA","NA","NA"
"25",5,"NA","NA","NA","NA","NA","NA"
"25",6,"NA","NA","NA","NA","NA","NA"
"25",7,"NA","NA","NA","NA","NA","NA"
"25",8,"NA","NA","NA","NA","NA","NA"
"25",9,"","","","","",""
"26",1,"779","233","3","0","543","0"
"26",2,"1431","503","0","0","928","0"
"26",3,"4283","1807","73","1","2311","91"
"26",4,"945","745","0","1","169","30"
"26",5,"0","0","0","0","0","0"
"26",6,"0","0","0","0","0","0"
"26",7,"0","0","0","0","0","0"
"26",8,"0","0","0","0","0","0"
"26",9,"","","","","",""
"27",1,"NSS","NSS","NSS","0","0","NSS"
"27",2,"NSS","NSS","NSS","0","0","NSS"
"27",3,"NSS","NSS","NSS","0","0","NSS"
"27",4,"NA","NA","NA","NA","NA","NA"
"27",5,"NA","NA","NA","NA","NA","NA"
"27",6,"NA","NA","NA","NA","NA","NA"
"27",7,"1102","NSS","NSS","0","0","1102"
"27",8,"NA","NA","NA","NA","NA","NA"
"27",9,"","","","","",""
"28",1,"230","NSS","NSS","NSS","NSS","230"
"28",2,"163","NSS","NSS","NSS","NSS","163"
"28",3,"1313","NSS","NSS","NSS","NSS","1313"
"28",4,"159","NSS","NSS","NSS","NSS","159"
"28",5,"5","NSS","NSS","NSS","NSS","5"
"28",6,"NA","NA","NA","NA","NA","NA"
"28",7,"0","0","0","0","0","0"
"28",8,"531","NSS","NSS","NSS","NSS","531"
"28",9,"","","","","",""
"29",1,"69","69","0","0","0","0"
"29",2,"202","202","0","0","0","0"
"29",3,"109","109","0","0","0","0"
"29",4,"NA","NA","NA","NA","NA","NA"
"29",5,"NA","NA","NA","NA","NA","NA"
"29",6,"NA","NA","NA","NA","NA","NA"
"29",7,"NA","NA","NA","NA","NA","NA"
"29",8,"11","11","0","0","0","0"
"29",9,"","","","","",""
"30",1,"2513","2513","0","0","0","0"
"30",2,"628","628","0","0","0","0"
"30",3,"3343","3343","0","0","0","0"
"30",4,"64","64","0","0","0","0"
"30",5,"14","14","0","0","0","0"
"30",6,"NA","NA","NA","NA","NA","NA"
"30",7,"NA","NA","NA","NA","NA","NA"
"30",8,"775","775","0","0","0","0"
"30",9,"","","","","",""
"31",1,"NSS","NSS","0","0","0","0"
