entidad,tipomate,sexodptt,sexodp1,sexodp2,sexodpna,sexoajtt,sexoaj1,sexoaj2,sexoajna
"22",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"22",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"22",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"22",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"22",99,"","","","","","","",""
"23",1,"NSS","NSS","NSS","","NSS","NSS","NSS",""
"23",2,"NSS","NSS","NSS","","NSS","NSS","NSS",""
"23",3,"NSS","NSS","NSS","","NSS","NSS","NSS",""
"23",4,"NSS","NSS","NSS","","NSS","NSS","NSS",""
"23",5,"NSS","NSS","NSS","","NSS","NSS","NSS",""
"23",6,"NSS","NSS","NSS","","NSS","NSS","NSS",""
"23",7,"NSS","NSS","NSS","","NSS","NSS","NSS",""
"23",8,"NSS","NSS","NSS","","NSS","NSS","NSS",""
"23",9,"NSS","NSS","NSS","","NSS","NSS","NSS",""
"23",10,"NSS","NSS","NSS","","NSS","NSS","NSS",""
"23",99,"42","22","20","","10","2","8",""
"24",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"24",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"24",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"24",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"24",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"24",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"24",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"24",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"24",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"24",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"24",99,"","","","","","","",""
"25",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"25",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"25",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"25",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"25",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"25",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"25",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"25",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"25",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"25",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"25",99,"","","","","","","",""
"26",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"26",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"26",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"26",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"26",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"26",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"26",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"26",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"26",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"26",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"26",99,"","","","","","","",""
"27",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"27",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"27",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"27",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"27",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"27",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"27",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"27",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"27",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"27",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"27",99,"","","","","","","",""
"28",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"28",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"28",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"28",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"28",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"28",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"28",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"28",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"28",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"28",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"28",99,"","","","","","","",""
"29",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"29",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"29",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"29",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"29",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"29",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"29",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"29",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"29",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"29",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"29",99,"","","","","","","",""
"30",1,"NA","NA","NA","1","NA","NA","NA","1"
"30",2,"NA","NA","NA","1","NA","NA","NA","1"
"30",3,"NA","NA","NA","1","NA","NA","NA","1"
"30",4,"30","13","17","","NA","NA","NA","1"
"30",5,"4","2","2","","NA","NA","NA","1"
"30",6,"NA","NA","NA","1","NA","NA","NA","1"
"30",7,"NA","NA","NA","1","NA","NA","NA","1"
"30",8,"NA","NA","NA","1","NA","NA","NA","1"
"30",9,"14","10","4","","NA","NA","NA","1"
"30",10,"NA","NA","NA","1","NA","NA","NA","1"
"30",99,"","","","","","","",""
"31",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"31",2,"NA","NA","NA","NA","NA","NA","NA","NA"
