entidad,gdo_estu,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"30",4,"1101","244","47","719","91"
"30",5,"54","8","2","38","6"
"30",6,"510","59","21","365","65"
"30",7,"13","0","0","10","3"
"30",8,"0","0","0","0","0"
"30",9,"30105","4336","864","20534","4371"
"31",1,"NSS","NA","NA","NSS","NSS"
"31",2,"NSS","NA","NA","NSS","NSS"
"31",3,"NSS","NA","NA","NSS","NSS"
"31",4,"NSS","NA","NA","NSS","NSS"
"31",5,"NSS","NA","NA","NSS","NSS"
"31",6,"NSS","NA","NA","NSS","NSS"
"31",7,"NSS","NA","NA","NSS","NSS"
"31",8,"NSS","NA","NA","NSS","NSS"
"31",9,"21917","NA","NA","21166","751"
"32",1,"154","6","0","120","28"
"32",2,"1492","89","21","1170","212"
"32",3,"1790","72","15","1433","270"
"32",4,"772","44","7","569","152"
"32",5,"74","2","1","52","19"
"32",6,"646","39","7","466","134"
"32",7,"30","0","0","21","9"
"32",8,"11","0","0","6","5"
"32",9,"2531","59","6","2024","442"
