entidad,tipomult,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"04",8,"0","0","0","","0","0",""
"04",9,"0","0","0","","0","0",""
"04",10,"0","0","0","","0","0",""
"04",11,"0","0","0","","0","0",""
"04",99,"673","4","","639","8","","22"
"05",1,"132","114","7","","11","NSS",""
"05",2,"11","8","1","","2","NSS",""
"05",3,"7","6","0","","1","NSS",""
"05",4,"5","5","0","","0","NSS",""
"05",5,"NSS","0","0","","0","NSS",""
"05",6,"NSS","0","0","","0","NSS",""
"05",7,"NSS","0","0","","0","NSS",""
"05",8,"NSS","0","0","","0","NSS",""
"05",9,"NSS","0","0","","0","NSS",""
"05",10,"NSS","0","0","","0","NSS",""
"05",11,"5","4","1","","0","NSS",""
"05",99,"18","4","","1","11","2",""
"06",1,"4","3","1","","0","0",""
"06",2,"2","2","0","","0","0",""
"06",3,"0","0","0","","0","0",""
"06",4,"0","0","0","","0","0",""
"06",5,"0","0","0","","0","0",""
"06",6,"0","0","0","","0","0",""
"06",7,"0","0","0","","0","0",""
"06",8,"0","0","0","","0","0",""
"06",9,"0","0","0","","0","0",""
"06",10,"0","0","0","","0","0",""
"06",11,"0","0","0","","0","0",""
"06",99,"3","3","","","","",""
"07",1,"130","101","10","","18","1",""
"07",2,"15","12","2","","1","0",""
"07",3,"6","3","0","","2","1",""
"07",4,"1","1","0","","0","0",""
"07",5,"1","1","0","","0","0",""
"07",6,"0","0","0","","0","0",""
"07",7,"1","1","0","","0","0",""
"07",8,"0","0","0","","0","0",""
"07",9,"0","0","0","","0","0",""
"07",10,"0","0","0","","0","0",""
"07",11,"8","8","0","","0","0",""
"07",99,"119","63","2","16","35","2","1"
"08",1,"NSS","NSS","NSS","","NSS","NSS",""
"08",2,"NSS","NSS","NSS","","NSS","NSS",""
"08",3,"NSS","NSS","NSS","","NSS","NSS",""
"08",4,"NSS","NSS","NSS","","NSS","NSS",""
"08",5,"NSS","NSS","NSS","","NSS","NSS",""
"08",6,"NSS","NSS","NSS","","NSS","NSS",""
"08",7,"NSS","NSS","NSS","","NSS","NSS",""
"08",8,"NSS","NSS","NSS","","NSS","NSS",""
"08",9,"NSS","NSS","NSS","","NSS","NSS",""
"08",10,"NSS","NSS","NSS","","NSS","NSS",""
"08",11,"NSS","NSS","NSS","","NSS","NSS",""
"08",99,"2287","","","","2099","114","74"
"09",1,"4152","3852","300","","NSS","NSS",""
"09",2,"1419","1248","171","","NSS","NSS",""
"09",3,"445","410","35","","NSS","NSS",""
"09",4,"155","133","22","","NSS","NSS",""
"09",5,"55","47","8","","NSS","NSS",""
"09",6,"148","138","10","","NSS","NSS",""
"09",7,"41","35","6","","NSS","NSS",""
"09",8,"22","20","2","","NSS","NSS",""
"09",9,"67","61","6","","NSS","NSS",""
"09",10,"29","24","5","","NSS","NSS",""
"09",11,"432","373","59","","NSS","NSS",""
"09",99,"309","","","","290","19",""
"10",1,"138","107","10","","19","2",""
"10",2,"107","62","4","","35","6",""
"10",3,"90","5","0","","76","9",""
"10",4,"66","3","0","","62","1",""
"10",5,"15","2","1","","11","1",""
"10",6,"7","2","0","","5","0",""
"10",7,"1","0","0","","1","0",""
"10",8,"0","0","0","","0","0",""
"10",9,"1","0","0","","1","0",""
"10",10,"1","0","0","","1","0",""
"10",11,"25","13","1","","10","1",""
"10",99,"59","31","2","5","20","","1"
"12",1,"78","68","7","","3","NSS",""
"12",2,"31","29","2","","0","NSS",""
"12",3,"10","9","0","","1","NSS",""
"12",4,"5","5","0","","0","NSS",""
"12",5,"3","3","0","","0","NSS",""
"12",6,"5","2","0","","3","NSS",""
"12",7,"4","4","0","","0","NSS",""
"12",8,"NSS","0","0","","0","NSS",""
"12",9,"1","1","0","","0","NSS",""
"12",10,"1","1","0","","0","NSS",""
"12",11,"8","2","0","","6","NSS",""
"12",99,"101","76","9","5","9","2",""
"13",1,"410","316","62","","26","6",""
"13",2,"204","174","19","","10","1",""
"13",3,"96","82","8","","6","0",""
"13",4,"30","27","2","","1","0",""
