entidad,org_mate,sexostt,sexos1,sexos2,no_aplic
"15",24,"NA","NA","NA","1"
"15",25,"0","0","0",""
"15",26,"NA","NA","NA","1"
"15",27,"NA","NA","NA","1"
"15",28,"NA","NA","NA","1"
"15",99,"","","",""
"16",1,"85","29","56",""
"16",2,"44","22","22",""
"16",3,"68","28","40",""
"16",4,"196","168","28",""
"16",5,"244","93","151",""
"16",6,"NA","NA","NA","1"
"16",7,"147","61","86",""
"16",8,"NA","NA","NA","1"
"16",9,"18","7","11",""
"16",10,"5","3","2",""
"16",11,"NA","NA","NA","1"
"16",12,"62","25","37",""
"16",13,"NA","NA","NA","1"
"16",14,"NA","NA","NA","1"
"16",15,"NA","NA","NA","1"
"16",16,"27","13","14",""
"16",17,"166","49","117",""
"16",18,"127","41","86",""
"16",19,"132","46","86",""
"16",20,"NA","NA","NA","1"
"16",21,"NA","NA","NA","1"
"16",22,"NA","NA","NA","1"
"16",23,"NA","NA","NA","1"
"16",24,"NA","NA","NA","1"
"16",25,"NA","NA","NA","1"
"16",26,"NA","NA","NA","1"
"16",27,"NA","NA","NA","1"
"16",28,"395","60","335",""
"16",99,"","","",""
"17",1,"69","18","51",""
"17",2,"4","0","4",""
"17",3,"62","23","39",""
"17",4,"214","65","149",""
"17",5,"73","30","43",""
"17",6,"137","77","60",""
"17",7,"298","84","214",""
"17",8,"NA","NA","NA","1"
"17",9,"NA","NA","NA","1"
"17",10,"NA","NA","NA","1"
"17",11,"NA","NA","NA","1"
"17",12,"109","46","63",""
"17",13,"NA","NA","NA","1"
"17",14,"NA","NA","NA","1"
"17",15,"NA","NA","NA","1"
"17",16,"NA","NA","NA","1"
"17",17,"NA","NA","NA","1"
"17",18,"NA","NA","NA","1"
"17",19,"NA","NA","NA","1"
"17",20,"NA","NA","NA","1"
"17",21,"NA","NA","NA","1"
"17",22,"NA","NA","NA","1"
"17",23,"NA","NA","NA","1"
"17",24,"210","64","146",""
"17",25,"NA","NA","NA","1"
"17",26,"NA","NA","NA","1"
"17",27,"NA","NA","NA","1"
"17",28,"64","21","43",""
"17",99,"","","",""
"18",1,"NA","NA","NA","1"
"18",2,"NA","NA","NA","1"
"18",3,"NA","NA","NA","1"
"18",4,"59","11","48",""
"18",5,"65","15","50",""
"18",6,"47","29","18",""
"18",7,"60","8","52",""
"18",8,"40","4","36",""
"18",9,"19","3","16",""
"18",10,"NA","NA","NA","1"
"18",11,"NA","NA","NA","1"
"18",12,"167","44","123",""
"18",13,"NA","NA","NA","1"
"18",14,"NA","NA","NA","1"
"18",15,"16","5","11",""
"18",16,"NA","NA","NA","1"
"18",17,"5","1","4",""
"18",18,"24","5","19",""
"18",19,"NA","NA","NA","1"
"18",20,"26","8","18",""
"18",21,"NA","NA","NA","1"
"18",22,"NA","NA","NA","1"
"18",23,"NA","NA","NA","1"
"18",24,"23","5","18",""
"18",25,"59","29","30",""
"18",26,"NA","NA","NA","1"
"18",27,"NA","NA","NA","1"
"18",28,"71","15","56",""
"18",99,"","","",""
"19",1,"97","40","57",""
"19",2,"NA","NA","NA","1"
"19",3,"NA","NA","NA","1"
"19",4,"75","32","43",""
"19",5,"85","37","48",""
"19",6,"NSS","NSS","NSS",""
"19",7,"253","75","178",""
"19",8,"101","47","54",""
"19",9,"5","3","2",""
"19",10,"NA","NA","NA","1"
"19",11,"NA","NA","NA","1"
"19",12,"95","40","55",""
"19",13,"23","14","9",""
"19",14,"NA","NA","NA","1"
"19",15,"NA","NA","NA","1"
"19",16,"5","3","2",""
"19",17,"NSS","NSS","NSS",""
"19",18,"117","68","49",""
"19",19,"189","87","102",""
"19",20,"NA","NA","NA","1"
"19",21,"NA","NA","NA","1"
"19",22,"50","23","27",""
"19",23,"NA","NA","NA","1"
"19",24,"NA","NA","NA","1"
"19",25,"NA","NA","NA","1"
"19",26,"NA","NA","NA","1"
"19",27,"NSS","NSS","NSS",""
"19",28,"NA","NA","NA","1"
"19",99,"","","",""
"20",1,"NA","NA","NA","1"
"20",2,"NA","NA","NA","1"
"20",3,"NA","NA","NA","1"
"20",4,"249","90","159",""
"20",5,"177","84","93",""
"20",6,"NA","NA","NA","1"
"20",7,"215","74","141",""
"20",8,"NSS","NSS","NSS",""
"20",9,"22","13","9",""
"20",10,"NA","NA","NA","1"
"20",11,"NA","NA","NA","1"
"20",12,"246","114","132",""
"20",13,"377","202","175",""
"20",14,"NA","NA","NA","1"
"20",15,"46","17","29",""
"20",16,"5","2","3",""
"20",17,"71","34","37",""
"20",18,"50","14","36",""
"20",19,"166","50","116",""
"20",20,"NA","NA","NA","1"
"20",21,"NA","NA","NA","1"
"20",22,"36","12","24",""
"20",23,"NSS","NSS","NSS",""
"20",24,"NA","NA","NA","1"
"20",25,"14","7","7",""
"20",26,"12","9","3",""
"20",27,"NA","NA","NA","1"
"20",28,"NA","NA","NA","1"
"20",99,"","","",""
"21",1,"NA","NA","NA","1"
"21",2,"NA","NA","NA","1"
"21",3,"0","0","0",""
"21",4,"245","74","171",""
"21",5,"267","93","174",""
"21",6,"82","37","45",""
"21",7,"124","44","80",""
"21",8,"101","32","69",""
"21",9,"11","1","10",""
"21",10,"0","0","0",""
"21",11,"0","0","0",""
"21",12,"236","88","148",""
"21",13,"NA","NA","NA","1"
"21",14,"30","17","13",""
"21",15,"NA","NA","NA","1"
"21",16,"NA","NA","NA","1"
"21",17,"71","22","49",""
"21",18,"121","40","81",""
"21",19,"103","36","67",""
"21",20,"NA","NA","NA","1"
"21",21,"NA","NA","NA","1"
"21",22,"NA","NA","NA","1"
"21",23,"9","1","8",""
"21",24,"NA","NA","NA","1"
"21",25,"NA","NA","NA","1"
"21",26,"NA","NA","NA","1"
"21",27,"NA","NA","NA","1"
"21",28,"NA","NA","NA","1"
"21",99,"","","",""
"22",1,"31","8","23",""
"22",2,"NA","NA","NA","1"
"22",3,"80","22","58",""
"22",4,"201","68","133",""
"22",5,"140","42","98",""
"22",6,"112","58","54",""
"22",7,"126","31","95",""
"22",8,"11","4","7",""
"22",9,"12","4","8",""
"22",10,"NA","NA","NA","1"
"22",11,"NA","NA","NA","1"
"22",12,"44","14","30",""
"22",13,"NA","NA","NA","1"
"22",14,"10","3","7",""
"22",15,"NA","NA","NA","1"
"22",16,"NA","NA","NA","1"
"22",17,"NA","NA","NA","1"
"22",18,"72","16","56",""
"22",19,"72","14","58",""
"22",20,"NA","NA","NA","1"
"22",21,"NA","NA","NA","1"
"22",22,"NA","NA","NA","1"
"22",23,"NA","NA","NA","1"
"22",24,"NA","NA","NA","1"
"22",25,"NA","NA","NA","1"
"22",26,"NA","NA","NA","1"
"22",27,"NA","NA","NA","1"
"22",28,"88","27","61",""
"22",99,"","","",""
"23",1,"NA","NA","NA","1"
"23",2,"NA","NA","NA","1"
"23",3,"NA","NA","NA","1"
"23",4,"85","21","64",""
"23",5,"125","44","81",""
"23",6,"29","14","15",""
"23",7,"92","28","64",""
"23",8,"49","7","42",""
"23",9,"4","0","4",""
"23",10,"5","4","1",""
"23",11,"NA","NA","NA","1"
"23",12,"27","15","12",""
"23",13,"NA","NA","NA","1"
"23",14,"1","0","1",""
