entidad,vic_deli,vicfuett,vicfue1,vicfue2,vicfue3,vicfue4,vicfue5,vicfue6,vicfue7,vicfue8,vicfue9,vicfue10,vicfue11,vicfue12,vicfue13,vicfue14,vicfue15,vicfue16,vicfue17,vicfue18,vicfuene
"17",1,"32181","NA","NA","NA","NA","NA","NA","NA","NA","NA","NSS","10","NSS","NSS","NSS","NSS","0","0","NSS","32171"
"17",2,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"17",3,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"17",4,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"17",5,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"17",6,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"17",9,"","","","","","","","","","","","","","","","","","","",""
"18",1,"4200","1127","976","33","NSS","NSS","NSS","NSS","NSS","218","675","761","47","NSS","NSS","NSS","NSS","NSS","363",""
"18",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"18",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"18",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"18",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"18",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"18",9,"","","","","","","","","","","","","","","","","","","",""
"19",1,"89635","151","83","0","5","0","0","2","0","0","43770","44878","0","498","0","0","248","0","0",""
"19",2,"1804","0","0","0","0","0","0","0","0","0","903","896","0","2","0","0","3","0","0",""
"19",3,"189","0","0","0","0","0","0","0","0","0","97","91","0","1","0","0","0","0","0",""
"19",4,"30","0","0","0","0","0","0","0","0","0","11","19","0","0","0","0","0","0","0",""
"19",5,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",""
"19",6,"66","0","0","0","0","0","0","0","0","0","66","0","0","0","0","0","0","0","0",""
"19",9,"","","","","","","","","","","","","","","","","","","",""
"20",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"20",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"20",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"20",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"20",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"20",6,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
