entidad,gdoestue,puesextt,puesex1,puesex2,puesex3,puesex4,puesex5,puesex6,puesex7,puesex8,puesex9,puesex10,puesex11,puesex12
"22",8,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"22",9,"","","","","","","","","","","","",""
"23",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"23",2,"3","0","0","0","0","0","0","0","0","3","0","0","0"
"23",3,"117","0","1","0","0","0","0","0","0","10","106","0","0"
"23",4,"231","15","46","0","4","0","0","5","4","37","120","0","0"
"23",5,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"23",6,"448","59","100","35","47","35","47","29","50","21","25","0","0"
"23",7,"23","2","6","0","1","2","9","2","1","0","0","0","0"
"23",8,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"23",9,"","","","","","","","","","","","",""
"24",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"24",2,"3","0","0","0","0","0","0","0","0","2","1","0","0"
"24",3,"42","0","0","0","0","0","0","0","0","18","24","0","0"
"24",4,"137","0","0","0","0","0","0","0","0","44","93","0","0"
"24",5,"268","0","0","0","0","0","0","0","0","22","246","0","0"
"24",6,"668","46","38","53","48","52","103","17","32","86","193","0","0"
"24",7,"48","3","5","1","1","12","24","0","0","0","2","0","0"
"24",8,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"24",9,"","","","","","","","","","","","",""
"25",1,"33","0","0","0","0","0","0","0","0","14","19","0","0"
"25",2,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"25",3,"28","0","0","0","0","0","0","0","0","5","23","0","0"
"25",4,"238","0","0","0","0","0","0","0","0","32","206","0","0"
"25",5,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"25",6,"790","52","66","79","109","44","62","0","0","96","282","0","0"
"25",7,"3","0","1","0","0","2","0","0","0","0","0","0","0"
"25",8,"1","0","0","0","0","0","0","0","0","1","0","0","0"
"25",9,"","","","","","","","","","","","",""
"26",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"26",2,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"26",3,"65","0","0","0","0","0","0","0","0","14","51","0","0"
"26",4,"211","0","0","0","0","0","0","0","0","91","120","0","0"
"26",5,"197","8","65","0","0","0","0","0","0","24","100","0","0"
"26",6,"816","90","88","78","129","15","36","0","0","105","275","0","0"
"26",7,"79","6","15","5","7","2","7","0","0","6","31","0","0"
"26",8,"1","0","0","0","1","0","0","0","0","0","0","0","0"
"26",9,"","","","","","","","","","","","",""
"27",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"27",2,"12","0","0","0","0","0","0","0","0","4","8","0","0"
"27",3,"39","0","0","0","0","0","0","0","0","8","31","0","0"
"27",4,"238","0","2","0","0","0","0","4","18","40","174","0","0"
"27",5,"102","0","0","0","0","0","0","2","5","25","70","0","0"
"27",6,"475","25","74","35","85","4","11","9","25","45","162","0","0"
"27",7,"256","22","56","10","41","5","20","7","28","25","42","0","0"
"27",8,"35","9","8","0","0","4","4","6","4","0","0","0","0"
"27",9,"","","","","","","","","","","","",""
"28",1,"1","0","0","0","0","0","0","0","0","0","1","0","0"
"28",2,"5","0","0","0","0","0","0","0","0","1","4","0","0"
"28",3,"13","0","0","0","0","0","0","0","0","5","8","0","0"
"28",4,"123","0","0","0","0","0","0","5","5","37","76","0","0"
"28",5,"97","0","0","0","0","0","0","1","0","7","89","0","0"
"28",6,"579","45","47","1","3","36","79","43","41","97","187","0","0"
"28",7,"26","6","10","0","0","0","4","1","1","2","2","0","0"
"28",8,"1","0","0","0","0","0","1","0","0","0","0","0","0"
"28",9,"","","","","","","","","","","","",""
"29",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"29",2,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"29",3,"24","0","0","0","0","0","0","0","0","5","19","0","0"
"29",4,"66","0","0","0","0","0","0","0","0","15","51","0","0"
"29",5,"131","0","0","0","0","0","0","0","0","21","110","0","0"
"29",6,"200","20","25","22","26","9","18","21","46","13","0","0","0"
"29",7,"1","0","0","0","0","0","1","0","0","0","0","0","0"
"29",8,"1","0","0","0","0","0","1","0","0","0","0","0","0"
"29",9,"","","","","","","","","","","","",""
"30",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"30",2,"46","1","7","0","0","0","0","10","25","2","1","0","0"
"30",3,"83","3","10","0","0","0","0","20","43","4","3","0","0"
"30",4,"341","21","34","0","0","0","0","85","179","11","11","0","0"
"30",5,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"30",6,"770","45","82","27","22","43","65","137","278","34","37","0","0"
"30",7,"429","23","49","11","6","15","27","77","190","16","15","0","0"
"30",8,"35","1","5","2","1","4","2","5","13","2","0","0","0"
"30",9,"","","","","","","","","","","","",""
"31",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"31",2,"2","0","0","0","0","0","0","0","0","2","0","0","0"
"31",3,"14","0","0","0","0","0","0","0","0","13","1","0","0"
"31",4,"23","0","0","0","2","0","1","1","2","16","1","0","0"
"31",5,"4","0","0","0","0","0","0","0","0","4","0","0","0"
